lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict
IL2,Hepatocyte 4,Hepatocyte 4,0,0,1.06652308915552e-05,8.19355059856441e-07,all4,2,2,2,2,0,5.74229297570583e-06,0,0,8.19355059856441e-07,1.06652308915552e-05,-6.0194854539208,TRUE,FALSE,TRUE,TRUE,AIH
VEGF,IgG+ B cell,Hepatocyte 4,4.94529356341688e-06,1.04487829899298e-05,5.82122132828213e-08,1.82699023260841e-07,all4,2,2,2,2,7.69703827667336e-06,1.20455618271831e-07,4.94529356341688e-06,1.04487829899298e-05,5.82122132828213e-08,1.82699023260841e-07,5.21011673629168,TRUE,TRUE,FALSE,TRUE,irHepatitis
IL2,Macrophage 1,Sinusoidal endothelial cell,5.43129595357026e-08,0,5.0085957384728e-06,3.26931727435316e-06,all4,2,2,2,2,2.71564797678513e-08,4.13895650641298e-06,0,5.43129595357026e-08,3.26931727435316e-06,5.0085957384728e-06,-5.17492410320969,TRUE,FALSE,TRUE,TRUE,AIH
IL2,Hepatocyte 1,Hepatocyte 4,0,0,5.18915383931014e-06,3.23020512193253e-07,all4,2,2,2,2,0,2.75608717575169e-06,0,0,3.23020512193253e-07,5.18915383931014e-06,-4.98437760541085,TRUE,FALSE,TRUE,TRUE,AIH
CSF,CD8+ T cell 2,Hepatocyte 4,7.38516702727417e-08,1.62725177327304e-06,3.83372201256177e-05,1.35926994926342e-05,all4,2,2,2,2,8.50551721772889e-07,2.59649598091259e-05,7.38516702727417e-08,1.62725177327304e-06,1.35926994926342e-05,3.83372201256177e-05,-4.79204655447865,TRUE,FALSE,TRUE,TRUE,AIH
VEGF,IgG+ B cell,CD8+ T cell 2,1.9106398384637e-05,5.09529659041547e-06,5.53835226291637e-07,2.38730569963111e-07,all4,2,2,2,2,1.21008474875262e-05,3.96282898127374e-07,5.09529659041547e-06,1.9106398384637e-05,2.38730569963111e-07,5.53835226291637e-07,4.64812775048335,TRUE,TRUE,FALSE,TRUE,irHepatitis
IL2,Macrophage 1,Hepatocyte 4,0,0,3.07287317653958e-06,6.08553387440417e-07,all4,2,2,2,2,0,1.84071328199e-06,0,0,6.08553387440417e-07,3.07287317653958e-06,-4.4245089935884,TRUE,FALSE,TRUE,TRUE,AIH
VEGF,IgG+ B cell,IgM+ B cell,9.11157041873358e-05,2.57078826118266e-05,2.2673299320988e-06,3.0207430065688e-06,all4,2,2,2,2,5.84117933995812e-05,2.6440364693338e-06,2.57078826118266e-05,9.11157041873358e-05,2.2673299320988e-06,3.0207430065688e-06,4.41942395821913,TRUE,TRUE,FALSE,TRUE,irHepatitis
IL2,Stellate cell,Sinusoidal endothelial cell,4.35281404607872e-08,0,2.32018006104937e-06,1.99807608699604e-06,all4,2,2,2,2,2.17640702303936e-08,2.1591280740227e-06,0,4.35281404607872e-08,1.99807608699604e-06,2.32018006104937e-06,-4.33199627098441,TRUE,FALSE,TRUE,TRUE,AIH
IL2,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,0,0,2.1257755281688e-06,1.26768540211098e-06,all4,2,2,2,2,0,1.69673046513989e-06,0,0,1.26768540211098e-06,2.1257755281688e-06,-4.31269138767541,TRUE,FALSE,TRUE,TRUE,AIH
