lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL2-CCR2,CD4+ T cell,CD4+ T cell,,,3.12412934045821e-05,2.47855910603688e-05,aih_only,0,2,0,2,,2.80134422324755e-05,,,2.47855910603688e-05,3.12412934045821e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,CD8+ T cell 1,,,7.32970910878103e-06,4.64449757465237e-06,aih_only,0,2,0,2,,5.9871033417167e-06,,,4.64449757465237e-06,7.32970910878103e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,CD8+ T cell 2,,,8.64906852582042e-07,1.92667049535612e-06,aih_only,0,2,0,2,,1.39578867396908e-06,,,8.64906852582042e-07,1.92667049535612e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,CD8+ T cell 3,,,4.85752546018606e-06,4.3233104372218e-06,aih_only,0,2,0,2,,4.59041794870393e-06,,,4.3233104372218e-06,4.85752546018606e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Cholangiocyte,,,6.614116372496e-06,5.10139674188143e-06,aih_only,0,2,0,2,,5.85775655718872e-06,,,5.10139674188143e-06,6.614116372496e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Hepatocyte 1,,,5.3850025970214e-07,7.54750620813973e-07,aih_only,0,2,0,2,,6.46625440258057e-07,,,5.3850025970214e-07,7.54750620813973e-07,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Hepatocyte 2,,,3.39529000424025e-07,3.91773877703661e-07,aih_only,0,2,0,2,,3.65651439063843e-07,,,3.39529000424025e-07,3.91773877703661e-07,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Hepatocyte 3,,,7.51891544988868e-08,4.0147489966242e-07,aih_only,0,2,0,2,,2.38332027080654e-07,,,7.51891544988868e-08,4.0147489966242e-07,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Hepatocyte 4,,,9.93391165778163e-07,5.1642359803262e-07,aih_only,0,2,0,2,,7.54907381905391e-07,,,5.1642359803262e-07,9.93391165778163e-07,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Ig+ hepatocyte,,,3.56972851332916e-06,4.26094829966037e-06,aih_only,0,2,0,2,,3.91533840649477e-06,,,3.56972851332916e-06,4.26094829966037e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,IgG+ B cell,,,7.89720966522228e-06,6.44570306708291e-06,aih_only,0,2,0,2,,7.17145636615259e-06,,,6.44570306708291e-06,7.89720966522228e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,IgG+ plasmablast / plasma cell,,,2.8513997232234e-05,2.59701811034916e-05,aih_only,0,2,0,2,,2.72420891678628e-05,,,2.59701811034916e-05,2.8513997232234e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,IgM+ B cell,,,3.9999889390504e-05,3.36344813154919e-05,aih_only,0,2,0,2,,3.6817185352998e-05,,,3.36344813154919e-05,3.9999889390504e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Macrophage 1,,,5.97846588718273e-06,4.31048471873033e-06,aih_only,0,2,0,2,,5.14447530295653e-06,,,4.31048471873033e-06,5.97846588718273e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Macrophage 2,,,2.00587426009453e-05,1.37433665941649e-05,aih_only,0,2,0,2,,1.69010545975551e-05,,,1.37433665941649e-05,2.00587426009453e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Sinusoidal endothelial cell,,,1.1441195634868e-06,1.18339572854046e-06,aih_only,0,2,0,2,,1.16375764601363e-06,,,1.1441195634868e-06,1.18339572854046e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Stellate cell,,,5.44080918435382e-06,4.05252710160984e-06,aih_only,0,2,0,2,,4.74666814298183e-06,,,4.05252710160984e-06,5.44080918435382e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD4+ T cell,Vascular endothelial cell,,,7.93507999747914e-06,5.08211431323713e-06,aih_only,0,2,0,2,,6.50859715535814e-06,,,5.08211431323713e-06,7.93507999747914e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,CD4+ T cell,,,1.04693540310847e-05,9.27827300651416e-06,aih_only,0,2,0,2,,9.87381351879945e-06,,,9.27827300651416e-06,1.04693540310847e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,CD8+ T cell 1,,,7.48333930020618e-06,5.56811636814916e-06,aih_only,0,2,0,2,,6.52572783417767e-06,,,5.56811636814916e-06,7.48333930020618e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,CD8+ T cell 2,,,3.66918196775256e-06,2.96090374898313e-06,aih_only,0,2,0,2,,3.31504285836785e-06,,,2.96090374898313e-06,3.66918196775256e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,CD8+ T cell 3,,,5.34106985922132e-06,5.16796029451568e-06,aih_only,0,2,0,2,,5.2545150768685e-06,,,5.16796029451568e-06,5.34106985922132e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Cholangiocyte,,,3.93812702258771e-06,3.53924273558616e-06,aih_only,0,2,0,2,,3.73868487908694e-06,,,3.53924273558616e-06,3.93812702258771e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Hepatocyte 1,,,1.65293261128721e-06,1.38766245852913e-06,aih_only,0,2,0,2,,1.52029753490817e-06,,,1.38766245852913e-06,1.65293261128721e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Hepatocyte 2,,,1.26591391850284e-06,5.19405145314346e-07,aih_only,0,2,0,2,,8.92659531908593e-07,,,5.19405145314346e-07,1.26591391850284e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Hepatocyte 3,,,1.00019922965374e-07,8.10412864377183e-07,aih_only,0,2,0,2,,4.55216393671278e-07,,,1.00019922965374e-07,8.10412864377183e-07,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Hepatocyte 4,,,1.44632828670024e-06,1.42420699704354e-06,aih_only,0,2,0,2,,1.43526764187189e-06,,,1.42420699704354e-06,1.44632828670024e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Ig+ hepatocyte,,,7.76264153821588e-06,4.91702563256257e-06,aih_only,0,2,0,2,,6.33983358538923e-06,,,4.91702563256257e-06,7.76264153821588e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,IgG+ B cell,,,5.46281001823519e-06,4.34361504278348e-06,aih_only,0,2,0,2,,4.90321253050934e-06,,,4.34361504278348e-06,5.46281001823519e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,IgG+ plasmablast / plasma cell,,,2.48786340713337e-05,1.99229816532105e-05,aih_only,0,2,0,2,,2.24008078622721e-05,,,1.99229816532105e-05,2.48786340713337e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,IgM+ B cell,,,1.33147903247021e-05,1.03858498303821e-05,aih_only,0,2,0,2,,1.18503200775421e-05,,,1.03858498303821e-05,1.33147903247021e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Macrophage 1,,,5.71106807753357e-06,5.36271435184022e-06,aih_only,0,2,0,2,,5.5368912146869e-06,,,5.36271435184022e-06,5.71106807753357e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Macrophage 2,,,1.00988249346762e-05,9.82196045612831e-06,aih_only,0,2,0,2,,9.96039269540227e-06,,,9.82196045612831e-06,1.00988249346762e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Sinusoidal endothelial cell,,,2.90491163674137e-06,1.85894349436247e-06,aih_only,0,2,0,2,,2.38192756555192e-06,,,1.85894349436247e-06,2.90491163674137e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Stellate cell,,,2.89788991308632e-06,2.60791407495155e-06,aih_only,0,2,0,2,,2.75290199401893e-06,,,2.60791407495155e-06,2.89788991308632e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 1,Vascular endothelial cell,,,2.73623078454903e-06,2.4901012024304e-06,aih_only,0,2,0,2,,2.61316599348972e-06,,,2.4901012024304e-06,2.73623078454903e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,CD4+ T cell,,,2.40953132957063e-06,4.83677036189626e-06,aih_only,0,2,0,2,,3.62315084573344e-06,,,2.40953132957063e-06,4.83677036189626e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,CD8+ T cell 1,,,3.36509794184495e-06,4.24506425511199e-06,aih_only,0,2,0,2,,3.80508109847847e-06,,,3.36509794184495e-06,4.24506425511199e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,CD8+ T cell 2,,,5.19150400707322e-06,5.16627558608803e-06,aih_only,0,2,0,2,,5.17888979658062e-06,,,5.16627558608803e-06,5.19150400707322e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,CD8+ T cell 3,,,3.44378094214131e-06,8.30167363302234e-06,aih_only,0,2,0,2,,5.87272728758183e-06,,,3.44378094214131e-06,8.30167363302234e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Cholangiocyte,,,6.12032907196032e-07,1.93600875448795e-06,aih_only,0,2,0,2,,1.27402083084199e-06,,,6.12032907196032e-07,1.93600875448795e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Hepatocyte 1,,,1.85987456465807e-06,1.56819735931268e-06,aih_only,0,2,0,2,,1.71403596198537e-06,,,1.56819735931268e-06,1.85987456465807e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Hepatocyte 2,,,1.49895632023572e-06,4.91294555105093e-07,aih_only,0,2,0,2,,9.95125437670408e-07,,,4.91294555105093e-07,1.49895632023572e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Hepatocyte 3,,,4.40676316894012e-07,2.5161689842499e-06,aih_only,0,2,0,2,,1.47842265057196e-06,,,4.40676316894012e-07,2.5161689842499e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Hepatocyte 4,,,6.58100928454465e-07,1.89380528837256e-06,aih_only,0,2,0,2,,1.27595310841351e-06,,,6.58100928454465e-07,1.89380528837256e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Ig+ hepatocyte,,,8.96005620335979e-07,6.26981410063271e-06,aih_only,0,2,0,2,,3.58290986048434e-06,,,8.96005620335979e-07,6.26981410063271e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,IgG+ B cell,,,1.04472107319041e-06,2.05269320420573e-06,aih_only,0,2,0,2,,1.54870713869807e-06,,,1.04472107319041e-06,2.05269320420573e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,IgG+ plasmablast / plasma cell,,,6.94280301476549e-06,1.07165541478109e-05,aih_only,0,2,0,2,,8.82967858128821e-06,,,6.94280301476549e-06,1.07165541478109e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,IgM+ B cell,,,1.94789736750869e-06,3.35519176845544e-06,aih_only,0,2,0,2,,2.65154456798206e-06,,,1.94789736750869e-06,3.35519176845544e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Macrophage 1,,,2.8722600604201e-06,4.53072300343051e-06,aih_only,0,2,0,2,,3.70149153192531e-06,,,2.8722600604201e-06,4.53072300343051e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Macrophage 2,,,1.60139600997323e-06,7.14768654964621e-06,aih_only,0,2,0,2,,4.37454127980972e-06,,,1.60139600997323e-06,7.14768654964621e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Sinusoidal endothelial cell,,,1.04298473342964e-06,1.88948039341006e-06,aih_only,0,2,0,2,,1.46623256341985e-06,,,1.04298473342964e-06,1.88948039341006e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Stellate cell,,,6.34609379061578e-07,1.0657263692815e-06,aih_only,0,2,0,2,,8.50167874171538e-07,,,6.34609379061578e-07,1.0657263692815e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 2,Vascular endothelial cell,,,4.32087552152089e-07,6.66398384355022e-07,aih_only,0,2,0,2,,5.49242968253556e-07,,,4.32087552152089e-07,6.66398384355022e-07,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,CD4+ T cell,,,1.25530766248946e-05,6.93338467411552e-06,aih_only,0,2,0,2,,9.74323064950506e-06,,,6.93338467411552e-06,1.25530766248946e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,CD8+ T cell 1,,,1.23026556150117e-05,4.58671738997122e-06,aih_only,0,2,0,2,,8.44468650249146e-06,,,4.58671738997122e-06,1.23026556150117e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,CD8+ T cell 2,,,8.57501037176083e-06,2.76848153583965e-06,aih_only,0,2,0,2,,5.67174595380024e-06,,,2.76848153583965e-06,8.57501037176083e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,CD8+ T cell 3,,,2.39448776424822e-05,1.08647966704715e-05,aih_only,0,2,0,2,,1.74048371564768e-05,,,1.08647966704715e-05,2.39448776424822e-05,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,Cholangiocyte,,,3.73787591317347e-06,3.59559047895596e-06,aih_only,0,2,0,2,,3.66673319606472e-06,,,3.59559047895596e-06,3.73787591317347e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,Hepatocyte 1,,,2.47066245643973e-06,1.49850498389089e-06,aih_only,0,2,0,2,,1.98458372016531e-06,,,1.49850498389089e-06,2.47066245643973e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,Hepatocyte 2,,,2.47590176513375e-06,1.02859520080582e-06,aih_only,0,2,0,2,,1.75224848296978e-06,,,1.02859520080582e-06,2.47590176513375e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
CCL2-CCR2,CD8+ T cell 3,Hepatocyte 3,,,5.97116757442064e-08,1.48383403995819e-06,aih_only,0,2,0,2,,7.717728578512e-07,,,5.97116757442064e-08,1.48383403995819e-06,,FALSE,FALSE,FALSE,FALSE,,AIH
