lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Hepatocyte 4,0,0,1.06652308915552e-05,8.19355059856441e-07,all4,2,2,2,2,0,5.74229297570583e-06,0,0,8.19355059856441e-07,1.06652308915552e-05,-6.95251292788527,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 1,Hepatocyte 4,0,0,5.18915383931014e-06,3.23020512193253e-07,all4,2,2,2,2,0,2.75608717575169e-06,0,0,3.23020512193253e-07,5.18915383931014e-06,-5.90607341143775,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Sinusoidal endothelial cell,5.43129595357026e-08,0,5.0085957384728e-06,3.26931727435316e-06,all4,2,2,2,2,2.71564797678513e-08,4.13895650641298e-06,0,5.43129595357026e-08,3.26931727435316e-06,5.0085957384728e-06,-5.82381330940078,TRUE,FALSE,TRUE,TRUE,AIH,
CCL5-CCR1,IgG+ B cell,IgG+ plasmablast / plasma cell,1.59062171723142e-07,0,7.22419019869602e-06,6.56587943703925e-06,all4,2,2,2,2,7.95310858615712e-08,6.89503481786764e-06,0,1.59062171723142e-07,6.56587943703925e-06,7.22419019869602e-06,-5.78070544446426,TRUE,FALSE,TRUE,TRUE,AIH,
VEGFA-FLT1,IgG+ B cell,Hepatocyte 4,4.94529356341688e-06,1.04487829899298e-05,5.82122132828213e-08,1.82699023260841e-07,all4,2,2,2,2,7.69703827667336e-06,1.20455618271831e-07,4.94529356341688e-06,1.04487829899298e-05,5.82122132828213e-08,1.82699023260841e-07,5.53342652226852,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Macrophage 1,Hepatocyte 4,0,0,3.07287317653958e-06,6.08553387440417e-07,all4,2,2,2,2,0,1.84071328199e-06,0,0,6.08553387440417e-07,3.07287317653958e-06,-5.33563162179255,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,0,0,2.1257755281688e-06,1.26768540211098e-06,all4,2,2,2,2,0,1.69673046513989e-06,0,0,1.26768540211098e-06,2.1257755281688e-06,-5.22115262729267,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 1,Sinusoidal endothelial cell,1.19312024321327e-08,0,2.03693692411876e-06,1.42760039236759e-06,all4,2,2,2,2,5.96560121606634e-09,1.73226865824318e-06,0,1.19312024321327e-08,1.42760039236759e-06,2.03693692411876e-06,-5.07696657578586,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Sinusoidal endothelial cell,4.35281404607872e-08,0,2.32018006104937e-06,1.99807608699604e-06,all4,2,2,2,2,2.17640702303936e-08,2.1591280740227e-06,0,4.35281404607872e-08,1.99807608699604e-06,2.32018006104937e-06,-5.00900772385225,TRUE,FALSE,TRUE,TRUE,AIH,
CCL5-CCR1,Cholangiocyte,CD8+ T cell 2,5.30038670166387e-05,1.97439656211768e-05,1.10465625380786e-06,1.13332456789169e-06,all4,2,2,2,2,3.63739163189078e-05,1.11899041084978e-06,1.97439656211768e-05,5.30038670166387e-05,1.10465625380786e-06,1.13332456789169e-06,4.96545051977615,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Hepatocyte 1,1.05520120851438e-08,0,2.66674684854215e-06,4.46097712794867e-07,all4,2,2,2,2,5.27600604257188e-09,1.55642228066851e-06,0,1.05520120851438e-08,4.46097712794867e-07,2.66674684854215e-06,-4.94581410494659,TRUE,FALSE,TRUE,TRUE,AIH,
CCL15-CCR1,Vascular endothelial cell,CD8+ T cell 3,1.69695459045638e-05,3.29897405042097e-06,3.95919295992946e-07,1.96578675223345e-07,all4,2,2,2,2,1.01342599774924e-05,2.96248985608146e-07,3.29897405042097e-06,1.69695459045638e-05,1.96578675223345e-07,3.95919295992946e-07,4.8915721626162,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CSF1-CSF1R,CD8+ T cell 2,Hepatocyte 4,7.38516702727417e-08,1.62725177327304e-06,3.83372201256177e-05,1.35926994926342e-05,all4,2,2,2,2,8.50551721772889e-07,2.59649598091259e-05,7.38516702727417e-08,1.62725177327304e-06,1.35926994926342e-05,3.83372201256177e-05,-4.8574393672788,TRUE,FALSE,TRUE,TRUE,AIH,
VEGFA-FLT1,IgG+ B cell,CD8+ T cell 2,1.9106398384637e-05,5.09529659041547e-06,5.53835226291637e-07,2.38730569963111e-07,all4,2,2,2,2,1.21008474875262e-05,3.96282898127374e-07,5.09529659041547e-06,1.9106398384637e-05,2.38730569963111e-07,5.53835226291637e-07,4.77714393478948,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL16-CCR1,Vascular endothelial cell,CD8+ T cell 2,1.92810633666119e-05,5.5139419612818e-06,4.55035026269309e-07,4.08154142711378e-07,all4,2,2,2,2,1.23975026639468e-05,4.31594584490343e-07,5.5139419612818e-06,1.92810633666119e-05,4.08154142711378e-07,4.55035026269309e-07,4.70131376953765,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Hepatocyte 1,9.08185574938893e-09,4.56416837749517e-08,3.19630095178026e-06,4.28245144381054e-07,all4,2,2,2,2,2.73617697621703e-08,1.81227304808066e-06,9.08185574938893e-09,4.56416837749517e-08,4.28245144381054e-07,3.19630095178026e-06,-4.64888026278077,TRUE,FALSE,TRUE,TRUE,AIH,
CCL16-CCR1,IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell,1.0391852693742e-07,5.16039534263187e-09,2.71509583095536e-06,1.92065274829196e-06,all4,2,2,2,2,5.4539461140026e-08,2.31787428962366e-06,5.16039534263187e-09,1.0391852693742e-07,1.92065274829196e-06,2.71509583095536e-06,-4.54518781549566,TRUE,FALSE,TRUE,TRUE,AIH,
CCL5-CCR1,Hepatocyte 3,IgG+ plasmablast / plasma cell,1.14968578186475e-08,0,1.61404148170095e-06,7.22309150384044e-07,all4,2,2,2,2,5.74842890932375e-09,1.16817531604249e-06,0,1.14968578186475e-08,7.22309150384044e-07,1.61404148170095e-06,-4.5327057431972,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Vascular endothelial cell,Vascular endothelial cell,0,0,1.36798105167615e-06,6.57199991103043e-07,all4,2,2,2,2,0,1.0125905213896e-06,0,0,6.57199991103043e-07,1.36798105167615e-06,-4.50234363494878,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 2,Sinusoidal endothelial cell,9.47928068715704e-10,0,1.5121162128982e-06,5.27983183998561e-07,all4,2,2,2,2,4.73964034357852e-10,1.02004969844838e-06,0,9.47928068715704e-10,5.27983183998561e-07,1.5121162128982e-06,-4.49791083556231,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Sinusoidal endothelial cell,3.56260277797083e-08,0,1.45711773771626e-06,1.28013274858571e-06,all4,2,2,2,2,1.78130138898541e-08,1.36862524315098e-06,0,3.56260277797083e-08,1.28013274858571e-06,1.45711773771626e-06,-4.45454062692749,TRUE,FALSE,TRUE,TRUE,AIH,
VEGFA-FLT1,IgG+ B cell,IgM+ B cell,9.11157041873358e-05,2.57078826118266e-05,2.2673299320988e-06,3.0207430065688e-06,all4,2,2,2,2,5.84117933995812e-05,2.6440364693338e-06,2.57078826118266e-05,9.11157041873358e-05,2.2673299320988e-06,3.0207430065688e-06,4.44131905125486,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL5-CCR1,Cholangiocyte,CD8+ T cell 3,0.000143881636373219,3.77652166500569e-05,5.45840170084185e-06,3.00895734772629e-06,all4,2,2,2,2,9.0823426511638e-05,4.23367952428407e-06,3.77652166500569e-05,0.000143881636373219,3.00895734772629e-06,5.45840170084185e-06,4.40798253224231,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL5-CCR1,CD4+ T cell,CD8+ T cell 2,6.35357497199444e-05,2.54313915095163e-05,1.97487878859451e-06,2.24003241763824e-06,all4,2,2,2,2,4.44835706147303e-05,2.10745560311638e-06,2.54313915095163e-05,6.35357497199444e-05,1.97487878859451e-06,2.24003241763824e-06,4.36956635153862,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 2,Hepatocyte 4,0,0,1.5420308273654e-06,2.32530045258377e-07,all4,2,2,2,2,0,8.87280436311891e-07,0,0,2.32530045258377e-07,1.5420308273654e-06,-4.32071690917925,TRUE,FALSE,TRUE,TRUE,AIH,
CCL15-CCR1,CD8+ T cell 3,Hepatocyte 3,0,5.00279242349607e-08,1.53760264367751e-06,1.21184590055142e-06,all4,2,2,2,2,2.50139621174804e-08,1.37472427211447e-06,0,5.00279242349607e-08,1.21184590055142e-06,1.53760264367751e-06,-4.30817060342404,TRUE,FALSE,TRUE,TRUE,AIH,
FN1-CD44,IgG+ plasmablast / plasma cell,Hepatocyte 3,2.76111163412558e-08,0,1.38383113897477e-06,8.89341231387006e-07,all4,2,2,2,2,1.38055581706279e-08,1.13658618518089e-06,0,2.76111163412558e-08,8.89341231387006e-07,1.38383113897477e-06,-4.28867704060899,TRUE,FALSE,TRUE,TRUE,AIH,
CCL14-CCR1,CD8+ T cell 2,CD8+ T cell 2,0.000701763057219559,0.000212838030019582,2.44540864406734e-05,2.24982560969218e-05,all4,2,2,2,2,0.000457300543619571,2.34761712687976e-05,0.000212838030019582,0.000701763057219559,2.24982560969218e-05,2.44540864406734e-05,4.28115153852732,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Hepatocyte 4,0,0,1.15676550846336e-06,5.53957936676011e-07,all4,2,2,2,2,0,8.55361722569685e-07,0,0,5.53957936676011e-07,1.15676550846336e-06,-4.2705529303948,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell,0,0,7.7765962884406e-07,8.83046267654603e-07,all4,2,2,2,2,0,8.30352948249331e-07,0,0,7.7765962884406e-07,8.83046267654603e-07,-4.22999255631395,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Sinusoidal endothelial cell,Cholangiocyte,1.69299172300711e-08,0,5.57336277489718e-07,1.36055047834687e-06,all4,2,2,2,2,8.46495861503555e-09,9.58943377918294e-07,0,1.69299172300711e-08,5.57336277489718e-07,1.36055047834687e-06,-4.18722812549184,TRUE,FALSE,TRUE,TRUE,AIH,
CCL14-CCR1,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,0.000155061772367347,0.000260919914061614,8.7540619475353e-06,1.41400555066021e-05,all4,2,2,2,2,0.000207990843214481,1.14470587270687e-05,0.000155061772367347,0.000260919914061614,8.7540619475353e-06,1.41400555066021e-05,4.17791655670287,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,IgG+ plasmablast / plasma cell,0,0,1.18443515084225e-06,3.90923387909889e-07,all4,2,2,2,2,0,7.87679269376069e-07,0,0,3.90923387909889e-07,1.18443515084225e-06,-4.15803531503069,TRUE,FALSE,TRUE,TRUE,AIH,
CCL15-CCR1,Vascular endothelial cell,CD8+ T cell 1,1.17584056047855e-05,2.20459897503143e-06,2.45943339021403e-07,5.15865525910467e-07,all4,2,2,2,2,6.98150228990847e-06,3.80904432465935e-07,2.20459897503143e-06,1.17584056047855e-05,2.45943339021403e-07,5.15865525910467e-07,4.03867944689638,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-CD44,IgM+ B cell,Hepatocyte 4,2.93138843058018e-08,0,1.28871107970813e-06,6.07309965764187e-07,all4,2,2,2,2,1.46569421529009e-08,9.48010522736157e-07,0,2.93138843058018e-08,6.07309965764187e-07,1.28871107970813e-06,-4.01809035186028,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Cholangiocyte,CD8+ T cell 3,9.83338727109405e-05,9.21146794517606e-06,2.94866564783063e-06,3.69444411496774e-06,all4,2,2,2,2,5.37726703280583e-05,3.32155488139918e-06,9.21146794517606e-06,9.83338727109405e-05,2.94866564783063e-06,3.69444411496774e-06,3.99803612905147,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,Cholangiocyte,CD8+ T cell 2,0.000130235477931432,0.000107408737839444,5.1630860061838e-06,9.6689315366186e-06,all4,2,2,2,2,0.000118822107885438,7.4160087714012e-06,0.000107408737839444,0.000130235477931432,5.1630860061838e-06,9.6689315366186e-06,3.99351969910366,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,0.000297637911207134,0.00192871391776279,7.34118480493345e-05,6.66540599173534e-05,all4,2,2,2,2,0.00111317591448496,7.00329539833439e-05,0.000297637911207134,0.00192871391776279,6.66540599173534e-05,7.34118480493345e-05,3.98960188310083,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,CD8+ T cell 3,IgG+ plasmablast / plasma cell,0,0,1.18715162049032e-06,1.95869906639117e-07,all4,2,2,2,2,0,6.9151076356472e-07,0,0,1.95869906639117e-07,1.18715162049032e-06,-3.98137384205852,TRUE,FALSE,TRUE,TRUE,AIH,
IL15-IL15RA_IL2RB_IL2RG,Vascular endothelial cell,Hepatocyte 4,0,0,1.16482659870331e-06,1.92421001616706e-07,all4,2,2,2,2,0,6.7862380016001e-07,0,0,1.92421001616706e-07,1.16482659870331e-06,-3.95596765579153,TRUE,FALSE,TRUE,TRUE,AIH,
VEGFA-FLT1,CD4+ T cell,CD8+ T cell 2,1.87561246891004e-05,1.54548648881942e-06,5.36169730178144e-07,6.94610604400567e-07,all4,2,2,2,2,1.01508055889599e-05,6.15390167289355e-07,1.54548648881942e-06,1.87561246891004e-05,5.36169730178144e-07,6.94610604400567e-07,3.94496275833841,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Stellate cell,Vascular endothelial cell,0,0,7.9926752139447e-07,5.23097462854408e-07,all4,2,2,2,2,0,6.61182492124439e-07,0,0,5.23097462854408e-07,7.9926752139447e-07,-3.92085433363094,TRUE,FALSE,TRUE,TRUE,AIH,
FN1-CD44,CD8+ T cell 3,Hepatocyte 3,2.23867220986805e-07,3.96599494127131e-09,2.25711110232505e-06,2.4935640280879e-06,all4,2,2,2,2,1.13916607964038e-07,2.37533756520648e-06,3.96599494127131e-09,2.23867220986805e-07,2.25711110232505e-06,2.4935640280879e-06,-3.91419067638205,TRUE,FALSE,TRUE,TRUE,AIH,
