lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL14-CCR1,CD4+ T cell,CD4+ T cell,5.33581361851811e-05,3.13997432762281e-05,9.66078593779272e-06,1.61166407402023e-05,all4,2,2,2,2,4.23789397307046e-05,1.28887133389975e-05,3.13997432762281e-05,5.33581361851811e-05,9.66078593779272e-06,1.61166407402023e-05,1.71360713839869,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,CD8+ T cell 1,2.98774018234714e-05,2.03641627098339e-05,4.53019840010927e-06,6.07739958196265e-06,all4,2,2,2,2,2.51207822666526e-05,5.30379899103596e-06,2.03641627098339e-05,2.98774018234714e-05,4.53019840010927e-06,6.07739958196265e-06,2.23380700085116,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,CD8+ T cell 2,1.42729303128367e-05,6.06086937993514e-06,1.11129720213158e-06,2.54296825157625e-06,all4,2,2,2,2,1.01668998463859e-05,1.82713272685391e-06,6.06086937993514e-06,1.42729303128367e-05,1.11129720213158e-06,2.54296825157625e-06,2.44640205664509,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,CD8+ T cell 3,5.34720164341321e-05,1.08313272087835e-05,4.87137337582244e-06,5.7439969268042e-06,all4,2,2,2,2,3.21516718214578e-05,5.30768515131332e-06,1.08313272087835e-05,5.34720164341321e-05,4.87137337582244e-06,5.7439969268042e-06,2.58818587023949,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,Cholangiocyte,1.51647465907805e-05,1.11499766386007e-05,2.96281788939999e-06,4.46616469719878e-06,all4,2,2,2,2,1.31573616146906e-05,3.71449129329938e-06,1.11499766386007e-05,1.51647465907805e-05,2.96281788939999e-06,4.46616469719878e-06,1.81170914409013,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,Hepatocyte 1,8.48994311264987e-07,6.94117248705039e-08,7.22501506053603e-07,1.19844768258379e-06,all4,2,2,2,2,4.59203018067745e-07,9.60474594318698e-07,6.94117248705039e-08,8.48994311264987e-07,7.22501506053603e-07,1.19844768258379e-06,-0.99332391100839,TRUE,FALSE,FALSE,FALSE,,
CCL14-CCR1,CD4+ T cell,Hepatocyte 2,6.22464903016334e-07,1.2848130298286e-07,3.68164985062663e-07,5.24186773256319e-07,all4,2,2,2,2,3.75473102999597e-07,4.46175879159491e-07,1.2848130298286e-07,6.22464903016334e-07,3.68164985062663e-07,5.24186773256319e-07,-0.223369979201498,TRUE,FALSE,FALSE,FALSE,,
CCL14-CCR1,CD4+ T cell,Hepatocyte 3,1.13648582858263e-06,5.75705913155007e-09,6.80618691553489e-07,1.03678617015743e-06,all4,2,2,2,2,5.7112144385709e-07,8.58702430855457e-07,5.75705913155007e-09,1.13648582858263e-06,6.80618691553489e-07,1.03678617015743e-06,-0.551339375981931,TRUE,FALSE,FALSE,FALSE,,
CCL14-CCR1,CD4+ T cell,Hepatocyte 4,3.13872169260166e-07,4.24469224075097e-08,6.49048528370111e-07,1.15727249312226e-06,all4,2,2,2,2,1.78159545833838e-07,9.03160510746186e-07,4.24469224075097e-08,3.13872169260166e-07,6.49048528370111e-07,1.15727249312226e-06,-2.07849440713931,TRUE,FALSE,TRUE,TRUE,AIH,
CCL14-CCR1,CD4+ T cell,Ig+ hepatocyte,0,,1.69278306615719e-06,1.71464825538624e-06,all4,2,2,1,2,0,1.70371566077171e-06,,,1.69278306615719e-06,1.71464825538624e-06,-5.22692122037227,FALSE,FALSE,FALSE,FALSE,,
CCL14-CCR1,CD4+ T cell,IgG+ B cell,1.70291690065744e-05,1.44831507977973e-06,1.9906690235845e-06,4.08723510580439e-06,all4,2,2,2,2,9.23874204317705e-06,3.03895206469445e-06,1.44831507977973e-06,1.70291690065744e-05,1.9906690235845e-06,4.08723510580439e-06,1.58938263112052,TRUE,FALSE,FALSE,FALSE,,
CCL14-CCR1,CD4+ T cell,IgG+ plasmablast / plasma cell,2.02977305031249e-05,1.12654676338011e-07,4.32209360452078e-06,7.5209943139234e-06,all4,2,2,2,2,1.02051925897315e-05,5.92154395922209e-06,1.12654676338011e-07,2.02977305031249e-05,4.32209360452078e-06,7.5209943139234e-06,0.780507788514502,TRUE,FALSE,FALSE,FALSE,,
CCL14-CCR1,CD4+ T cell,IgM+ B cell,7.15463586954618e-05,2.8469265013785e-05,1.15481934831289e-05,2.78427313823227e-05,all4,2,2,2,2,5.00078118546234e-05,1.96954624327258e-05,2.8469265013785e-05,7.15463586954618e-05,1.15481934831289e-05,2.78427313823227e-05,1.34221831393528,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,Macrophage 1,2.63289924726957e-05,1.9917998723046e-05,1.01646770374361e-05,1.51835545134773e-05,all4,2,2,2,2,2.31234955978709e-05,1.26741157754567e-05,1.9917998723046e-05,2.63289924726957e-05,1.01646770374361e-05,1.51835545134773e-05,0.865076971666439,TRUE,TRUE,FALSE,TRUE,irHepatitis,
