lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict
CCL,CD4+ T cell,CD4+ T cell,0.000224087571256725,0.00010051564155508,0.000161089142550444,0.000127268004602058,all4,2,2,2,2,0.000162301606405903,0.000144178573576251,0.00010051564155508,0.000224087571256725,0.000127268004602058,0.000161089142550444,0.170720102938137,TRUE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,CD8+ T cell 1,0.000160707904059024,8.13424906043823e-05,5.17564349572214e-05,4.28736418503288e-05,all4,2,2,2,2,0.000121025197331703,4.73150384037751e-05,8.13424906043823e-05,0.000160707904059024,4.28736418503288e-05,5.17564349572214e-05,1.35326934426997,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,CD8+ T cell 2,9.24995968477761e-05,3.45205504151381e-05,1.34592034091255e-05,1.68569221851279e-05,all4,2,2,2,2,6.35100736314571e-05,1.51580627971267e-05,3.45205504151381e-05,9.24995968477761e-05,1.34592034091255e-05,1.68569221851279e-05,2.06040926199302,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,CD8+ T cell 3,0.000200129810109175,6.03008577414655e-05,4.10487645995355e-05,3.8966613631503e-05,all4,2,2,2,2,0.00013021533392532,4.00076891155193e-05,6.03008577414655e-05,0.000200129810109175,3.8966613631503e-05,4.10487645995355e-05,1.70030749270234,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,Cholangiocyte,7.39955597986486e-05,5.49824041942626e-05,3.06042062472991e-05,2.56625033201112e-05,all4,2,2,2,2,6.44889819964556e-05,2.81333547837052e-05,5.49824041942626e-05,7.39955597986486e-05,2.56625033201112e-05,3.06042062472991e-05,1.1941779313951,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,Hepatocyte 1,2.59620506267251e-06,1.49035000018842e-06,4.14518818817592e-06,4.9216569517705e-06,all4,2,2,2,2,2.04327753143046e-06,4.53342256997321e-06,1.49035000018842e-06,2.59620506267251e-06,4.14518818817592e-06,4.9216569517705e-06,-1.11592395512878,TRUE,FALSE,TRUE,TRUE,AIH
CCL,CD4+ T cell,Hepatocyte 2,2.64985366020294e-06,8.6748864878074e-07,2.9444074446077e-06,2.60074761318502e-06,all4,2,2,2,2,1.75867115449184e-06,2.77257752889636e-06,8.6748864878074e-07,2.64985366020294e-06,2.60074761318502e-06,2.9444074446077e-06,-0.630852250524741,TRUE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,Hepatocyte 3,2.25790513516906e-06,1.90238098094701e-06,4.62724386166852e-06,4.83113743528635e-06,all4,2,2,2,2,2.08014305805803e-06,4.72919064847743e-06,1.90238098094701e-06,2.25790513516906e-06,4.62724386166852e-06,4.83113743528635e-06,-1.15103523268148,TRUE,FALSE,TRUE,TRUE,AIH
CCL,CD4+ T cell,Hepatocyte 4,9.86656161565324e-06,6.91080212020858e-08,4.03320676237794e-06,4.43652538415975e-06,all4,2,2,2,2,4.96783481842766e-06,4.23486607326884e-06,6.91080212020858e-08,9.86656161565324e-06,4.03320676237794e-06,4.43652538415975e-06,0.225869028256874,TRUE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,Ig+ hepatocyte,0,,1.40173609878632e-05,1.27373519604886e-05,all4,2,2,1,2,0,1.33773564741759e-05,,,1.27373519604886e-05,1.40173609878632e-05,-7.22683028809441,FALSE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,IgG+ B cell,3.42463555436121e-05,3.39947052214918e-05,2.40082141999305e-05,2.30959033328809e-05,all4,2,2,2,2,3.41205303825519e-05,2.35520587664057e-05,3.39947052214918e-05,3.42463555436121e-05,2.30959033328809e-05,2.40082141999305e-05,0.533086579293615,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,IgG+ plasmablast / plasma cell,0.00011496360749724,2.27760085142372e-07,5.54879704787865e-05,5.75318226408946e-05,all4,2,2,2,2,5.75956837911913e-05,5.65098965598406e-05,2.27760085142372e-07,0.00011496360749724,5.54879704787865e-05,5.75318226408946e-05,0.0274139497105417,TRUE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,IgM+ B cell,0.000279368771217488,0.000123098457102161,0.000129812231196781,0.000150109032120504,all4,2,2,2,2,0.000201233614159824,0.000139960631658643,0.000123098457102161,0.000279368771217488,0.000129812231196781,0.000150109032120504,0.523568208177355,TRUE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,Macrophage 1,0.000142180931000886,7.34639637276135e-05,5.52094883383391e-05,5.37579838974861e-05,all4,2,2,2,2,0.00010782244736425,5.44837361179126e-05,7.34639637276135e-05,0.000142180931000886,5.37579838974861e-05,5.52094883383391e-05,0.983583799512424,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,Macrophage 2,0.00011813985651556,0.000119593368604182,6.92979743574243e-05,6.13549004197265e-05,all4,2,2,2,2,0.000118866612559871,6.53264373885754e-05,0.00011813985651556,0.000119593368604182,6.13549004197265e-05,6.92979743574243e-05,0.862711311009142,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD4+ T cell,Sinusoidal endothelial cell,3.52604701401061e-06,1.49895823430816e-06,1.44579967629701e-05,1.12684546845376e-05,all4,2,2,2,2,2.51250262415939e-06,1.28632257237538e-05,1.49895823430816e-06,3.52604701401061e-06,1.12684546845376e-05,1.44579967629701e-05,-2.31538172040326,TRUE,FALSE,TRUE,TRUE,AIH
CCL,CD4+ T cell,Stellate cell,3.17212143974083e-05,2.97574796298326e-05,3.06392445588376e-05,2.51893756097107e-05,all4,2,2,2,2,3.07393470136204e-05,2.79143100842741e-05,2.97574796298326e-05,3.17212143974083e-05,2.51893756097107e-05,3.06392445588376e-05,0.138655891864401,TRUE,FALSE,FALSE,FALSE,
CCL,CD4+ T cell,Vascular endothelial cell,5.40300616701832e-05,1.62415980310458e-05,3.13541828284928e-05,2.33589522818579e-05,all4,2,2,2,2,3.51358298506145e-05,2.73565675551754e-05,1.62415980310458e-05,5.40300616701832e-05,2.33589522818579e-05,3.13541828284928e-05,0.360009051802725,TRUE,FALSE,FALSE,FALSE,
CCL,CD8+ T cell 1,CD4+ T cell,0.000162005076555113,8.25958732308932e-05,0.000162694653266094,0.000100815671911886,all4,2,2,2,2,0.000122300474893003,0.00013175516258899,8.25958732308932e-05,0.000162005076555113,0.000100815671911886,0.000162694653266094,-0.107353435526068,TRUE,FALSE,FALSE,FALSE,
CCL,CD8+ T cell 1,CD8+ T cell 1,0.000372334087162919,0.000445313866718143,0.000216066116251822,0.000187100682452884,all4,2,2,2,2,0.000408823976940531,0.000201583399352353,0.000372334087162919,0.000445313866718143,0.000187100682452884,0.000216066116251822,1.0197769127332,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD8+ T cell 1,CD8+ T cell 2,0.000264545447727105,0.000207126715026102,0.000129773161285498,9.58860333728411e-05,all4,2,2,2,2,0.000235836081376604,0.00011282959732917,0.000207126715026102,0.000264545447727105,9.58860333728411e-05,0.000129773161285498,1.06303965552115,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD8+ T cell 1,CD8+ T cell 3,0.000356881797374741,0.000374242740304588,0.000189003339194621,0.000163063438899342,all4,2,2,2,2,0.000365562268839664,0.000176033389046981,0.000356881797374741,0.000374242740304588,0.000163063438899342,0.000189003339194621,1.05388620411032,TRUE,TRUE,FALSE,TRUE,irHepatitis
