source,target,pathway_label,direction,log2FC,enrich_prob,irH_mean,AIH_mean,irH_s1_18321a,irH_s2_24774d,AIH_s1_54023b,AIH_s2_56784c,dir3,liana_confirmed,commot_confirmed,liana_detail,commot_detail,triple_confirmed
CD8+ T cell 3,Cholangiocyte,MHC-I_CD8A,irHep,8.99135657028931,0.000213634808702648,0,2.87304371271714e-06,0.000365018175259781,6.22514421455151e-05,0,0,irHep,FALSE,TRUE,,HLA-B-CD8A,FALSE
CD8+ T cell 2,Cholangiocyte,MHC-I_CD8A,irHep,8.24515724339117,0.000127193258655159,0,2.87304371271714e-06,0.00020571561378646,4.86709035238589e-05,0,0,irHep,FALSE,TRUE,,HLA-B-CD8A,FALSE
Cholangiocyte,CD8+ T cell 2,VEGF,irHep,7.15275186471348,5.94276003613974e-05,0,2.87304371271714e-06,5.378424925617e-05,6.50709514666248e-05,0,0,irHep,FALSE,TRUE,,VEGFA-FLT1,FALSE
Hepatocyte 3,CD4+ T cell,MHC-I_CD8A,irHep,7.01902096334534,5.41293165578415e-05,0,2.87304371271714e-06,5.75409520507106e-05,5.07176810649723e-05,0,0,irHep,FALSE,FALSE,,,FALSE
IgM+ B cell,IgG+ plasmablast / plasma cell,CXCL_CXCR4,irHep,6.88880298723358,4.94212991291005e-05,0,2.87304371271714e-06,5.09107793080671e-05,4.79318189501339e-05,0,0,irHep,TRUE,FALSE,CXCL12-CXCR4,,FALSE
Cholangiocyte,CD8+ T cell 3,CXCL_CXCR3,irHep,3.56693962592437,0.000165377449228734,0,2.87304371271714e-06,0.000285699400154713,4.50554983027541e-05,1.50501005517904e-05,1.20890980993704e-05,irHep,TRUE,FALSE,CXCL9-CXCR3|CXCL10-CXCR3|CXCL11-CXCR3,,FALSE
Vascular endothelial cell,CD8+ T cell 2,CCL_CCR1,irHep,3.10583886669154,3.37373840431152e-05,0,2.87304371271714e-06,4.88590126817627e-05,1.86157554044678e-05,7.09426915052095e-06,0,irHep,TRUE,TRUE,CCL14-CCR1,CCL16-CCR1|CCL14-CCR1|CCL5-CCR1,TRUE
Cholangiocyte,CD8+ T cell 3,MHC-I_CD8B,irHep,0.215293171055831,0.000445783081344344,0,2.87304371271714e-06,0.000478172769916154,0.000413393392772533,0.000391015458321468,0.000376837258192146,irHep,TRUE,FALSE,HLA-B-CD8B,,FALSE
Cholangiocyte,CD8+ T cell 2,MHC-I_CD8B,AIH,-0.400740621577991,0.000255038197305433,0,2.87304371271714e-06,0.000155650113215775,0.000230513099648352,0.000247518970398581,0.000262557424212284,AIH,FALSE,FALSE,,,FALSE
IgM+ B cell,Sinusoidal endothelial cell,CD80,AIH,-0.790777105962261,3.0703269908731e-07,0,2.87304371271714e-06,0,0,4.01736159016206e-07,2.12329239158414e-07,AIH,FALSE,FALSE,,,FALSE
Hepatocyte 1,CD4+ T cell,CCL_CCR5,AIH,-0.929508330951124,3.80476291588811e-07,0,2.87304371271714e-06,0,0,6.815660592208e-07,7.93865239568214e-08,AIH,TRUE,FALSE,CCL16-CCR5,,FALSE
CD8+ T cell 2,Cholangiocyte,FASLG,AIH,-1.14510584022002,7.04510027588896e-05,0,2.87304371271714e-06,4.16653185450983e-05,2.15836072317375e-05,5.22289804965828e-05,8.86730250211963e-05,AIH,TRUE,FALSE,FASLG-FAS,,FALSE
CD8+ T cell 2,Cholangiocyte,FN1,AIH,-1.19442211154304,0.00046564580604706,0,2.87304371271714e-06,6.62135867986686e-05,0.000340251323915139,0.000369180582786145,0.000562111029307974,AIH,TRUE,FALSE,FN1-SDC1,,FALSE
Cholangiocyte,CD8+ T cell 3,CSF,AIH,-1.36340573030897,9.93957242781092e-05,0,2.87304371271714e-06,5.7650041832908e-05,1.90987348278949e-05,0.000125068396875873,7.37230516803454e-05,AIH,FALSE,FALSE,,,FALSE
Hepatocyte 2,CD4+ T cell,FN1,AIH,-1.55969962169588,0.000460850844999683,0,2.87304371271714e-06,8.92203861325603e-05,0.000222884997986809,0.000374798981909008,0.000546902708090358,AIH,FALSE,TRUE,,FN1-SDC1,FALSE
Hepatocyte 1,CD4+ T cell,FN1,AIH,-1.5799674760577,0.000532852298635323,0,2.87304371271714e-06,0.000105341652214146,0.000250565457163792,0.000429721749868213,0.000635982847402432,AIH,FALSE,TRUE,,FN1-SDC1,FALSE
Hepatocyte 3,CD4+ T cell,FN1,AIH,-1.86212944400218,0.000250746655056754,0,2.87304371271714e-06,3.94323167970066e-05,9.790363790007e-05,0.000161285235545714,0.000340208074567793,AIH,FALSE,TRUE,,FN1-SDC1,FALSE
Hepatocyte 1,CD4+ T cell,ICOS,AIH,-1.99658944213298,0.000181494673240188,0,2.87304371271714e-06,5.13482322632974e-05,3.89835003931894e-05,0.00017240083760839,0.000190588508871987,AIH,TRUE,FALSE,ICOSLG-CTLA4,,FALSE
Cholangiocyte,CD8+ T cell 3,CXCL_CXCR2,AIH,-2.00370715478395,0.000235537554062031,0,2.87304371271714e-06,8.51587018866804e-05,3.16764209743157e-05,0.000318034295843029,0.000153040812281032,AIH,TRUE,FALSE,CXCL1-CXCR2,,FALSE
Hepatocyte 1,CD4+ T cell,CCL_CCR1,AIH,-2.29579013821679,0.000137987746358732,0,2.87304371271714e-06,5.55343396675094e-05,0,0.000139997224781982,0.000135978267935482,AIH,TRUE,FALSE,CCL16-CCR1|CCL15-CCR1,,FALSE
IgG+ B cell,CD8+ T cell 2,MHC-I_CD8B,AIH,-2.34292878950425,0.000137305312558898,0,2.87304371271714e-06,5.34530638626022e-05,0,0.000183481681779271,9.11289433385249e-05,AIH,FALSE,FALSE,,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CCL_CCR1,AIH,-2.37485769351321,0.000111858319355375,0,2.87304371271714e-06,4.24525288521694e-05,0,0.000120510056116543,0.000103206582594207,AIH,FALSE,TRUE,,CCL5-CCR1,FALSE
Hepatocyte 3,CD4+ T cell,CXCL_CXCR3,AIH,-2.48527493561046,1.93446252968308e-06,0,2.87304371271714e-06,0,0,2.06797034730143e-06,1.80095471206474e-06,AIH,FALSE,FALSE,,,FALSE
CD4+ T cell,Hepatocyte 1,CD40,AIH,-2.53861085777828,4.01078300950977e-05,0,2.87304371271714e-06,3.44943904937516e-06,9.65994263083874e-06,3.98447192046298e-05,4.03709409855656e-05,AIH,TRUE,FALSE,CD40LG-CD40,,FALSE
Hepatocyte 3,IgM+ B cell,FN1,AIH,-2.58410932211217,0.000144724452699273,0,2.87304371271714e-06,1.6461568214736e-05,3.1107554296943e-05,8.03817138722862e-05,0.000209067191526259,AIH,TRUE,FALSE,FN1-CD44,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CCL_CCR5,AIH,-2.64599068097923,2.21198555228313e-06,0,2.87304371271714e-06,0,0,2.84970516056737e-06,1.5742659439989e-06,AIH,TRUE,FALSE,CCL16-CCR5|CCL14-CCR5,,FALSE
CD8+ T cell 2,Vascular endothelial cell,FASLG,AIH,-2.66942022992937,8.07454159719614e-06,0,2.87304371271714e-06,0,1.82951784164091e-06,1.16031865497221e-05,4.54589664467018e-06,AIH,TRUE,FALSE,FASLG-FAS,,FALSE
Sinusoidal endothelial cell,IgM+ B cell,CCL_CCR1,AIH,-2.8274394218971,0.000195196696331866,0,2.87304371271714e-06,5.42767830104699e-05,0,0.000191968417898131,0.0001984249747656,AIH,TRUE,TRUE,CCL16-CCR1,CCL5-CCR1,TRUE
Cholangiocyte,CD8+ T cell 3,FN1,AIH,-2.83293516205839,0.00019913056258973,0,2.87304371271714e-06,3.51813633911571e-05,1.99900636488926e-05,8.29888648748828e-05,0.000315272260304577,AIH,TRUE,FALSE,FN1-CD44,,FALSE
Sinusoidal endothelial cell,CD4+ T cell,CXCL_CXCR3,AIH,-2.96656072464468,2.8670330571196e-06,0,2.87304371271714e-06,0,0,1.30152961569177e-06,4.43253649854743e-06,AIH,TRUE,FALSE,CXCL11-CXCR3|CXCL12-CXCR3,,FALSE
Sinusoidal endothelial cell,IgM+ B cell,CSF,AIH,-3.01838840824421,7.09099691466744e-05,0,2.87304371271714e-06,1.67656109429849e-05,0,8.00537650521194e-05,6.17661732412294e-05,AIH,FALSE,FALSE,,,FALSE
