from_label,to_label,AIH_enrich,irHep_enrich,delta_enrichm,sig_aih_strict,sig_irh_strict,sig_aih_relaxed,sig_irh_relaxed,sig_category_strict,sig_category_relaxed,robust_count_strict,robust_count_relaxed
CD8+ T cell 2,Cholangiocyte,-1.72386798306009,1.02346140520393,2.74732938826401,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,IgG+ B cell,-2.61316049875532,0.128779032493429,2.74193953124875,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 2,IgG+ B cell,-3.15888791716204,-0.804182979871858,2.35470493729018,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 2,Vascular endothelial cell,-3.37539325652802,-1.48893972049444,1.88645353603358,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ plasmablast / plasma cell,IgM+ B cell,-0.0229482098599895,1.83145587054014,1.85440408040012,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,IgG+ B cell,-0.689058895293683,1.15823613950841,1.84729503480209,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Cholangiocyte,-0.831060043021352,1.00210414280762,1.83316418582897,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,IgM+ B cell,-1.86298515054454,-0.0927398304622703,1.77024532008226,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,1.91626978458201,3.43334990702913,1.51708012244712,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Vascular endothelial cell,-3.57096077104258,-2.05566825362703,1.51529251741555,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,IgG+ plasmablast / plasma cell,1.43369139003408,2.93317335885481,1.49948196882073,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,IgG+ B cell,0.219010806188242,1.69147365832623,1.47246285213799,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Vascular endothelial cell,-3.31437206127665,-1.97398680197528,1.34038525930137,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Macrophage 1,-1.84427139892337,-0.514707201549453,1.32956419737391,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,IgG+ B cell,-2.78885520760288,-1.51380100856934,1.27505419903354,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,IgG+ B cell,-0.747661589750139,0.507979560667736,1.25564115041787,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,IgM+ B cell,0.272849748437103,1.50770195900845,1.23485221057134,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Cholangiocyte,3.0921365650849,4.31057794702885,1.21844138194395,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Macrophage 2,-1.19165649825232,-0.042714194991705,1.14894230326061,TRUE,TRUE,TRUE,FALSE,both,AIH_only,2,1
CD4+ T cell,IgG+ plasmablast / plasma cell,0.198165851744274,1.32391775729612,1.12575190555184,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,CD8+ T cell 1,-0.136177335474946,0.923060019745196,1.05923735522014,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,CD4+ T cell,1.73013077186448,2.78913343020357,1.0590026583391,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Cholangiocyte,-1.06741097947584,-0.012753280149629,1.05465769932621,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
CD8+ T cell 1,IgM+ B cell,-0.463662911926143,0.541972854645058,1.0056357665712,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,Macrophage 2,-0.650722058006529,0.352894609263519,1.00361666727005,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
Hepatocyte 1,IgG+ B cell,-2.7029488979793,-1.70245126647746,1.00049763150184,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ plasmablast / plasma cell,Vascular endothelial cell,0.301555372144787,1.2860520398257,0.984496667680908,FALSE,TRUE,TRUE,TRUE,irHep_only,both,1,2
Ig+ hepatocyte,Stellate cell,-0.771716550053446,0.194556125850856,0.966272675904301,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 3,Macrophage 2,-0.373335656733676,0.562369462772257,0.935705119505933,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Macrophage 2,-0.116365000653745,0.743831142630266,0.860196143284011,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,IgM+ B cell,1.60517732361616,2.4646191036448,0.859441780028645,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 1,Stellate cell,-1.16248070463837,-0.303102181817621,0.859378522820751,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,IgG+ B cell,0.194340913041809,0.991646702542413,0.797305789500603,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Vascular endothelial cell,-0.634433356230817,0.15793931069003,0.792372666920847,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
Ig+ hepatocyte,Vascular endothelial cell,-0.835868696973453,-0.06582108025084,0.770047616722613,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 1,CD8+ T cell 3,0.294307898692172,1.02859801974391,0.73429012105174,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Macrophage 2,-1.42460396596403,-0.700137760174125,0.724466205789906,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,IgM+ B cell,2.66830103692101,3.36381373192642,0.69551269500541,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Macrophage 2,-0.121156382002687,0.560905410068656,0.682061792071342,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Vascular endothelial cell,-0.704119019145711,-0.0309224305012155,0.673196588644495,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
CD4+ T cell,CD8+ T cell 3,-0.344476052583371,0.293008730262015,0.637484782845386,TRUE,FALSE,TRUE,TRUE,AIH_only,both,1,2
Hepatocyte 2,Stellate cell,-0.981023843972697,-0.354244358377991,0.626779485594707,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,CD8+ T cell 3,0.559951164996322,1.17986205074396,0.619910885747633,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ plasmablast / plasma cell,Stellate cell,-0.173063871800146,0.419602535507569,0.592666407307714,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,Macrophage 1,-0.908960761710405,-0.327692497449217,0.581268264261188,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,CD8+ T cell 1,0.537267237339744,1.11363948285134,0.576372245511593,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,CD8+ T cell 2,0.25872761864954,0.826050694717686,0.567323076068147,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Vascular endothelial cell,-1.35898221642509,-0.7922548036804,0.566727412744694,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,Stellate cell,-1.23453656776483,-0.696055797857117,0.538480769907709,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 1,Macrophage 1,0.956355192450877,1.48781454103679,0.531459348585913,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Macrophage 1,-1.30811475512696,-0.778099259101461,0.530015496025501,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,IgM+ B cell,-2.24453263920264,-1.71866806837548,0.525864570827155,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Stellate cell,-1.31057914306697,-0.78600497749583,0.524574165571135,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Macrophage 2,Macrophage 2,0.883444927839862,1.4037488183823,0.520303890542438,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 3,Macrophage 1,0.232127431650693,0.736470432702677,0.504343001051984,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Macrophage 2,0.373182956447851,0.874533155902912,0.501350199455061,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Macrophage 2,0.288502302297309,0.78391686933631,0.495414567039001,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,IgG+ plasmablast / plasma cell,-1.95565201382409,-1.50054729509579,0.455104718728298,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 4,IgM+ B cell,-3.01389141528201,-2.55891688433151,0.4549745309505,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Stellate cell,0.191304438946645,0.608632537072509,0.417328098125864,FALSE,TRUE,TRUE,TRUE,irHep_only,both,1,2
IgG+ plasmablast / plasma cell,Macrophage 2,0.154966482536336,0.563043189600219,0.408076707063882,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 2,Macrophage 1,0.15826315060707,0.548047634032146,0.389784483425077,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,IgG+ plasmablast / plasma cell,-0.196723367046932,0.183727349129888,0.38045071617682,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,Macrophage 2,0.269716811773652,0.641276076168821,0.37155926439517,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Cholangiocyte,Macrophage 2,0.25406768693626,0.620053317925834,0.365985630989574,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Stellate cell,Vascular endothelial cell,0.525330530280835,0.876912999620758,0.351582469339923,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgG+ B cell,Sinusoidal endothelial cell,-1.94280797464272,-1.59876925832979,0.34403871631292,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,IgG+ plasmablast / plasma cell,0.661633375499825,0.995666682510688,0.334033307010863,TRUE,TRUE,TRUE,FALSE,both,AIH_only,2,1
Cholangiocyte,Hepatocyte 4,-2.43189359238753,-2.1029145573827,0.328979035004823,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 2,Sinusoidal endothelial cell,0.17717718381134,0.504437311843077,0.327260128031736,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD8+ T cell 1,Macrophage 1,0.359471734880733,0.686146358443827,0.326674623563094,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Cholangiocyte,-0.763427582642788,-0.455474557420063,0.307953025222726,TRUE,TRUE,TRUE,TRUE,both,both,2,2
