source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank,sample_id,condition
Cholangiocyte,Macrophage 1,CXCL6,CXCR2,3.55654270423097e-09,303,0.142375308506335,2,2.5595679533113,1,3.84794393440469,1,0.794211010761679,311,0,1200,18321_a,irHepatitis
Cholangiocyte,Macrophage 1,CXCL1,CXCR2,5.55191604927355e-08,415.6,0.126661390089112,4,1.84969167699153,5,3.24389357872799,5,0.733353311948348,864,0,1200,18321_a,irHepatitis
Cholangiocyte,Macrophage 1,CXCL5,CXCR2,9.5907271338625e-08,426,0.171386109905923,1,1.84625701307372,6,3.34121418410395,4,0.729100390682096,919,0,1200,18321_a,irHepatitis
Sinusoidal endothelial cell,Macrophage 1,CCL14,CCR1,2.23144031270744e-07,263.2,0.0525361856331627,47,1.54931399638244,17,2.9583977930218,13,0.858385416692043,39,0,1200,18321_a,irHepatitis
Stellate cell,Hepatocyte 1,DCN,MET,2.05542804008972e-06,297.4,0.043869998802788,82,1.28600153807738,46,2.44021974060569,78,0.842990686009335,81,0,1200,18321_a,irHepatitis
Cholangiocyte,CD8+ T cell 3,CXCL11,CXCR3,3.5366688616584e-06,471.2,0.0721765528934537,10,1.55048501234873,16,2.89294850699431,20,0.714871644257411,1110,0,1200,18321_a,irHepatitis
Stellate cell,Hepatocyte 1,DCN,EGFR,5.50455438271791e-06,294,0.0506946608021488,50,1.28479012241118,47,2.4858736129813,68,0.836638162602938,105,0,1200,18321_a,irHepatitis
Stellate cell,Cholangiocyte,DCN,MET,5.93408169513236e-06,310.2,0.0402859694931767,107,1.23338848082368,64,2.42596246806859,80,0.837267663583785,100,0,1200,18321_a,irHepatitis
Cholangiocyte,Macrophage 2,CXCL5,CXCR2,7.75553621630771e-06,773.8,0.0660645890788125,20,1.41514570792753,26,3.06940790774508,9,0.625607879783514,2614,0,1200,18321_a,irHepatitis
Cholangiocyte,Macrophage 2,CXCL6,CXCR2,8.58015949511997e-06,498,0.054881730244086,39,2.12845664816511,2,3.57613765804582,2,0.705547173099546,1247,0,1200,18321_a,irHepatitis
Sinusoidal endothelial cell,CD8+ T cell 3,CCL14,CCR1,2.52605506647405e-05,330.2,0.033760589007462,154,1.22787224667196,66,2.28487110820777,104,0.829323450115913,127,0,1200,18321_a,irHepatitis
Stellate cell,Hepatocyte 4,DCN,MET,2.59186775227759e-05,345.8,0.034685821587301,144,1.15117907990977,97,2.15982066818102,155,0.82681218715535,133,0,1200,18321_a,irHepatitis
