sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
54023_b,4350,-9850,220,20,116,36,13,49
54023_b,4350,-9800,206,20,113,34,13,47
54023_b,4350,-9900,224,18,107,34,13,47
56784_c,16250,-8900,110,29,102,27,12,39
56784_c,16250,-8950,111,27,113,27,12,39
56784_c,16200,-8900,124,26,116,27,12,39
56784_c,16200,-8950,127,25,126,27,12,39
54023_b,4350,-9950,172,13,89,28,9,37
54023_b,4400,-9850,164,33,136,24,12,36
54023_b,4400,-9800,144,33,133,23,12,35
54023_b,5250,-9150,82,30,65,19,16,35
56784_c,16300,-8900,92,30,86,24,10,34
54023_b,4400,-9900,179,27,117,22,12,34
54023_b,5250,-9100,92,27,69,20,14,34
56784_c,16300,-8950,93,27,95,24,10,34
54023_b,5350,-9150,96,17,88,21,13,34
54023_b,4300,-9850,180,10,106,27,6,33
54023_b,4450,-9900,136,29,127,19,13,32
56784_c,16250,-9000,82,26,103,22,10,32
56784_c,16200,-9000,93,24,114,22,10,32
56784_c,16200,-8850,100,24,103,23,9,32
56784_c,16250,-8850,93,22,98,23,9,32
54023_b,5300,-9100,104,20,84,19,13,32
56784_c,13650,-9350,61,40,94,20,11,31
54023_b,4400,-9750,135,33,125,20,11,31
56784_c,13650,-9300,62,33,118,20,11,31
54023_b,5300,-9150,83,21,81,17,14,31
54023_b,4350,-9750,194,18,108,20,11,31
54023_b,4300,-9900,179,10,100,25,6,31
54023_b,4300,-9800,178,10,118,25,6,31
54023_b,4350,-10000,143,6,65,25,6,31
56784_c,16150,-8900,120,18,114,22,8,30
54023_b,5350,-9100,111,17,86,19,11,30
54023_b,4200,-9850,142,8,90,24,6,30
54023_b,4250,-9850,156,8,94,24,6,30
54023_b,4450,-9850,129,34,148,18,11,29
56784_c,16300,-8850,83,24,86,21,8,29
54023_b,4400,-9700,147,23,113,21,8,29
54023_b,4350,-9700,197,12,102,21,8,29
54023_b,4200,-9800,171,8,118,23,6,29
54023_b,5250,-9200,71,36,65,15,13,28
54023_b,4450,-9800,94,35,149,17,11,28
56784_c,13650,-9250,64,31,131,18,10,28
56784_c,16150,-8950,123,19,122,21,7,28
54023_b,4300,-9950,143,9,79,23,5,28
54023_b,4250,-9800,169,8,113,22,6,28
54023_b,4300,-10000,122,6,51,23,5,28
54023_b,5200,-9150,56,32,44,15,12,27
54023_b,5350,-9250,86,27,92,18,9,27
56784_c,16300,-9000,66,25,89,19,8,27
54023_b,2250,-9900,140,24,159,20,7,27
54023_b,2300,-9900,105,24,186,20,7,27
54023_b,2350,-9900,88,21,193,20,7,27
54023_b,5350,-9200,89,20,89,17,10,27
54023_b,2200,-9900,159,19,147,20,7,27
54023_b,5350,-9300,67,33,89,17,9,26
54023_b,5200,-9100,56,31,46,14,12,26
54023_b,4500,-9900,101,28,113,15,11,26
56784_c,13750,-9350,60,28,86,17,9,26
56784_c,13750,-9300,60,24,104,17,9,26
54023_b,5250,-9250,59,42,63,14,11,25
54023_b,2300,-9800,60,35,239,18,7,25
54023_b,2250,-9800,107,32,222,18,7,25
54023_b,2300,-9850,102,31,203,18,7,25
54023_b,2250,-9850,150,29,177,18,7,25
54023_b,2200,-9800,129,27,189,18,7,25
54023_b,2200,-9850,170,24,156,18,7,25
54023_b,2300,-10200,79,20,129,14,11,25
56784_c,16150,-8850,93,20,96,19,6,25
56784_c,16150,-9000,89,19,110,19,6,25
54023_b,4250,-9900,152,8,85,20,5,25
54023_b,4200,-9900,131,5,76,21,4,25
54023_b,5300,-9250,68,37,91,14,10,24
54023_b,4450,-9750,81,33,132,16,8,24
54023_b,5300,-9200,72,31,84,13,11,24
54023_b,2350,-10200,79,26,125,14,10,24
54023_b,4400,-9950,132,15,92,16,8,24
54023_b,4550,-9800,53,55,124,11,12,23
54023_b,4550,-9850,66,47,124,11,12,23
54023_b,2350,-9800,41,38,250,17,6,23
54023_b,4500,-9800,81,38,137,13,10,23
54023_b,4500,-9850,100,36,138,13,10,23
54023_b,4550,-9900,66,35,101,11,12,23
54023_b,2350,-9850,80,31,217,17,6,23
54023_b,5150,-9150,42,31,41,12,11,23
56784_c,13700,-9350,56,31,88,15,8,23
54023_b,5400,-9300,80,30,91,16,7,23
56784_c,13700,-9300,57,28,109,15,8,23
56784_c,16250,-9050,40,28,104,14,9,23
56784_c,16200,-9050,45,27,118,14,9,23
54023_b,5450,-9300,86,26,91,15,8,23
56784_c,13800,-9350,56,26,89,15,8,23
56784_c,16350,-8950,72,25,80,16,7,23
56784_c,16350,-8900,72,25,69,16,7,23
56784_c,13800,-9300,55,24,96,15,8,23
54023_b,2250,-10200,96,13,127,14,9,23
56784_c,13650,-9400,41,36,77,15,7,22
56784_c,13600,-9350,51,34,85,14,8,22
56784_c,13600,-9300,51,29,113,14,8,22
54023_b,2250,-10000,80,27,153,13,9,22
54023_b,2300,-10000,83,25,174,13,9,22
56784_c,13600,-9250,55,25,130,14,8,22
54023_b,5250,-9050,76,23,83,14,8,22
56784_c,13750,-9250,60,22,106,15,7,22
54023_b,2350,-10000,80,20,170,13,9,22
54023_b,5300,-9050,93,18,89,14,8,22
54023_b,4450,-9950,107,16,96,13,9,22
54023_b,2250,-10300,106,9,111,17,5,22
54023_b,4250,-9950,118,7,65,18,4,22
54023_b,4250,-10000,103,5,40,18,4,22
54023_b,5250,-9300,40,42,68,11,10,21
54023_b,1300,-10500,38,40,124,13,8,21
54023_b,1400,-10500,75,31,127,13,8,21
54023_b,1350,-10500,54,28,125,13,8,21
54023_b,5150,-9100,40,28,38,11,10,21
54023_b,2200,-10000,80,24,163,12,9,21
54023_b,5400,-9250,97,24,98,15,6,21
56784_c,13650,-9200,48,22,138,14,7,21
54023_b,5450,-9250,100,19,106,14,7,21
54023_b,5350,-9050,92,17,90,13,8,21
54023_b,5300,-9300,45,41,94,11,9,20
54023_b,5200,-9200,45,35,41,11,9,20
56784_c,13500,-9550,43,30,104,11,9,20
56784_c,16300,-9050,31,29,89,13,7,20
56784_c,13500,-9600,43,28,102,11,9,20
56784_c,13750,-9400,46,27,78,13,7,20
56784_c,16350,-8850,66,19,73,14,6,20
56784_c,13600,-9200,46,18,142,13,7,20
56784_c,16100,-8900,100,15,117,13,7,20
54023_b,5450,-9200,99,13,97,13,7,20
54023_b,5400,-9200,99,12,91,14,6,20
54023_b,5400,-9150,96,10,86,14,6,20
54023_b,5450,-9150,93,10,94,13,7,20
54023_b,2250,-10350,107,6,115,16,4,20
54023_b,2150,-10300,108,5,118,16,4,20
54023_b,4150,-9850,147,5,89,17,3,20
54023_b,5200,-9250,41,38,45,11,8,19
54023_b,5450,-9350,50,37,79,11,8,19
54023_b,2200,-9750,104,34,214,13,6,19
54023_b,4500,-9750,59,34,121,12,7,19
54023_b,1450,-10500,72,26,126,12,7,19
56784_c,13700,-9250,57,25,121,13,6,19
56784_c,13800,-9250,51,23,95,13,6,19
56784_c,16100,-8950,109,18,125,13,6,19
54023_b,4500,-9950,77,16,88,11,8,19
54023_b,4400,-9650,104,15,98,15,4,19
54023_b,2200,-10200,96,12,135,11,8,19
54023_b,4350,-9650,158,11,96,15,4,19
54023_b,2200,-10300,119,8,111,15,4,19
54023_b,2200,-10350,118,6,117,15,4,19
54023_b,4300,-9700,189,6,108,15,4,19
54023_b,4150,-9800,156,5,116,16,3,19
54023_b,1300,-10550,60,33,119,12,6,18
54023_b,1400,-10550,100,26,123,12,6,18
54023_b,2250,-9950,110,24,155,13,5,18
54023_b,1300,-10600,79,23,131,12,6,18
54023_b,1350,-10550,79,23,120,12,6,18
54023_b,4450,-9700,78,23,118,13,5,18
54023_b,1400,-10600,104,22,115,12,6,18
54023_b,2300,-9950,87,22,180,13,5,18
54023_b,2200,-9950,117,21,153,13,5,18
56784_c,13850,-9350,36,21,86,12,6,18
54023_b,5250,-9000,62,20,87,11,7,18
56784_c,13850,-9300,35,20,81,12,6,18
56784_c,16100,-9000,75,20,114,12,6,18
54023_b,2350,-9950,79,17,186,13,5,18
54023_b,5300,-9000,83,17,93,11,7,18
54023_b,5350,-9000,87,17,97,11,7,18
54023_b,1350,-10600,92,16,124,12,6,18
54023_b,2150,-9800,151,16,181,13,5,18
54023_b,2300,-10300,87,15,109,12,6,18
54023_b,2150,-9850,187,14,158,13,5,18
54023_b,2150,-10350,102,5,129,14,4,18
54023_b,4400,-10000,115,5,64,13,5,18
54023_b,1300,-10450,27,42,126,10,7,17
54023_b,2300,-9750,39,41,267,12,5,17
54023_b,2250,-9750,84,37,256,12,5,17
54023_b,1250,-10600,61,32,114,11,6,17
56784_c,13550,-9350,33,31,88,11,6,17
56784_c,18650,-9150,52,30,107,8,9,17
54023_b,1350,-10450,40,29,128,10,7,17
56784_c,13700,-9400,39,29,74,11,6,17
54023_b,1400,-10450,61,27,125,10,7,17
54023_b,5200,-9050,45,27,52,10,7,17
56784_c,13550,-9300,34,27,103,11,6,17
