sample,x0,y0,n_hep,n_cd4,n_chol,score
54023_b,843.953109741211,-11083.6330566406,34,54,49,42.8485705712571
54023_b,843.953109741211,-11033.6330566406,44,60,73,51.3809303146605
54023_b,843.953109741211,-10983.6330566406,47,65,62,55.2720544217419
54023_b,843.953109741211,-10933.6330566406,44,54,57,48.7442304278158
54023_b,843.953109741211,-10883.6330566406,40,52,58,45.6070170039655
54023_b,843.953109741211,-10833.6330566406,34,56,75,43.6348484585429
54023_b,893.953109741211,-11133.6330566406,43,45,8,43.9886348958455
54023_b,893.953109741211,-11083.6330566406,63,49,8,55.5607775323564
54023_b,893.953109741211,-11033.6330566406,73,53,18,62.201286160336
54023_b,893.953109741211,-10983.6330566406,74,54,16,63.2139225171164
54023_b,893.953109741211,-10933.6330566406,72,44,15,56.2849891178812
54023_b,893.953109741211,-10883.6330566406,66,45,23,54.4977063737549
54023_b,893.953109741211,-10833.6330566406,55,53,39,53.9907399467724
54023_b,893.953109741211,-10783.6330566406,36,57,34,45.2990066116245
54023_b,943.953109741211,-11183.6330566406,37,21,2,27.8747197295327
54023_b,943.953109741211,-11133.6330566406,58,34,2,44.407206622349
54023_b,943.953109741211,-11083.6330566406,83,36,2,54.6626014748658
54023_b,943.953109741211,-11033.6330566406,96,39,9,61.1882341631134
54023_b,943.953109741211,-10983.6330566406,97,41,13,63.0634601017103
54023_b,943.953109741211,-10933.6330566406,95,39,12,60.8687111741328
54023_b,943.953109741211,-10883.6330566406,84,37,20,55.7494394590654
54023_b,943.953109741211,-10833.6330566406,67,49,25,57.2974694031072
54023_b,943.953109741211,-10783.6330566406,44,54,23,48.7442304278158
54023_b,943.953109741211,-10733.6330566406,33,55,27,42.6028168082816
54023_b,993.953109741211,-11183.6330566406,51,8,2,20.1990098767242
54023_b,993.953109741211,-11133.6330566406,73,10,2,27.0185121722126
54023_b,993.953109741211,-11083.6330566406,103,10,2,32.0936130717624
54023_b,993.953109741211,-11033.6330566406,111,12,4,36.4965751817893
54023_b,993.953109741211,-10983.6330566406,112,17,4,43.6348484585429
54023_b,993.953109741211,-10933.6330566406,106,20,3,46.0434577328854
54023_b,993.953109741211,-10883.6330566406,94,30,8,53.103672189407
54023_b,993.953109741211,-10833.6330566406,72,43,11,55.6417109729742
54023_b,993.953109741211,-10783.6330566406,49,48,9,48.4974226119286
54023_b,993.953109741211,-10733.6330566406,38,48,15,42.7083130081252
54023_b,993.953109741211,-10683.6330566406,32,42,15,36.6606055596467
54023_b,993.953109741211,-10633.6330566406,36,30,10,32.86335345031
54023_b,993.953109741211,-10583.6330566406,37,19,7,26.5141471671257
54023_b,993.953109741211,-10533.6330566406,51,12,7,24.738633753706
54023_b,993.953109741211,-10483.6330566406,59,7,1,20.3224014329016
54023_b,993.953109741211,-10433.6330566406,53,5,1,16.2788205960997
54023_b,993.953109741211,-10383.6330566406,39,5,1,13.9642400437689
54023_b,1043.95310974121,-11033.6330566406,114,7,0,28.2488937836511
54023_b,1043.95310974121,-10983.6330566406,107,13,0,37.296112397943
54023_b,1043.95310974121,-10933.6330566406,100,19,0,43.5889894354067
54023_b,1043.95310974121,-10883.6330566406,86,29,0,49.9399639567351
54023_b,1043.95310974121,-10833.6330566406,66,40,0,51.3809303146605
54023_b,1043.95310974121,-10783.6330566406,53,41,0,46.6154480832267
54023_b,1043.95310974121,-10733.6330566406,51,40,0,45.1663591625449
54023_b,1043.95310974121,-10683.6330566406,45,36,0,40.2492235949962
54023_b,1043.95310974121,-10633.6330566406,56,24,0,36.6606055596467
54023_b,1043.95310974121,-10583.6330566406,67,13,0,29.5127091267474
54023_b,1043.95310974121,-10533.6330566406,80,10,1,28.2842712474619
54023_b,1043.95310974121,-10483.6330566406,89,5,1,21.095023109729
54023_b,1093.95310974121,-11033.6330566406,112,8,0,29.9332590941915
54023_b,1093.95310974121,-10983.6330566406,98,15,0,38.3405790253616
54023_b,1093.95310974121,-10933.6330566406,85,22,0,43.2434966208793
54023_b,1093.95310974121,-10883.6330566406,77,30,0,48.0624593627917
54023_b,1093.95310974121,-10833.6330566406,70,36,0,50.1996015920445
54023_b,1093.95310974121,-10783.6330566406,69,33,0,47.7179211617606
54023_b,1093.95310974121,-10733.6330566406,72,29,0,45.6946386351835
54023_b,1093.95310974121,-10683.6330566406,69,24,0,40.6939798987516
54023_b,1093.95310974121,-10633.6330566406,84,14,0,34.2928563989645
54023_b,1093.95310974121,-10583.6330566406,97,8,0,27.8567765543682
54023_b,1093.95310974121,-10533.6330566406,113,8,1,30.0665927567458
54023_b,1093.95310974121,-10483.6330566406,121,5,1,24.5967477524977
54023_b,1143.95310974121,-11033.6330566406,104,8,0,28.8444102037119
54023_b,1143.95310974121,-10983.6330566406,90,16,0,37.9473319220206
54023_b,1143.95310974121,-10933.6330566406,78,22,0,41.424630354416
54023_b,1143.95310974121,-10883.6330566406,73,26,0,43.5660418215839
54023_b,1143.95310974121,-10833.6330566406,74,28,3,45.5192267069642
54023_b,1143.95310974121,-10783.6330566406,78,27,3,45.8911756223351
54023_b,1143.95310974121,-10733.6330566406,87,22,3,43.7492857084547
54023_b,1143.95310974121,-10683.6330566406,91,17,3,39.3319208785943
54023_b,1143.95310974121,-10633.6330566406,104,11,3,33.8230690505755
54023_b,1143.95310974121,-10583.6330566406,119,9,0,32.7261363439071
54023_b,1143.95310974121,-10533.6330566406,138,7,1,31.0805405358401
54023_b,1143.95310974121,-10483.6330566406,147,5,1,27.1108834234519
54023_b,1143.95310974121,-10333.6330566406,110,9,5,31.4642654451046
54023_b,1143.95310974121,-10283.6330566406,77,7,4,23.2163735324878
54023_b,1143.95310974121,-10233.6330566406,46,6,4,16.6132477258362
54023_b,1193.95310974121,-11033.6330566406,115,7,0,28.3725219182222
54023_b,1193.95310974121,-10983.6330566406,102,15,0,39.1152144312159
54023_b,1193.95310974121,-10933.6330566406,84,23,0,43.9545219516718
54023_b,1193.95310974121,-10883.6330566406,78,28,0,46.7332857821917
54023_b,1193.95310974121,-10833.6330566406,79,29,5,47.8643917750973
54023_b,1193.95310974121,-10783.6330566406,82,28,11,47.9165942028438
54023_b,1193.95310974121,-10733.6330566406,92,21,15,43.9545219516718
54023_b,1193.95310974121,-10683.6330566406,103,14,15,37.9736750920951
54023_b,1193.95310974121,-10633.6330566406,113,8,15,30.0665927567458
54023_b,1193.95310974121,-10583.6330566406,128,7,11,29.9332590941915
54023_b,1193.95310974121,-10383.6330566406,144,11,4,39.7994974842648
54023_b,1193.95310974121,-10333.6330566406,121,16,7,44
54023_b,1193.95310974121,-10283.6330566406,91,16,6,38.1575680566778
54023_b,1193.95310974121,-10233.6330566406,67,15,6,31.7017349682947
54023_b,1193.95310974121,-10183.6330566406,36,12,6,20.7846096908265
54023_b,1243.95310974121,-11033.6330566406,131,8,0,32.3728281124773
54023_b,1243.95310974121,-10983.6330566406,121,12,0,38.1051177665153
54023_b,1243.95310974121,-10933.6330566406,103,21,0,46.5080638169339
54023_b,1243.95310974121,-10883.6330566406,97,25,0,49.2442890089805
54023_b,1243.95310974121,-10833.6330566406,98,26,6,50.4777178564959
54023_b,1243.95310974121,-10783.6330566406,97,23,26,47.2334627144782
54023_b,1243.95310974121,-10733.6330566406,106,21,47,47.1805044483418
54023_b,1243.95310974121,-10683.6330566406,111,13,52,37.9868398264452
54023_b,1243.95310974121,-10633.6330566406,113,12,56,36.8239052790439
54023_b,1243.95310974121,-10583.6330566406,117,14,51,40.4722126896961
54023_b,1243.95310974121,-10533.6330566406,133,12,32,39.9499687108764
54023_b,1243.95310974121,-10483.6330566406,129,10,26,35.9165699921359
54023_b,1243.95310974121,-10433.6330566406,138,12,23,40.6939798987516
54023_b,1243.95310974121,-10383.6330566406,131,16,21,45.7820925690384
54023_b,1243.95310974121,-10333.6330566406,122,18,24,46.8614980554399
54023_b,1243.95310974121,-10283.6330566406,105,17,23,42.2492603485552
54023_b,1243.95310974121,-10233.6330566406,91,19,8,41.5812457725836
54023_b,1243.95310974121,-10183.6330566406,65,16,6,32.2490309931942
54023_b,1243.95310974121,-10133.6330566406,47,8,4,19.3907194296653
54023_b,1293.95310974121,-11033.6330566406,137,5,0,26.1725046566048
54023_b,1293.95310974121,-10983.6330566406,136,9,0,34.9857113690718
54023_b,1293.95310974121,-10933.6330566406,119,17,0,44.977772288098
54023_b,1293.95310974121,-10883.6330566406,117,20,0,48.3735464897913
54023_b,1293.95310974121,-10833.6330566406,113,21,7,48.7134478352744
54023_b,1293.95310974121,-10783.6330566406,106,20,29,46.0434577328854
54023_b,1293.95310974121,-10733.6330566406,108,21,61,47.6235235991626
54023_b,1293.95310974121,-10683.6330566406,105,17,74,42.2492603485552
54023_b,1293.95310974121,-10633.6330566406,95,26,78,49.6990945591567
54023_b,1293.95310974121,-10583.6330566406,94,32,72,54.8452368032084
54023_b,1293.95310974121,-10533.6330566406,111,31,52,58.6600375042499
54023_b,1293.95310974121,-10483.6330566406,106,27,36,53.497663500381
54023_b,1293.95310974121,-10433.6330566406,114,26,25,54.4426303552648
54023_b,1293.95310974121,-10383.6330566406,121,22,23,51.5945733580577
54023_b,1293.95310974121,-10333.6330566406,131,20,26,51.1859355682789
54023_b,1293.95310974121,-10283.6330566406,127,18,24,47.8121323515277
54023_b,1293.95310974121,-10233.6330566406,128,19,8,49.3153120237518
54023_b,1293.95310974121,-10183.6330566406,114,16,6,42.7083130081252
54023_b,1293.95310974121,-10133.6330566406,89,8,4,26.6833281282527
54023_b,1343.95310974121,-11033.6330566406,126,6,0,27.495454169735
54023_b,1343.95310974121,-10983.6330566406,131,9,0,34.3365694267788
54023_b,1343.95310974121,-10933.6330566406,116,16,0,43.081318457076
54023_b,1343.95310974121,-10883.6330566406,111,18,0,44.698993277254
54023_b,1343.95310974121,-10833.6330566406,103,19,7,44.2379927211893
54023_b,1343.95310974121,-10783.6330566406,96,18,30,41.5692193816531
54023_b,1343.95310974121,-10733.6330566406,101,20,67,44.9444101084885
54023_b,1343.95310974121,-10683.6330566406,103,17,82,41.8449519058154
54023_b,1343.95310974121,-10633.6330566406,93,28,89,51.0294032886923
54023_b,1343.95310974121,-10583.6330566406,88,37,84,57.0613704707484
54023_b,1343.95310974121,-10533.6330566406,99,40,68,62.9285308902091
54023_b,1343.95310974121,-10483.6330566406,94,36,47,58.172158288996
54023_b,1343.95310974121,-10433.6330566406,99,35,34,58.8642506110458
54023_b,1343.95310974121,-10383.6330566406,106,30,28,56.3914887194867
54023_b,1343.95310974121,-10333.6330566406,129,25,30,56.7890834580027
54023_b,1343.95310974121,-10283.6330566406,139,18,23,50.0199960015992
54023_b,1343.95310974121,-10233.6330566406,144,19,7,52.3067873224881
54023_b,1343.95310974121,-10183.6330566406,137,16,5,46.8187996428785
54023_b,1343.95310974121,-10133.6330566406,116,8,4,30.4630924234556
54023_b,1393.95310974121,-11033.6330566406,113,8,0,30.0665927567458
54023_b,1393.95310974121,-10983.6330566406,119,12,0,37.7888872553824
54023_b,1393.95310974121,-10933.6330566406,105,19,0,44.6654228682546
54023_b,1393.95310974121,-10883.6330566406,96,19,0,42.7083130081252
54023_b,1393.95310974121,-10833.6330566406,86,22,4,43.4971263418631
54023_b,1393.95310974121,-10783.6330566406,84,19,27,39.9499687108764
54023_b,1393.95310974121,-10733.6330566406,90,20,64,42.4264068711929
54023_b,1393.95310974121,-10683.6330566406,100,18,79,42.4264068711929
54023_b,1393.95310974121,-10633.6330566406,91,30,90,52.2494019104525
54023_b,1393.95310974121,-10583.6330566406,82,36,107,54.3323108288245
54023_b,1393.95310974121,-10533.6330566406,87,41,92,59.7243668865565
54023_b,1393.95310974121,-10483.6330566406,88,37,71,57.0613704707484
54023_b,1393.95310974121,-10433.6330566406,86,36,58,55.6417109729742
54023_b,1393.95310974121,-10383.6330566406,104,30,48,55.8569601750758
54023_b,1393.95310974121,-10333.6330566406,139,20,28,52.7257053058563
54023_b,1393.95310974121,-10283.6330566406,156,12,20,43.2666153055679
54023_b,1393.95310974121,-10233.6330566406,165,13,4,46.3141447076376
54023_b,1393.95310974121,-10183.6330566406,162,10,2,40.2492235949962
54023_b,1443.95310974121,-11033.6330566406,84,8,0,25.9229627936314
54023_b,1443.95310974121,-10983.6330566406,92,13,0,34.5832329315812
54023_b,1443.95310974121,-10933.6330566406,84,16,0,36.6606055596467
54023_b,1443.95310974121,-10883.6330566406,83,15,0,35.2845575287547
54023_b,1443.95310974121,-10833.6330566406,78,17,2,36.4142829120663
54023_b,1443.95310974121,-10783.6330566406,85,13,19,33.2415402771893
54023_b,1443.95310974121,-10733.6330566406,98,13,52,35.6931365951495
54023_b,1443.95310974121,-10683.6330566406,107,15,67,40.0624512480203
54023_b,1443.95310974121,-10633.6330566406,96,29,78,52.7636238330917
54023_b,1443.95310974121,-10583.6330566406,82,36,97,54.3323108288245
54023_b,1443.95310974121,-10533.6330566406,82,42,87,58.6856030044848
54023_b,1443.95310974121,-10483.6330566406,80,38,70,55.1361950083609
54023_b,1443.95310974121,-10433.6330566406,86,34,57,54.0740233383831
54023_b,1443.95310974121,-10383.6330566406,114,21,46,48.9285192909003
54023_b,1443.95310974121,-10333.6330566406,154,11,25,41.1582312545134
54023_b,1443.95310974121,-10233.6330566406,187,5,2,30.5777697028413
54023_b,1443.95310974121,-10183.6330566406,184,6,0,33.2264954516723
54023_b,1443.95310974121,-10133.6330566406,150,7,0,32.4037034920393
54023_b,1443.95310974121,-10083.6330566406,106,9,0,30.886890422961
54023_b,1443.95310974121,-10033.6330566406,69,9,0,24.9198715887542
54023_b,1443.95310974121,-9983.63305664063,34,6,0,14.2828568570857
54023_b,1493.95310974121,-11033.6330566406,53,6,0,17.832554500127
54023_b,1493.95310974121,-10983.6330566406,64,11,0,26.5329983228432
54023_b,1493.95310974121,-10933.6330566406,61,12,0,27.0554985169374
54023_b,1493.95310974121,-10883.6330566406,62,11,0,26.1151297144012
54023_b,1493.95310974121,-10833.6330566406,69,13,1,29.9499582637439
54023_b,1493.95310974121,-10783.6330566406,85,13,4,33.2415402771893
54023_b,1493.95310974121,-10733.6330566406,98,12,20,34.2928563989645
54023_b,1493.95310974121,-10683.6330566406,115,15,30,41.5331193145904
54023_b,1493.95310974121,-10633.6330566406,115,25,37,53.619026473818
54023_b,1493.95310974121,-10583.6330566406,111,30,57,57.706152185014
54023_b,1493.95310974121,-10533.6330566406,112,33,61,60.7947366142827
54023_b,1493.95310974121,-10483.6330566406,117,30,46,59.2452529743945
54023_b,1493.95310974121,-10433.6330566406,124,27,36,57.8619045659577
54023_b,1493.95310974121,-10383.6330566406,147,17,29,49.9899989998
54023_b,1493.95310974121,-10333.6330566406,176,10,8,41.9523539268061
54023_b,1493.95310974121,-10183.6330566406,183,6,0,33.1360830515618
54023_b,1493.95310974121,-10133.6330566406,147,8,0,34.2928563989645
54023_b,1493.95310974121,-10083.6330566406,105,9,0,30.7408522978788
54023_b,1493.95310974121,-10033.6330566406,70,9,0,25.0998007960223
54023_b,1493.95310974121,-9983.63305664063,35,7,0,15.6524758424985
54023_b,1543.95310974121,-10983.6330566406,38,9,0,18.4932420089069
54023_b,1543.95310974121,-10933.6330566406,38,10,0,19.4935886896179
54023_b,1543.95310974121,-10883.6330566406,42,9,0,19.4422220952236
54023_b,1543.95310974121,-10833.6330566406,56,12,0,25.9229627936314
54023_b,1543.95310974121,-10783.6330566406,77,11,1,29.1032644217105
54023_b,1543.95310974121,-10733.6330566406,96,10,6,30.9838667696593
54023_b,1543.95310974121,-10683.6330566406,126,11,8,37.2290209379726
54023_b,1543.95310974121,-10633.6330566406,135,14,15,43.4741302385683
54023_b,1543.95310974121,-10583.6330566406,135,14,36,43.4741302385683
54023_b,1543.95310974121,-10533.6330566406,134,16,41,46.3033476111609
54023_b,1543.95310974121,-10483.6330566406,141,15,36,45.9891291502677
