sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
54023_b,843.953109741211,-11083.6330566406,34,54,5,0.147058823529412,5
54023_b,843.953109741211,-11033.6330566406,44,60,4,0.0909090909090909,4
54023_b,843.953109741211,-10983.6330566406,47,65,6,0.127659574468085,6
54023_b,843.953109741211,-10933.6330566406,44,54,5,0.113636363636364,5
54023_b,843.953109741211,-10883.6330566406,40,52,7,0.175,7
54023_b,843.953109741211,-10833.6330566406,34,56,11,0.323529411764706,11
54023_b,893.953109741211,-11133.6330566406,43,45,11,0.255813953488372,11
54023_b,893.953109741211,-11083.6330566406,63,49,12,0.19047619047619,12
54023_b,893.953109741211,-11033.6330566406,73,53,14,0.191780821917808,14
54023_b,893.953109741211,-10983.6330566406,74,54,9,0.121621621621622,9
54023_b,893.953109741211,-10933.6330566406,72,44,10,0.138888888888889,10
54023_b,893.953109741211,-10883.6330566406,66,45,16,0.242424242424242,16
54023_b,893.953109741211,-10833.6330566406,55,53,21,0.381818181818182,21
54023_b,893.953109741211,-10783.6330566406,36,57,17,0.472222222222222,17
54023_b,943.953109741211,-11183.6330566406,37,21,10,0.27027027027027,10
54023_b,943.953109741211,-11133.6330566406,58,34,13,0.224137931034483,13
54023_b,943.953109741211,-11083.6330566406,83,36,14,0.168674698795181,14
54023_b,943.953109741211,-11033.6330566406,96,39,16,0.166666666666667,16
54023_b,943.953109741211,-10983.6330566406,97,41,11,0.11340206185567,11
54023_b,943.953109741211,-10933.6330566406,95,39,17,0.178947368421053,17
54023_b,943.953109741211,-10883.6330566406,84,37,22,0.261904761904762,22
54023_b,943.953109741211,-10833.6330566406,67,49,28,0.417910447761194,28
54023_b,943.953109741211,-10783.6330566406,44,54,23,0.522727272727273,23
54023_b,943.953109741211,-10733.6330566406,33,55,22,0.666666666666667,22
54023_b,993.953109741211,-11183.6330566406,51,8,10,0.196078431372549,10
54023_b,993.953109741211,-11133.6330566406,73,10,13,0.178082191780822,13
54023_b,993.953109741211,-11083.6330566406,103,10,13,0.12621359223301,13
54023_b,993.953109741211,-11033.6330566406,111,12,16,0.144144144144144,16
54023_b,993.953109741211,-10983.6330566406,112,17,12,0.107142857142857,12
54023_b,993.953109741211,-10933.6330566406,106,20,19,0.179245283018868,19
54023_b,993.953109741211,-10883.6330566406,94,30,25,0.265957446808511,25
54023_b,993.953109741211,-10833.6330566406,72,43,32,0.444444444444444,32
54023_b,993.953109741211,-10783.6330566406,49,48,26,0.530612244897959,26
54023_b,993.953109741211,-10733.6330566406,38,48,24,0.631578947368421,24
54023_b,993.953109741211,-10683.6330566406,32,42,20,0.625,20
54023_b,993.953109741211,-10633.6330566406,36,30,13,0.361111111111111,13
54023_b,993.953109741211,-10583.6330566406,37,19,6,0.162162162162162,6
54023_b,993.953109741211,-10533.6330566406,51,12,16,0.313725490196078,16
54023_b,993.953109741211,-10483.6330566406,59,7,20,0.338983050847458,20
54023_b,993.953109741211,-10433.6330566406,53,5,14,0.264150943396226,14
54023_b,993.953109741211,-10383.6330566406,39,5,14,0.358974358974359,14
54023_b,1043.95310974121,-11033.6330566406,114,7,18,0.157894736842105,18
54023_b,1043.95310974121,-10983.6330566406,107,13,13,0.121495327102804,13
54023_b,1043.95310974121,-10933.6330566406,100,19,22,0.22,22
54023_b,1043.95310974121,-10883.6330566406,86,29,24,0.27906976744186,24
54023_b,1043.95310974121,-10833.6330566406,66,40,26,0.393939393939394,26
54023_b,1043.95310974121,-10783.6330566406,53,41,21,0.39622641509434,21
54023_b,1043.95310974121,-10733.6330566406,51,40,20,0.392156862745098,20
54023_b,1043.95310974121,-10683.6330566406,45,36,15,0.333333333333333,15
54023_b,1043.95310974121,-10633.6330566406,56,24,8,0.142857142857143,8
54023_b,1043.95310974121,-10583.6330566406,67,13,6,0.0895522388059701,6
54023_b,1043.95310974121,-10533.6330566406,80,10,16,0.2,16
54023_b,1043.95310974121,-10483.6330566406,89,5,20,0.224719101123596,20
54023_b,1093.95310974121,-11033.6330566406,112,8,16,0.142857142857143,16
54023_b,1093.95310974121,-10983.6330566406,98,15,14,0.142857142857143,14
54023_b,1093.95310974121,-10933.6330566406,85,22,23,0.270588235294118,23
54023_b,1093.95310974121,-10883.6330566406,77,30,26,0.337662337662338,26
54023_b,1093.95310974121,-10833.6330566406,70,36,28,0.4,28
54023_b,1093.95310974121,-10783.6330566406,69,33,22,0.318840579710145,22
54023_b,1093.95310974121,-10733.6330566406,72,29,21,0.291666666666667,21
54023_b,1093.95310974121,-10683.6330566406,69,24,16,0.231884057971015,16
54023_b,1093.95310974121,-10633.6330566406,84,14,8,0.0952380952380952,8
54023_b,1093.95310974121,-10583.6330566406,97,8,6,0.0618556701030928,6
54023_b,1093.95310974121,-10533.6330566406,113,8,16,0.141592920353982,16
54023_b,1093.95310974121,-10483.6330566406,121,5,20,0.165289256198347,20
54023_b,1143.95310974121,-11033.6330566406,104,8,14,0.134615384615385,14
54023_b,1143.95310974121,-10983.6330566406,90,16,17,0.188888888888889,17
54023_b,1143.95310974121,-10933.6330566406,78,22,24,0.307692307692308,24
54023_b,1143.95310974121,-10883.6330566406,73,26,25,0.342465753424658,25
54023_b,1143.95310974121,-10833.6330566406,74,28,26,0.351351351351351,26
54023_b,1143.95310974121,-10783.6330566406,78,27,23,0.294871794871795,23
54023_b,1143.95310974121,-10733.6330566406,87,22,22,0.252873563218391,22
54023_b,1143.95310974121,-10683.6330566406,91,17,17,0.186813186813187,17
54023_b,1143.95310974121,-10633.6330566406,104,11,10,0.0961538461538462,10
54023_b,1143.95310974121,-10583.6330566406,119,9,9,0.0756302521008403,9
54023_b,1143.95310974121,-10533.6330566406,138,7,15,0.108695652173913,15
54023_b,1143.95310974121,-10483.6330566406,147,5,19,0.129251700680272,19
54023_b,1143.95310974121,-10333.6330566406,110,9,14,0.127272727272727,14
54023_b,1143.95310974121,-10283.6330566406,77,7,10,0.12987012987013,10
54023_b,1143.95310974121,-10233.6330566406,46,6,6,0.130434782608696,6
54023_b,1193.95310974121,-11033.6330566406,115,7,12,0.104347826086957,12
54023_b,1193.95310974121,-10983.6330566406,102,15,15,0.147058823529412,15
54023_b,1193.95310974121,-10933.6330566406,84,23,23,0.273809523809524,23
54023_b,1193.95310974121,-10883.6330566406,78,28,24,0.307692307692308,24
54023_b,1193.95310974121,-10833.6330566406,79,29,24,0.30379746835443,24
54023_b,1193.95310974121,-10783.6330566406,82,28,21,0.25609756097561,21
54023_b,1193.95310974121,-10733.6330566406,92,21,19,0.206521739130435,19
54023_b,1193.95310974121,-10683.6330566406,103,14,14,0.135922330097087,14
54023_b,1193.95310974121,-10633.6330566406,113,8,9,0.079646017699115,9
54023_b,1193.95310974121,-10583.6330566406,128,7,9,0.0703125,9
54023_b,1193.95310974121,-10383.6330566406,144,11,9,0.0625,9
54023_b,1193.95310974121,-10333.6330566406,121,16,12,0.0991735537190083,12
54023_b,1193.95310974121,-10283.6330566406,91,16,14,0.153846153846154,14
54023_b,1193.95310974121,-10233.6330566406,67,15,12,0.17910447761194,12
54023_b,1193.95310974121,-10183.6330566406,36,12,7,0.194444444444444,7
54023_b,1243.95310974121,-11033.6330566406,131,8,13,0.099236641221374,13
54023_b,1243.95310974121,-10983.6330566406,121,12,15,0.12396694214876,15
54023_b,1243.95310974121,-10933.6330566406,103,21,25,0.242718446601942,25
54023_b,1243.95310974121,-10883.6330566406,97,25,26,0.268041237113402,26
54023_b,1243.95310974121,-10833.6330566406,98,26,25,0.255102040816327,25
54023_b,1243.95310974121,-10783.6330566406,97,23,22,0.22680412371134,22
54023_b,1243.95310974121,-10733.6330566406,106,21,23,0.216981132075472,23
54023_b,1243.95310974121,-10683.6330566406,111,13,14,0.126126126126126,14
54023_b,1243.95310974121,-10633.6330566406,113,12,10,0.0884955752212389,10
54023_b,1243.95310974121,-10583.6330566406,117,14,10,0.0854700854700855,10
54023_b,1243.95310974121,-10533.6330566406,133,12,9,0.0676691729323308,9
54023_b,1243.95310974121,-10483.6330566406,129,10,6,0.0465116279069768,6
54023_b,1243.95310974121,-10433.6330566406,138,12,10,0.072463768115942,10
54023_b,1243.95310974121,-10383.6330566406,131,16,10,0.0763358778625954,10
54023_b,1243.95310974121,-10333.6330566406,122,18,13,0.10655737704918,13
54023_b,1243.95310974121,-10283.6330566406,105,17,13,0.123809523809524,13
54023_b,1243.95310974121,-10233.6330566406,91,19,16,0.175824175824176,16
54023_b,1243.95310974121,-10183.6330566406,65,16,15,0.230769230769231,15
54023_b,1243.95310974121,-10133.6330566406,47,8,12,0.25531914893617,12
54023_b,1293.95310974121,-11033.6330566406,137,5,10,0.072992700729927,10
54023_b,1293.95310974121,-10983.6330566406,136,9,14,0.102941176470588,14
54023_b,1293.95310974121,-10933.6330566406,119,17,23,0.19327731092437,23
54023_b,1293.95310974121,-10883.6330566406,117,20,27,0.230769230769231,27
54023_b,1293.95310974121,-10833.6330566406,113,21,26,0.230088495575221,26
54023_b,1293.95310974121,-10783.6330566406,106,20,21,0.19811320754717,21
54023_b,1293.95310974121,-10733.6330566406,108,21,21,0.194444444444444,21
54023_b,1293.95310974121,-10683.6330566406,105,17,13,0.123809523809524,13
54023_b,1293.95310974121,-10633.6330566406,95,26,11,0.115789473684211,11
54023_b,1293.95310974121,-10583.6330566406,94,32,13,0.138297872340426,13
54023_b,1293.95310974121,-10533.6330566406,111,31,14,0.126126126126126,14
54023_b,1293.95310974121,-10483.6330566406,106,27,11,0.10377358490566,11
54023_b,1293.95310974121,-10433.6330566406,114,26,15,0.131578947368421,15
54023_b,1293.95310974121,-10383.6330566406,121,22,15,0.12396694214876,15
54023_b,1293.95310974121,-10333.6330566406,131,20,16,0.122137404580153,16
54023_b,1293.95310974121,-10283.6330566406,127,18,14,0.110236220472441,14
54023_b,1293.95310974121,-10233.6330566406,128,19,19,0.1484375,19
54023_b,1293.95310974121,-10183.6330566406,114,16,18,0.157894736842105,18
54023_b,1293.95310974121,-10133.6330566406,89,8,15,0.168539325842697,15
54023_b,1343.95310974121,-11033.6330566406,126,6,9,0.0714285714285714,9
54023_b,1343.95310974121,-10983.6330566406,131,9,13,0.099236641221374,13
54023_b,1343.95310974121,-10933.6330566406,116,16,21,0.181034482758621,21
54023_b,1343.95310974121,-10883.6330566406,111,18,23,0.207207207207207,23
54023_b,1343.95310974121,-10833.6330566406,103,19,22,0.213592233009709,22
54023_b,1343.95310974121,-10783.6330566406,96,18,21,0.21875,21
54023_b,1343.95310974121,-10733.6330566406,101,20,21,0.207920792079208,21
54023_b,1343.95310974121,-10683.6330566406,103,17,14,0.135922330097087,14
54023_b,1343.95310974121,-10633.6330566406,93,28,14,0.150537634408602,14
54023_b,1343.95310974121,-10583.6330566406,88,37,16,0.181818181818182,16
54023_b,1343.95310974121,-10533.6330566406,99,40,14,0.141414141414141,14
54023_b,1343.95310974121,-10483.6330566406,94,36,11,0.117021276595745,11
54023_b,1343.95310974121,-10433.6330566406,99,35,15,0.151515151515152,15
54023_b,1343.95310974121,-10383.6330566406,106,30,15,0.141509433962264,15
54023_b,1343.95310974121,-10333.6330566406,129,25,16,0.124031007751938,16
54023_b,1343.95310974121,-10283.6330566406,139,18,14,0.100719424460432,14
54023_b,1343.95310974121,-10233.6330566406,144,19,19,0.131944444444444,19
54023_b,1343.95310974121,-10183.6330566406,137,16,18,0.131386861313869,18
54023_b,1343.95310974121,-10133.6330566406,116,8,15,0.129310344827586,15
54023_b,1393.95310974121,-11033.6330566406,113,8,9,0.079646017699115,9
54023_b,1393.95310974121,-10983.6330566406,119,12,11,0.092436974789916,11
54023_b,1393.95310974121,-10933.6330566406,105,19,18,0.171428571428571,18
54023_b,1393.95310974121,-10883.6330566406,96,19,14,0.145833333333333,14
54023_b,1393.95310974121,-10833.6330566406,86,22,14,0.162790697674419,14
54023_b,1393.95310974121,-10783.6330566406,84,19,16,0.19047619047619,16
54023_b,1393.95310974121,-10733.6330566406,90,20,16,0.177777777777778,16
54023_b,1393.95310974121,-10683.6330566406,100,18,13,0.13,13
54023_b,1393.95310974121,-10633.6330566406,91,30,15,0.164835164835165,15
54023_b,1393.95310974121,-10583.6330566406,82,36,15,0.182926829268293,15
54023_b,1393.95310974121,-10533.6330566406,87,41,15,0.172413793103448,15
54023_b,1393.95310974121,-10483.6330566406,88,37,12,0.136363636363636,12
54023_b,1393.95310974121,-10433.6330566406,86,36,16,0.186046511627907,16
54023_b,1393.95310974121,-10383.6330566406,104,30,15,0.144230769230769,15
54023_b,1393.95310974121,-10333.6330566406,139,20,13,0.0935251798561151,13
54023_b,1393.95310974121,-10283.6330566406,156,12,8,0.0512820512820513,8
54023_b,1393.95310974121,-10233.6330566406,165,13,13,0.0787878787878788,13
54023_b,1393.95310974121,-10183.6330566406,162,10,12,0.0740740740740741,12
54023_b,1443.95310974121,-11033.6330566406,84,8,9,0.107142857142857,9
54023_b,1443.95310974121,-10983.6330566406,92,13,14,0.152173913043478,14
54023_b,1443.95310974121,-10933.6330566406,84,16,17,0.202380952380952,17
54023_b,1443.95310974121,-10883.6330566406,83,15,13,0.156626506024096,13
54023_b,1443.95310974121,-10833.6330566406,78,17,15,0.192307692307692,15
54023_b,1443.95310974121,-10783.6330566406,85,13,18,0.211764705882353,18
54023_b,1443.95310974121,-10733.6330566406,98,13,22,0.224489795918367,22
54023_b,1443.95310974121,-10683.6330566406,107,15,22,0.205607476635514,22
54023_b,1443.95310974121,-10633.6330566406,96,29,25,0.260416666666667,25
54023_b,1443.95310974121,-10583.6330566406,82,36,23,0.280487804878049,23
54023_b,1443.95310974121,-10533.6330566406,82,42,23,0.280487804878049,23
54023_b,1443.95310974121,-10483.6330566406,80,38,14,0.175,14
54023_b,1443.95310974121,-10433.6330566406,86,34,10,0.116279069767442,10
54023_b,1443.95310974121,-10383.6330566406,114,21,9,0.0789473684210526,9
54023_b,1443.95310974121,-10333.6330566406,154,11,7,0.0454545454545455,7
54023_b,1443.95310974121,-10233.6330566406,187,5,14,0.0748663101604278,14
54023_b,1443.95310974121,-10183.6330566406,184,6,20,0.108695652173913,20
54023_b,1443.95310974121,-10133.6330566406,150,7,20,0.133333333333333,20
