sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac,intersperse_score
54023_b,893.953109741211,-11033.6330566406,73,53,14,10,0.188679245283019,0.191780821917808,10
54023_b,893.953109741211,-10983.6330566406,74,54,9,10,0.185185185185185,0.121621621621622,10
54023_b,1993.95310974121,-9933.63305664063,64,66,11,8,0.121212121212121,0.171875,8
54023_b,1993.95310974121,-9883.63305664063,69,58,12,7,0.120689655172414,0.173913043478261,7
54023_b,1993.95310974121,-9833.63305664063,66,52,9,6,0.115384615384615,0.136363636363636,6
54023_b,2343.95310974121,-10333.6330566406,60,56,32,20,0.357142857142857,0.533333333333333,20
54023_b,2343.95310974121,-10283.6330566406,66,67,30,21,0.313432835820896,0.454545454545455,21
54023_b,2893.95310974121,-10033.6330566406,62,58,21,22,0.379310344827586,0.338709677419355,22
54023_b,3043.95310974121,-10083.6330566406,75,59,34,31,0.525423728813559,0.453333333333333,31
54023_b,5293.95310974121,-9183.63305664063,84,64,5,17,0.265625,0.0595238095238095,17
54023_b,5293.95310974121,-9133.63305664062,72,85,6,15,0.176470588235294,0.0833333333333333,15
54023_b,5293.95310974121,-9083.63305664063,68,88,5,11,0.125,0.0735294117647059,11
54023_b,5343.95310974121,-9233.63305664063,67,81,6,17,0.209876543209877,0.0895522388059701,17
54023_b,5393.95310974121,-9283.63305664062,82,58,14,19,0.327586206896552,0.170731707317073,19
54023_b,5393.95310974121,-9233.63305664063,61,117,9,24,0.205128205128205,0.147540983606557,24
54023_b,5443.95310974121,-9283.63305664062,62,68,14,20,0.294117647058824,0.225806451612903,20
54023_b,5493.95310974121,-9283.63305664062,64,68,13,19,0.279411764705882,0.203125,19
54023_b,5593.95310974121,-9233.63305664063,68,98,6,10,0.102040816326531,0.0882352941176471,10
54023_b,5643.95310974121,-9233.63305664063,82,63,4,2,0.0317460317460317,0.0487804878048781,2
54023_b,5693.95310974121,-9183.63305664063,79,69,7,15,0.217391304347826,0.0886075949367089,15
54023_b,5743.95310974121,-9133.63305664062,62,70,8,16,0.228571428571429,0.129032258064516,16
56784_c,13400.40965271,-9430.37451171875,67,53,30,21,0.39622641509434,0.447761194029851,21
56784_c,13450.40965271,-9980.37451171875,82,67,5,7,0.104477611940299,0.0609756097560976,7
56784_c,13450.40965271,-9930.37451171875,92,79,9,9,0.113924050632911,0.0978260869565217,9
56784_c,13450.40965271,-9880.37451171875,100,87,8,8,0.0919540229885057,0.08,8
56784_c,13450.40965271,-9830.37451171875,103,85,10,5,0.0588235294117647,0.0970873786407767,5
56784_c,13450.40965271,-9780.37451171875,112,78,11,6,0.0769230769230769,0.0982142857142857,6
56784_c,13450.40965271,-9730.37451171875,102,62,11,6,0.0967741935483871,0.107843137254902,6
56784_c,13450.40965271,-9680.37451171875,100,52,7,6,0.115384615384615,0.07,6
56784_c,13450.40965271,-9380.37451171875,65,58,36,18,0.310344827586207,0.553846153846154,18
56784_c,13500.40965271,-10080.3745117188,70,58,12,11,0.189655172413793,0.171428571428571,11
56784_c,13500.40965271,-9780.37451171875,60,128,8,5,0.0390625,0.133333333333333,5
56784_c,13500.40965271,-9680.37451171875,65,69,11,6,0.0869565217391304,0.169230769230769,6
56784_c,13500.40965271,-9330.37451171875,81,82,39,16,0.195121951219512,0.481481481481482,16
56784_c,13500.40965271,-9030.37451171875,65,124,18,7,0.0564516129032258,0.276923076923077,7
