x0,y0,n_hep,n_chol,n_cd4,n_cd8,n_hep_with_cd4,n_cd4_near_hep,n_hep_with_cd8,score
17400,-9100,118,10,34,128,24,15,89,24
17450,-9100,137,8,19,141,24,14,110,24
12900,-10450,164,7,18,95,24,16,85,24
12850,-10400,127,10,18,75,24,15,69,24
12850,-10450,150,7,17,90,24,15,83,24
17500,-8900,184,1,20,91,23,16,89,23
17500,-8950,177,1,19,106,23,15,90,23
16550,-8600,197,3,16,75,23,12,82,23
13600,-9500,158,9,15,96,23,12,85,23
17650,-8950,161,0,21,102,22,16,85,22
17450,-9050,142,7,19,129,22,13,103,22
16600,-8600,206,4,17,84,22,13,92,22
17450,-9000,165,4,17,107,22,13,95,22
16550,-8500,201,3,15,68,22,11,81,22
15550,-8400,198,1,15,71,22,12,85,22
15550,-8350,161,1,15,69,22,12,78,22
12850,-10500,154,7,15,90,22,14,84,22
16900,-8500,199,9,21,76,21,12,72,21
16900,-8550,197,9,21,79,21,12,66,21
16750,-8500,236,9,20,66,21,14,90,21
17450,-8950,180,4,17,89,21,13,86,21
16600,-8500,213,4,16,76,21,12,93,21
12950,-10450,163,4,16,88,21,14,81,21
16550,-8550,202,3,15,68,21,11,83,21
12900,-10500,158,7,15,95,21,14,80,21
15400,-8500,206,0,10,66,21,10,82,21
15400,-8450,200,1,9,69,21,9,84,21
17650,-9050,128,0,21,139,20,15,96,20
16800,-8500,225,8,20,80,20,12,88,20
14850,-8750,164,1,20,128,20,14,99,20
14900,-8750,150,2,20,127,20,14,85,20
17650,-9000,143,0,20,120,20,15,89,20
16750,-8550,221,9,19,65,20,13,86,20
16950,-8550,192,9,18,90,20,10,66,20
16950,-8500,183,9,18,87,20,10,72,20
17450,-8900,184,4,17,77,20,13,83,20
16700,-8500,238,3,15,70,20,12,96,20
16650,-8500,222,4,15,76,20,11,91,20
16650,-8600,205,4,15,83,20,11,88,20
15550,-8450,208,1,12,54,20,10,76,20
15250,-8500,195,1,11,69,20,10,74,20
15250,-8450,186,1,11,72,20,10,79,20
15350,-8500,204,0,9,75,20,9,93,20
15350,-8450,201,0,9,77,20,9,96,20
15500,-8450,220,1,6,58,20,6,91,20
17400,-9050,122,9,31,120,19,11,84,19
16850,-8500,219,9,21,74,19,11,79,19
17700,-9050,139,0,20,130,19,14,89,19
16800,-8550,212,8,19,84,19,11,82,19
17500,-9050,136,4,19,139,19,13,102,19
