sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
54023_b,893.953109741211,-11083.6330566406,63,49,17,0.346938775510204
54023_b,893.953109741211,-11033.6330566406,73,53,18,0.339622641509434
54023_b,893.953109741211,-10983.6330566406,74,54,19,0.351851851851852
54023_b,893.953109741211,-10933.6330566406,72,44,18,0.409090909090909
54023_b,893.953109741211,-10883.6330566406,66,45,22,0.488888888888889
54023_b,943.953109741211,-11083.6330566406,83,36,17,0.472222222222222
54023_b,943.953109741211,-11033.6330566406,96,39,18,0.461538461538462
54023_b,943.953109741211,-10983.6330566406,97,41,19,0.463414634146342
54023_b,943.953109741211,-10933.6330566406,95,39,20,0.512820512820513
54023_b,943.953109741211,-10883.6330566406,84,37,24,0.648648648648649
54023_b,943.953109741211,-10833.6330566406,67,49,31,0.63265306122449
54023_b,993.953109741211,-10883.6330566406,94,30,29,0.966666666666667
54023_b,993.953109741211,-10833.6330566406,72,43,38,0.883720930232558
54023_b,1043.95310974121,-10833.6330566406,66,40,30,0.75
54023_b,1093.95310974121,-10883.6330566406,77,30,27,0.9
54023_b,1093.95310974121,-10833.6330566406,70,36,30,0.833333333333333
54023_b,1093.95310974121,-10783.6330566406,69,33,27,0.818181818181818
54023_b,1293.95310974121,-10583.6330566406,94,32,20,0.625
54023_b,1293.95310974121,-10533.6330566406,111,31,20,0.645161290322581
54023_b,1343.95310974121,-10583.6330566406,88,37,24,0.648648648648649
54023_b,1343.95310974121,-10533.6330566406,99,40,26,0.65
54023_b,1343.95310974121,-10483.6330566406,94,36,22,0.611111111111111
54023_b,1343.95310974121,-10433.6330566406,99,35,21,0.6
54023_b,1343.95310974121,-10383.6330566406,106,30,25,0.833333333333333
54023_b,1393.95310974121,-10633.6330566406,91,30,19,0.633333333333333
54023_b,1393.95310974121,-10583.6330566406,82,36,22,0.611111111111111
54023_b,1393.95310974121,-10533.6330566406,87,41,27,0.658536585365854
54023_b,1393.95310974121,-10483.6330566406,88,37,23,0.621621621621622
54023_b,1393.95310974121,-10433.6330566406,86,36,22,0.611111111111111
54023_b,1393.95310974121,-10383.6330566406,104,30,25,0.833333333333333
54023_b,1443.95310974121,-10583.6330566406,82,36,22,0.611111111111111
54023_b,1443.95310974121,-10533.6330566406,82,42,27,0.642857142857143
54023_b,1443.95310974121,-10483.6330566406,80,38,23,0.605263157894737
54023_b,1443.95310974121,-10433.6330566406,86,34,19,0.558823529411765
54023_b,1493.95310974121,-10583.6330566406,111,30,18,0.6
54023_b,1493.95310974121,-10533.6330566406,112,33,19,0.575757575757576
54023_b,1493.95310974121,-10483.6330566406,117,30,16,0.533333333333333
54023_b,1693.95310974121,-9983.63305664063,61,37,27,0.72972972972973
54023_b,1743.95310974121,-10033.6330566406,80,31,25,0.806451612903226
54023_b,1743.95310974121,-9983.63305664063,76,39,27,0.692307692307692
54023_b,1743.95310974121,-9933.63305664063,73,45,25,0.555555555555556
54023_b,1743.95310974121,-9883.63305664063,70,41,23,0.560975609756098
54023_b,1793.95310974121,-9983.63305664063,84,37,28,0.756756756756757
54023_b,1793.95310974121,-9933.63305664063,85,43,24,0.558139534883721
54023_b,1793.95310974121,-9883.63305664063,79,41,23,0.560975609756098
54023_b,1793.95310974121,-9833.63305664063,66,37,19,0.513513513513514
54023_b,1843.95310974121,-9983.63305664063,88,35,27,0.771428571428571
54023_b,1843.95310974121,-9933.63305664063,90,42,24,0.571428571428571
54023_b,1843.95310974121,-9883.63305664063,94,38,21,0.552631578947369
54023_b,1843.95310974121,-9833.63305664063,85,34,17,0.5
54023_b,1893.95310974121,-10083.6330566406,62,32,28,0.875
54023_b,1893.95310974121,-10033.6330566406,81,36,33,0.916666666666667
54023_b,1893.95310974121,-9983.63305664063,95,37,36,0.972972972972973
54023_b,1893.95310974121,-9933.63305664063,97,31,29,0.935483870967742
54023_b,1943.95310974121,-10033.6330566406,69,44,30,0.681818181818182
