sample,x0,y0,n_hep,n_cd4,n_interact,frac
54023_b,876.72400062561,-11025.5591113281,67,59,2,0.0338983050847458
54023_b,876.72400062561,-10975.5591113281,66,63,1,0.0158730158730159
54023_b,876.72400062561,-10925.5591113281,65,49,3,0.0612244897959184
54023_b,926.72400062561,-11075.5591113281,81,40,3,0.075
54023_b,926.72400062561,-11025.5591113281,87,43,3,0.0697674418604651
54023_b,926.72400062561,-10975.5591113281,87,45,2,0.0444444444444444
54023_b,926.72400062561,-10925.5591113281,86,38,5,0.131578947368421
54023_b,926.72400062561,-10875.5591113281,72,44,8,0.181818181818182
54023_b,976.72400062561,-10875.5591113281,89,34,10,0.294117647058824
54023_b,976.72400062561,-10825.5591113281,68,45,12,0.266666666666667
54023_b,1026.72400062561,-10875.5591113281,92,34,10,0.294117647058824
54023_b,1026.72400062561,-10825.5591113281,70,44,12,0.272727272727273
54023_b,1076.72400062561,-10875.5591113281,81,34,10,0.294117647058824
54023_b,1076.72400062561,-10825.5591113281,66,39,11,0.282051282051282
54023_b,1076.72400062561,-10775.5591113281,65,37,10,0.27027027027027
54023_b,1076.72400062561,-10725.5591113281,65,32,9,0.28125
54023_b,1126.72400062561,-10875.5591113281,80,30,10,0.333333333333333
54023_b,1126.72400062561,-10825.5591113281,73,33,11,0.333333333333333
54023_b,1126.72400062561,-10775.5591113281,77,30,9,0.3
54023_b,1176.72400062561,-10825.5591113281,77,30,9,0.3
54023_b,1226.72400062561,-10825.5591113281,89,30,8,0.266666666666667
54023_b,1326.72400062561,-10625.5591113281,87,30,4,0.133333333333333
54023_b,1326.72400062561,-10575.5591113281,87,34,6,0.176470588235294
54023_b,1326.72400062561,-10525.5591113281,92,36,5,0.138888888888889
54023_b,1326.72400062561,-10475.5591113281,90,31,4,0.129032258064516
54023_b,1326.72400062561,-10425.5591113281,101,30,6,0.2
54023_b,1376.72400062561,-10625.5591113281,87,32,6,0.1875
54023_b,1376.72400062561,-10575.5591113281,84,35,6,0.171428571428571
54023_b,1376.72400062561,-10525.5591113281,85,41,5,0.121951219512195
54023_b,1376.72400062561,-10475.5591113281,90,36,4,0.111111111111111
54023_b,1376.72400062561,-10425.5591113281,89,35,6,0.171428571428571
54023_b,1376.72400062561,-10375.5591113281,103,30,6,0.2
54023_b,1426.72400062561,-10625.5591113281,91,31,8,0.258064516129032
54023_b,1426.72400062561,-10575.5591113281,81,37,7,0.189189189189189
54023_b,1426.72400062561,-10525.5591113281,81,43,6,0.13953488372093
54023_b,1426.72400062561,-10475.5591113281,84,37,4,0.108108108108108
54023_b,1426.72400062561,-10425.5591113281,86,33,5,0.151515151515152
54023_b,1476.72400062561,-10575.5591113281,98,33,6,0.181818181818182
54023_b,1476.72400062561,-10525.5591113281,94,38,5,0.131578947368421
54023_b,1476.72400062561,-10475.5591113281,103,34,4,0.117647058823529
54023_b,1726.72400062561,-10025.5591113281,78,32,14,0.4375
54023_b,1726.72400062561,-9975.55911132812,74,41,13,0.317073170731707
54023_b,1726.72400062561,-9925.55911132813,70,44,13,0.295454545454545
54023_b,1726.72400062561,-9875.55911132812,65,41,12,0.292682926829268
54023_b,1776.72400062561,-10025.5591113281,78,32,16,0.5
54023_b,1776.72400062561,-9975.55911132812,85,42,16,0.380952380952381
54023_b,1776.72400062561,-9925.55911132813,82,44,13,0.295454545454545
54023_b,1776.72400062561,-9875.55911132812,76,41,12,0.292682926829268
54023_b,1826.72400062561,-10025.5591113281,82,31,15,0.483870967741936
54023_b,1826.72400062561,-9975.55911132812,90,41,16,0.390243902439024
54023_b,1826.72400062561,-9925.55911132813,91,44,14,0.318181818181818
54023_b,1826.72400062561,-9875.55911132812,90,41,14,0.341463414634146
54023_b,1826.72400062561,-9825.55911132812,81,37,13,0.351351351351351
54023_b,1876.72400062561,-10025.5591113281,82,33,15,0.454545454545455
54023_b,1876.72400062561,-9975.55911132812,95,38,17,0.447368421052632
54023_b,1876.72400062561,-9925.55911132813,97,35,13,0.371428571428571
54023_b,1876.72400062561,-9875.55911132812,101,30,13,0.433333333333333
54023_b,1926.72400062561,-10025.5591113281,76,39,11,0.282051282051282
54023_b,1926.72400062561,-9975.55911132812,90,36,11,0.305555555555556
54023_b,1976.72400062561,-9975.55911132812,63,58,8,0.137931034482759
54023_b,1976.72400062561,-9925.55911132813,70,55,4,0.0727272727272727
54023_b,1976.72400062561,-9875.55911132812,74,43,5,0.116279069767442
54023_b,1976.72400062561,-9825.55911132812,73,43,5,0.116279069767442
54023_b,2326.72400062561,-10325.5591113281,61,71,12,0.169014084507042
54023_b,2326.72400062561,-10275.5591113281,62,85,11,0.129411764705882
54023_b,2376.72400062561,-10325.5591113281,67,38,10,0.263157894736842
54023_b,2376.72400062561,-10275.5591113281,71,41,10,0.24390243902439
54023_b,2376.72400062561,-10225.5591113281,62,51,17,0.333333333333333
54023_b,2376.72400062561,-10175.5591113281,65,41,15,0.365853658536585
54023_b,2426.72400062561,-10225.5591113281,75,36,17,0.472222222222222
54023_b,2876.72400062561,-10075.5591113281,66,35,7,0.2
54023_b,2926.72400062561,-10075.5591113281,73,40,12,0.3
54023_b,2976.72400062561,-10125.5591113281,62,44,22,0.5
54023_b,3026.72400062561,-10125.5591113281,75,46,24,0.521739130434783
54023_b,3026.72400062561,-10075.5591113281,68,61,24,0.39344262295082
54023_b,3076.72400062561,-10125.5591113281,77,37,21,0.567567567567568
54023_b,3076.72400062561,-10075.5591113281,72,51,22,0.431372549019608
54023_b,3126.72400062561,-10125.5591113281,80,34,20,0.588235294117647
54023_b,3126.72400062561,-10075.5591113281,74,44,21,0.477272727272727
54023_b,3176.72400062561,-10125.5591113281,80,34,19,0.558823529411765
54023_b,3176.72400062561,-10075.5591113281,73,44,20,0.454545454545455
54023_b,3226.72400062561,-10125.5591113281,70,32,10,0.3125
54023_b,3226.72400062561,-10075.5591113281,65,39,11,0.282051282051282
54023_b,4476.72400062561,-9825.55911132812,65,30,10,0.333333333333333
54023_b,4476.72400062561,-9775.55911132812,64,35,14,0.4
54023_b,4476.72400062561,-9725.55911132812,62,31,12,0.387096774193548
54023_b,4926.72400062561,-9525.55911132812,78,30,14,0.466666666666667
54023_b,5276.72400062561,-9175.55911132813,94,40,4,0.1
54023_b,5276.72400062561,-9125.55911132812,80,57,3,0.0526315789473684
54023_b,5276.72400062561,-9075.55911132812,80,62,5,0.0806451612903226
54023_b,5276.72400062561,-9025.55911132812,68,68,7,0.102941176470588
54023_b,5326.72400062561,-9275.55911132812,90,39,7,0.17948717948718
54023_b,5326.72400062561,-9225.55911132812,71,78,8,0.102564102564103
54023_b,5326.72400062561,-9175.55911132813,65,113,8,0.0707964601769912
54023_b,5376.72400062561,-9325.55911132812,93,39,6,0.153846153846154
54023_b,5376.72400062561,-9275.55911132812,83,60,9,0.15
54023_b,5426.72400062561,-9325.55911132812,82,42,7,0.166666666666667
54023_b,5426.72400062561,-9275.55911132812,63,75,10,0.133333333333333
54023_b,5476.72400062561,-9325.55911132812,81,42,7,0.166666666666667
54023_b,5526.72400062561,-9325.55911132812,94,33,5,0.151515151515152
54023_b,5526.72400062561,-9275.55911132812,70,70,7,0.1
54023_b,5576.72400062561,-9275.55911132812,75,47,3,0.0638297872340426
54023_b,5626.72400062561,-9225.55911132812,79,82,1,0.0121951219512195
54023_b,5676.72400062561,-9225.55911132812,94,48,0,0
54023_b,5676.72400062561,-9175.55911132813,72,86,2,0.0232558139534884
54023_b,5726.72400062561,-9175.55911132813,91,54,2,0.037037037037037
