sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
18321_a,1450,-2250,67,29,147,41,23,64
18321_a,1450,-2300,67,31,161,38,22,60
18321_a,1500,-2250,62,24,127,35,21,56
18321_a,1450,-2200,56,21,121,36,17,53
18321_a,1450,-2350,67,31,138,34,18,52
18321_a,1500,-2300,62,24,131,32,20,52
18321_a,1550,-2250,60,20,105,33,19,52
18321_a,1400,-2350,68,31,163,32,16,48
18321_a,1550,-2300,59,19,107,30,18,48
18321_a,1500,-2350,65,20,105,31,16,47
18321_a,1400,-2300,58,27,170,30,16,46
18321_a,1500,-2200,55,16,106,30,15,45
18321_a,1550,-2350,59,16,82,30,15,45
18321_a,1350,-2350,68,29,143,31,13,44
18321_a,1400,-2250,47,24,145,28,16,44
18321_a,1450,-2150,44,15,85,29,15,44
18321_a,1550,-2200,53,14,89,28,13,41
18321_a,1400,-2200,37,17,113,25,12,37
18321_a,1350,-2300,47,21,142,25,11,36
18321_a,1500,-2150,43,13,77,23,13,36
18321_a,1400,-2150,29,12,79,23,12,35
18321_a,2500,-2000,35,23,62,23,11,34
18321_a,1600,-2250,44,14,65,20,13,33
18321_a,1550,-2150,41,12,67,21,11,32
18321_a,2450,-2150,23,30,91,17,14,31
18321_a,2450,-2100,23,30,88,17,14,31
18321_a,2550,-2000,34,20,77,22,9,31
18321_a,1350,-2250,32,17,113,21,10,31
18321_a,2600,-2000,34,17,70,22,9,31
18321_a,1350,-2200,27,14,87,21,10,31
18321_a,1350,-2150,23,10,59,20,10,30
18321_a,2500,-2100,17,30,86,15,14,29
18321_a,2500,-2150,17,29,87,15,14,29
18321_a,2450,-2200,23,27,83,16,13,29
18321_a,1350,-2550,49,25,83,18,10,28
24774_d,16200,-950,40,16,40,21,7,28
24774_d,16200,-900,40,16,41,21,7,28
18321_a,2400,-2150,21,31,95,15,12,27
18321_a,2400,-2200,22,29,98,15,12,27
18321_a,2400,-2100,21,29,80,15,12,27
18321_a,2500,-2200,17,25,75,14,13,27
18321_a,1450,-2400,46,23,105,18,9,27
18321_a,1500,-2400,42,14,70,18,9,27
18321_a,1600,-2300,33,13,64,15,12,27
18321_a,1550,-2400,37,10,49,18,9,27
18321_a,2550,-1950,34,14,60,19,7,26
18321_a,2600,-1950,34,14,63,19,7,26
18321_a,2650,-1950,25,10,52,19,7,26
18321_a,2300,-2200,23,33,121,14,10,24
18321_a,2300,-2150,22,27,82,14,10,24
18321_a,1350,-2500,59,19,101,17,7,24
18321_a,2550,-1900,33,10,44,18,6,24
18321_a,2600,-1900,33,10,48,18,6,24
18321_a,2550,-1850,33,9,45,18,6,24
18321_a,2600,-1850,33,9,50,18,6,24
18321_a,2650,-1900,24,9,45,18,6,24
18321_a,2650,-1850,24,9,48,18,6,24
18321_a,2650,-1800,24,9,39,18,6,24
18321_a,2550,-1800,31,8,36,18,6,24
18321_a,2600,-1800,31,8,41,18,6,24
18321_a,1350,-2400,54,23,135,17,6,23
18321_a,1400,-2400,48,23,140,16,7,23
18321_a,1400,-2550,31,21,77,15,8,23
18321_a,2450,-2000,25,21,55,14,9,23
18321_a,1350,-2450,55,20,117,16,7,23
18321_a,1600,-2350,27,13,56,13,10,23
18321_a,2500,-1950,32,13,40,17,6,23
18321_a,2650,-2000,22,8,49,18,5,23
18321_a,1300,-2350,36,24,119,14,8,22
18321_a,1400,-2450,41,19,117,14,8,22
24774_d,16150,-950,31,18,59,16,6,22
24774_d,16150,-900,28,18,59,16,6,22
24774_d,16100,-950,33,14,64,16,6,22
24774_d,16100,-900,28,14,60,16,6,22
18321_a,1600,-2200,37,8,56,15,7,22
18321_a,2300,-2250,22,31,118,13,8,21
18321_a,2350,-2200,19,31,113,12,9,21
18321_a,2350,-2150,18,26,88,12,9,21
24774_d,16250,-950,35,13,17,16,5,21
24774_d,16250,-900,35,13,18,16,5,21
18321_a,2500,-1900,32,9,25,16,5,21
18321_a,2500,-1850,32,8,27,16,5,21
18321_a,2500,-1800,30,7,21,16,5,21
18321_a,1250,-2350,30,20,92,13,7,20
18321_a,1650,-2250,33,8,28,13,7,20
18321_a,1450,-2450,34,18,81,11,8,19
18321_a,2350,-2100,17,18,56,11,8,19
18321_a,2300,-2100,17,15,40,11,8,19
18321_a,1500,-2450,30,12,53,11,8,19
18321_a,1600,-2400,16,11,32,11,8,19
18321_a,1450,-2100,23,6,42,13,6,19
18321_a,2350,-2250,18,26,102,11,7,18
24774_d,16050,-950,28,12,67,13,5,18
24774_d,16050,-900,23,12,61,13,5,18
18321_a,1550,-2450,25,7,37,11,7,18
18321_a,1300,-2500,41,17,86,11,6,17
18321_a,1300,-2550,37,19,66,10,6,16
18321_a,1300,-2450,37,19,102,10,6,16
18321_a,2400,-2250,17,19,77,10,6,16
18321_a,1450,-2550,21,18,57,10,6,16
18321_a,800,-2850,35,15,97,12,4,16
18321_a,800,-2900,34,14,93,12,4,16
18321_a,1400,-2500,34,14,94,12,4,16
18321_a,1500,-2550,22,14,43,10,6,16
18321_a,800,-2800,31,13,96,12,4,16
18321_a,850,-2850,33,8,66,12,4,16
18321_a,850,-2900,32,7,66,12,4,16
18321_a,850,-2800,31,6,63,12,4,16
18321_a,1500,-2100,20,6,38,10,6,16
18321_a,1650,-2200,31,6,27,11,5,16
18321_a,2300,-2300,19,26,104,10,5,15
18321_a,1300,-2400,33,22,119,10,5,15
18321_a,1250,-2400,28,18,97,10,5,15
18321_a,1250,-2500,35,15,70,10,5,15
18321_a,1250,-2450,32,15,85,10,5,15
18321_a,1300,-2300,21,15,101,10,5,15
18321_a,2450,-2250,16,15,60,9,6,15
18321_a,750,-2800,23,13,98,11,4,15
18321_a,1200,-2500,35,9,45,10,5,15
18321_a,1200,-2450,28,9,54,10,5,15
18321_a,1200,-2400,24,9,58,10,5,15
18321_a,1200,-2350,21,9,53,10,5,15
18321_a,750,-2850,26,15,97,10,4,14
18321_a,800,-2950,32,13,78,11,3,14
18321_a,850,-2950,30,6,51,11,3,14
18321_a,1550,-2100,19,6,32,9,5,14
18321_a,1600,-2150,28,6,43,9,5,14
18321_a,1650,-2300,22,6,28,8,6,14
18321_a,700,-2800,27,12,109,10,3,13
18321_a,2350,-2300,15,21,79,8,4,12
18321_a,700,-2850,30,14,108,9,3,12
18321_a,750,-2900,25,13,90,9,3,12
18321_a,1250,-2550,31,12,48,8,4,12
18321_a,1300,-2250,16,11,75,8,4,12
24774_d,16200,-1000,17,9,36,10,2,12
18321_a,1200,-2550,31,8,34,8,4,12
18321_a,1550,-2550,16,6,25,8,4,12
18321_a,600,-2850,22,15,70,7,4,11
18321_a,1350,-2650,20,14,34,6,5,11
18321_a,1350,-2600,23,14,52,6,5,11
18321_a,5950,-1150,23,14,75,6,5,11
18321_a,6000,-1150,22,14,74,6,5,11
18321_a,6000,-1200,20,12,49,6,5,11
18321_a,5950,-1200,20,11,49,6,5,11
18321_a,1250,-2300,18,10,73,8,3,11
18321_a,550,-2850,20,7,37,7,4,11
18321_a,1650,-2350,18,6,27,7,4,11
18321_a,650,-2850,29,16,99,6,4,10
18321_a,600,-2950,21,15,63,6,4,10
18321_a,600,-2900,21,15,63,6,4,10
18321_a,5950,-1100,22,15,73,5,5,10
18321_a,6000,-1100,21,15,72,5,5,10
18321_a,600,-3000,22,14,51,6,4,10
18321_a,1350,-2700,15,13,24,6,4,10
18321_a,700,-2950,28,12,89,8,2,10
18321_a,700,-2900,29,12,101,8,2,10
18321_a,750,-2950,23,12,77,8,2,10
18321_a,500,-2950,18,11,39,6,4,10
18321_a,550,-2950,19,11,37,6,4,10
18321_a,500,-3000,18,10,36,6,4,10
18321_a,550,-3000,20,10,34,6,4,10
18321_a,600,-3050,16,10,19,6,4,10
18321_a,500,-2900,18,9,38,6,4,10
18321_a,550,-2900,19,9,35,6,4,10
24774_d,16300,-950,17,7,10,8,2,10
24774_d,16300,-900,17,7,10,8,2,10
18321_a,5900,-1150,19,15,72,5,4,9
18321_a,5950,-1050,21,14,78,5,4,9
18321_a,6000,-1050,20,14,77,5,4,9
18321_a,5900,-1200,16,13,49,5,4,9
18321_a,1450,-2500,24,11,65,7,2,9
18321_a,5950,-1000,21,11,74,5,4,9
18321_a,6000,-1000,20,11,74,5,4,9
18321_a,500,-2850,18,8,37,6,3,9
18321_a,2450,-1950,21,8,34,7,2,9
18321_a,800,-2750,18,6,56,6,3,9
18321_a,1500,-2500,24,5,42,7,2,9
18321_a,1650,-2150,22,5,21,6,3,9
18321_a,1650,-2100,15,5,10,6,3,9
18321_a,5900,-1100,18,15,70,4,4,8
18321_a,650,-2950,27,14,87,5,3,8
18321_a,650,-2900,28,14,92,5,3,8
18321_a,1150,-2500,25,6,19,5,3,8
18321_a,1150,-2450,19,6,21,5,3,8
18321_a,1150,-2400,15,5,20,5,3,8
18321_a,5900,-1050,19,13,74,4,3,7
18321_a,700,-3000,22,11,60,6,1,7
18321_a,750,-3000,18,11,48,6,1,7
18321_a,800,-3000,17,11,47,6,1,7
18321_a,5900,-1000,19,10,69,4,3,7
24774_d,16000,-950,48,6,64,5,2,7
24774_d,16000,-900,43,6,56,5,2,7
18321_a,650,-2800,20,12,94,4,2,6
24774_d,15150,-1250,18,11,47,3,3,6
24774_d,15150,-1200,16,11,41,3,3,6
24774_d,15100,-1250,18,10,34,3,3,6
24774_d,15100,-1200,18,10,30,3,3,6
24774_d,15150,-1300,18,10,60,3,3,6
24774_d,15100,-1300,18,9,46,3,3,6
24774_d,16000,-1050,41,7,59,5,1,6
24774_d,16000,-1000,48,5,69,5,1,6
18321_a,650,-3000,22,12,62,3,2,5
18321_a,6050,-1150,19,7,51,3,2,5
24774_d,13750,-1600,15,6,23,3,2,5
24774_d,13750,-1550,15,6,23,3,2,5
24774_d,13800,-1600,18,6,30,3,2,5
24774_d,13800,-1550,18,6,30,3,2,5
18321_a,1150,-2550,21,5,17,3,2,5
18321_a,6050,-1200,17,5,35,3,2,5
24774_d,13750,-1650,15,5,21,3,2,5
24774_d,13800,-1650,18,5,27,3,2,5
24774_d,13800,-1500,18,5,28,3,2,5
18321_a,1300,-2650,16,9,16,2,2,4
18321_a,1300,-2600,19,9,34,2,2,4
18321_a,6050,-1100,18,8,48,2,2,4
24774_d,15150,-1350,17,9,62,1,2,3
18321_a,6050,-1050,19,8,52,2,1,3
18321_a,6050,-1000,19,7,50,2,1,3
24774_d,15100,-1350,16,7,49,1,2,3
24774_d,13900,-1500,15,6,23,2,1,3
24774_d,13850,-1600,16,5,28,2,1,3
24774_d,13850,-1550,16,5,28,2,1,3
