sample,x0,y0,n_hep,n_cd4,n_chol,score
18321_a,448.784637451172,-3024.14233398438,150,5,13,27.3861278752583
18321_a,448.784637451172,-2974.14233398438,144,5,13,26.8328157299975
18321_a,448.784637451172,-2924.14233398438,144,5,12,26.8328157299975
18321_a,448.784637451172,-2874.14233398438,151,5,12,27.4772633280682
18321_a,498.784637451172,-3024.14233398438,160,6,13,30.9838667696593
18321_a,498.784637451172,-2974.14233398438,145,6,19,29.4957624075053
18321_a,498.784637451172,-2924.14233398438,147,6,18,29.698484809835
18321_a,498.784637451172,-2874.14233398438,147,6,18,29.698484809835
18321_a,548.784637451172,-3024.14233398438,167,6,14,31.6543835826888
18321_a,548.784637451172,-2974.14233398438,160,6,20,30.9838667696593
18321_a,548.784637451172,-2924.14233398438,166,6,19,31.559467676119
18321_a,548.784637451172,-2874.14233398438,164,6,19,31.3687742827162
18321_a,598.784637451172,-3024.14233398438,174,6,16,32.310988842807
18321_a,598.784637451172,-2974.14233398438,158,16,22,50.2792203599061
18321_a,598.784637451172,-2924.14233398438,160,19,21,55.1361950083609
18321_a,598.784637451172,-2874.14233398438,157,19,21,54.6168472176855
18321_a,598.784637451172,-2824.14233398438,146,17,15,49.8196748283246
18321_a,598.784637451172,-2774.14233398438,156,13,10,45.0333209967908
18321_a,648.784637451172,-3024.14233398438,189,5,16,30.7408522978788
18321_a,648.784637451172,-2974.14233398438,162,34,22,74.2159012611179
18321_a,648.784637451172,-2924.14233398438,155,43,28,81.6394512475433
18321_a,648.784637451172,-2874.14233398438,142,43,28,78.1408983823452
18321_a,648.784637451172,-2824.14233398438,125,42,27,72.4568837309472
18321_a,648.784637451172,-2774.14233398438,142,38,16,73.4574706888278
18321_a,648.784637451172,-2724.14233398438,157,9,8,37.589892258425
18321_a,698.784637451172,-3024.14233398438,190,6,10,33.7638860322683
18321_a,698.784637451172,-2974.14233398438,165,44,22,85.2056336165632
18321_a,698.784637451172,-2924.14233398438,146,63,29,95.9062041788747
18321_a,698.784637451172,-2874.14233398438,136,63,29,92.5634917232491
18321_a,698.784637451172,-2824.14233398438,118,63,31,86.2206471791995
18321_a,698.784637451172,-2774.14233398438,135,57,22,87.7211491032807
18321_a,698.784637451172,-2724.14233398438,157,19,9,54.6168472176855
18321_a,748.784637451172,-3024.14233398438,178,5,10,29.8328677803526
18321_a,748.784637451172,-2974.14233398438,168,43,17,84.9941174435031
18321_a,748.784637451172,-2924.14233398438,135,63,25,92.2225568936364
18321_a,748.784637451172,-2874.14233398438,131,63,25,90.8460235783603
18321_a,748.784637451172,-2824.14233398438,121,63,27,87.3097932651315
18321_a,748.784637451172,-2774.14233398438,139,58,18,89.7886407069402
18321_a,748.784637451172,-2724.14233398438,166,20,10,57.6194411635517
18321_a,798.784637451172,-3024.14233398438,161,5,9,28.3725219182222
18321_a,798.784637451172,-2974.14233398438,152,43,26,80.845531725631
18321_a,798.784637451172,-2924.14233398438,121,63,34,87.3097932651315
18321_a,798.784637451172,-2874.14233398438,122,63,34,87.6698351772148
18321_a,798.784637451172,-2824.14233398438,118,63,35,86.2206471791995
18321_a,798.784637451172,-2774.14233398438,136,58,26,88.8144132446981
18321_a,798.784637451172,-2724.14233398438,176,20,9,59.3295878967653
18321_a,848.784637451172,-3024.14233398438,137,5,7,26.1725046566048
18321_a,848.784637451172,-2974.14233398438,138,33,24,67.483331275212
18321_a,848.784637451172,-2924.14233398438,118,50,32,76.8114574786861
18321_a,848.784637451172,-2874.14233398438,124,50,32,78.7400787401181
18321_a,848.784637451172,-2824.14233398438,131,50,33,80.9320702811932
18321_a,848.784637451172,-2774.14233398438,145,45,26,80.7774721070176
18321_a,848.784637451172,-2724.14233398438,179,17,9,55.1633936592012
18321_a,898.784637451172,-2974.14233398438,132,13,24,41.424630354416
18321_a,898.784637451172,-2924.14233398438,136,24,26,57.1314274283428
18321_a,898.784637451172,-2874.14233398438,156,24,26,61.1882341631134
18321_a,898.784637451172,-2824.14233398438,163,24,27,62.5459830844476
18321_a,898.784637451172,-2774.14233398438,169,20,26,58.1377674149945
18321_a,898.784637451172,-2724.14233398438,194,11,3,46.1952378498044
18321_a,1148.78463745117,-2524.14233398438,208,5,24,32.2490309931942
18321_a,1148.78463745117,-2474.14233398438,200,8,19,40
18321_a,1148.78463745117,-2424.14233398438,182,8,18,38.1575680566778
18321_a,1148.78463745117,-2374.14233398438,151,8,15,34.7562943939655
18321_a,1148.78463745117,-2324.14233398438,117,5,12,24.1867732448956
18321_a,1198.78463745117,-2574.14233398438,210,18,21,61.4817045957576
18321_a,1198.78463745117,-2524.14233398438,199,41,35,90.3271830624646
18321_a,1198.78463745117,-2474.14233398438,189,65,27,110.837719211467
18321_a,1198.78463745117,-2424.14233398438,172,69,27,108.940350651171
18321_a,1198.78463745117,-2374.14233398438,144,70,23,100.399203184089
18321_a,1198.78463745117,-2324.14233398438,118,52,16,78.3326241102646
18321_a,1198.78463745117,-2274.14233398438,86,29,2,49.9399639567351
18321_a,1198.78463745117,-2224.14233398438,55,5,2,16.583123951777
18321_a,1248.78463745117,-2574.14233398438,191,43,21,90.6256034462668
18321_a,1248.78463745117,-2524.14233398438,176,89,35,125.155902777296
18321_a,1248.78463745117,-2474.14233398438,157,133,31,144.502595132406
18321_a,1248.78463745117,-2424.14233398438,136,162,31,148.431802522236
18321_a,1248.78463745117,-2374.14233398438,113,173,27,139.817738502666
18321_a,1248.78463745117,-2324.14233398438,97,134,27,114.008771592365
18321_a,1248.78463745117,-2274.14233398438,76,87,13,81.3142054010245
18321_a,1248.78463745117,-2224.14233398438,52,43,9,47.2863616701476
18321_a,1248.78463745117,-2174.14233398438,32,14,7,21.1660104885167
18321_a,1298.78463745117,-2674.14233398438,196,7,13,37.0405183549043
18321_a,1298.78463745117,-2624.14233398438,191,11,17,45.8366665454634
18321_a,1298.78463745117,-2574.14233398438,161,59,25,97.462813421325
18321_a,1298.78463745117,-2524.14233398438,144,123,41,133.086438076913
18321_a,1298.78463745117,-2474.14233398438,123,187,37,151.660805747563
18321_a,1298.78463745117,-2424.14233398438,101,228,36,151.749794069053
18321_a,1298.78463745117,-2374.14233398438,81,254,33,143.436397054583
18321_a,1298.78463745117,-2324.14233398438,73,209,33,123.519229272207
18321_a,1298.78463745117,-2274.14233398438,62,145,16,94.8156105290685
18321_a,1298.78463745117,-2224.14233398438,45,79,12,59.6238207430554
18321_a,1298.78463745117,-2174.14233398438,30,34,10,31.9374388453426
18321_a,1348.78463745117,-2674.14233398438,156,7,17,33.0454232837166
18321_a,1348.78463745117,-2624.14233398438,153,12,21,42.8485705712571
18321_a,1348.78463745117,-2574.14233398438,124,62,30,87.6812408671319
18321_a,1348.78463745117,-2524.14233398438,108,127,59,117.115327775659
18321_a,1348.78463745117,-2474.14233398438,85,202,55,131.034346642398
18321_a,1348.78463745117,-2424.14233398438,67,252,54,129.938446966246
18321_a,1348.78463745117,-2374.14233398438,44,282,64,111.391202525155
18321_a,1348.78463745117,-2324.14233398438,41,239,63,98.9898984745413
18321_a,1348.78463745117,-2274.14233398438,41,178,33,85.4283325366942
18321_a,1348.78463745117,-2224.14233398438,40,101,27,63.5609943282828
18321_a,1348.78463745117,-2174.14233398438,30,47,25,37.5499667110372
18321_a,1398.78463745117,-2674.14233398438,136,7,14,30.854497241083
18321_a,1398.78463745117,-2624.14233398438,135,12,15,40.2492235949962
18321_a,1398.78463745117,-2574.14233398438,118,60,21,84.1427358718505
18321_a,1398.78463745117,-2524.14233398438,101,123,38,111.458512460915
18321_a,1398.78463745117,-2474.14233398438,79,197,41,124.75175349469
18321_a,1398.78463745117,-2424.14233398438,59,248,41,120.9628042003
18321_a,1398.78463745117,-2374.14233398438,38,284,62,103.884551305764
18321_a,1398.78463745117,-2224.14233398438,35,120,37,64.8074069840786
18321_a,1398.78463745117,-2174.14233398438,34,65,35,47.0106370941726
18321_a,1448.78463745117,-2674.14233398438,110,7,10,27.7488738510232
18321_a,1448.78463745117,-2624.14233398438,120,12,10,37.9473319220206
18321_a,1448.78463745117,-2574.14233398438,123,45,12,74.3975806058235
18321_a,1448.78463745117,-2524.14233398438,116,87,27,100.458946838995
