sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
18321_a,448.784637451172,-3024.14233398438,150,5,5,0.0333333333333333,5
18321_a,448.784637451172,-2974.14233398438,144,5,6,0.0416666666666667,6
18321_a,448.784637451172,-2924.14233398438,144,5,6,0.0416666666666667,6
18321_a,448.784637451172,-2874.14233398438,151,5,6,0.0397350993377483,6
18321_a,498.784637451172,-3024.14233398438,160,6,6,0.0375,6
18321_a,498.784637451172,-2974.14233398438,145,6,7,0.0482758620689655,7
18321_a,498.784637451172,-2924.14233398438,147,6,7,0.0476190476190476,7
18321_a,498.784637451172,-2874.14233398438,147,6,7,0.0476190476190476,7
18321_a,548.784637451172,-3024.14233398438,167,6,6,0.0359281437125749,6
18321_a,548.784637451172,-2974.14233398438,160,6,7,0.04375,7
18321_a,548.784637451172,-2924.14233398438,166,6,7,0.0421686746987952,7
18321_a,548.784637451172,-2874.14233398438,164,6,7,0.0426829268292683,7
18321_a,598.784637451172,-3024.14233398438,174,6,6,0.0344827586206897,6
18321_a,598.784637451172,-2974.14233398438,158,16,9,0.0569620253164557,9
18321_a,598.784637451172,-2924.14233398438,160,19,10,0.0625,10
18321_a,598.784637451172,-2874.14233398438,157,19,10,0.0636942675159236,10
18321_a,598.784637451172,-2824.14233398438,146,17,8,0.0547945205479452,8
18321_a,598.784637451172,-2774.14233398438,156,13,3,0.0192307692307692,3
18321_a,648.784637451172,-3024.14233398438,189,5,2,0.0105820105820106,2
18321_a,648.784637451172,-2974.14233398438,162,34,4,0.0246913580246914,4
18321_a,648.784637451172,-2924.14233398438,155,43,5,0.032258064516129,5
18321_a,648.784637451172,-2874.14233398438,142,43,6,0.0422535211267606,6
18321_a,648.784637451172,-2824.14233398438,125,42,5,0.04,5
18321_a,648.784637451172,-2774.14233398438,142,38,4,0.028169014084507,4
18321_a,648.784637451172,-2724.14233398438,157,9,2,0.0127388535031847,2
18321_a,698.784637451172,-3024.14233398438,190,6,3,0.0157894736842105,3
18321_a,698.784637451172,-2974.14233398438,165,44,5,0.0303030303030303,5
18321_a,698.784637451172,-2924.14233398438,146,63,6,0.0410958904109589,6
18321_a,698.784637451172,-2874.14233398438,136,63,10,0.0735294117647059,10
18321_a,698.784637451172,-2824.14233398438,118,63,10,0.0847457627118644,10
