sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac
18321_a,648.784637451172,-2974.14233398438,162,34,4,3,0.0882352941176471,0.0246913580246914
18321_a,648.784637451172,-2924.14233398438,155,43,5,4,0.0930232558139535,0.032258064516129
18321_a,648.784637451172,-2874.14233398438,142,43,6,5,0.116279069767442,0.0422535211267606
18321_a,648.784637451172,-2824.14233398438,125,42,5,4,0.0952380952380952,0.04
18321_a,648.784637451172,-2774.14233398438,142,38,4,3,0.0789473684210526,0.028169014084507
18321_a,698.784637451172,-2974.14233398438,165,44,5,4,0.0909090909090909,0.0303030303030303
18321_a,698.784637451172,-2924.14233398438,146,63,6,5,0.0793650793650794,0.0410958904109589
18321_a,698.784637451172,-2874.14233398438,136,63,10,9,0.142857142857143,0.0735294117647059
18321_a,698.784637451172,-2824.14233398438,118,63,10,9,0.142857142857143,0.0847457627118644
18321_a,698.784637451172,-2774.14233398438,135,57,7,6,0.105263157894737,0.0518518518518519
18321_a,748.784637451172,-2974.14233398438,168,43,5,3,0.0697674418604651,0.0297619047619048
18321_a,748.784637451172,-2924.14233398438,135,63,7,5,0.0793650793650794,0.0518518518518519
18321_a,748.784637451172,-2874.14233398438,131,63,12,10,0.158730158730159,0.0916030534351145
18321_a,748.784637451172,-2824.14233398438,121,63,12,10,0.158730158730159,0.0991735537190083
18321_a,748.784637451172,-2774.14233398438,139,58,9,8,0.137931034482759,0.0647482014388489
18321_a,798.784637451172,-2974.14233398438,152,43,3,2,0.0465116279069768,0.0197368421052632
18321_a,798.784637451172,-2924.14233398438,121,63,5,4,0.0634920634920635,0.0413223140495868
18321_a,798.784637451172,-2874.14233398438,122,63,10,9,0.142857142857143,0.0819672131147541
18321_a,798.784637451172,-2824.14233398438,118,63,10,9,0.142857142857143,0.0847457627118644
18321_a,798.784637451172,-2774.14233398438,136,58,7,7,0.120689655172414,0.0514705882352941
18321_a,848.784637451172,-2974.14233398438,138,33,3,2,0.0606060606060606,0.0217391304347826
18321_a,848.784637451172,-2924.14233398438,118,50,4,3,0.06,0.0338983050847458
18321_a,848.784637451172,-2874.14233398438,124,50,9,8,0.16,0.0725806451612903
18321_a,848.784637451172,-2824.14233398438,131,50,9,8,0.16,0.0687022900763359
18321_a,848.784637451172,-2774.14233398438,145,45,6,6,0.133333333333333,0.0413793103448276
18321_a,1198.78463745117,-2524.14233398438,199,41,10,14,0.341463414634146,0.050251256281407
18321_a,1198.78463745117,-2474.14233398438,189,65,11,17,0.261538461538462,0.0582010582010582
18321_a,1198.78463745117,-2424.14233398438,172,69,13,18,0.260869565217391,0.0755813953488372
18321_a,1198.78463745117,-2374.14233398438,144,70,12,18,0.257142857142857,0.0833333333333333
18321_a,1198.78463745117,-2324.14233398438,118,52,7,9,0.173076923076923,0.0593220338983051
18321_a,1248.78463745117,-2574.14233398438,191,43,15,13,0.302325581395349,0.0785340314136126
18321_a,1248.78463745117,-2524.14233398438,176,89,12,16,0.179775280898876,0.0681818181818182
18321_a,1248.78463745117,-2474.14233398438,157,133,13,19,0.142857142857143,0.0828025477707006
18321_a,1248.78463745117,-2424.14233398438,136,162,15,20,0.123456790123457,0.110294117647059
18321_a,1248.78463745117,-2374.14233398438,113,173,13,22,0.127167630057803,0.115044247787611
