sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
18321_a,648.784637451172,-2974.14233398438,162,34,7,0.205882352941176
18321_a,648.784637451172,-2924.14233398438,155,43,10,0.232558139534884
18321_a,648.784637451172,-2874.14233398438,142,43,12,0.27906976744186
18321_a,648.784637451172,-2824.14233398438,125,42,11,0.261904761904762
18321_a,648.784637451172,-2774.14233398438,142,38,10,0.263157894736842
18321_a,698.784637451172,-2974.14233398438,165,44,10,0.227272727272727
18321_a,698.784637451172,-2924.14233398438,146,63,13,0.206349206349206
18321_a,698.784637451172,-2874.14233398438,136,63,19,0.301587301587302
18321_a,698.784637451172,-2824.14233398438,118,63,19,0.301587301587302
18321_a,698.784637451172,-2774.14233398438,135,57,14,0.245614035087719
18321_a,748.784637451172,-2974.14233398438,168,43,11,0.255813953488372
18321_a,748.784637451172,-2924.14233398438,135,63,16,0.253968253968254
18321_a,748.784637451172,-2874.14233398438,131,63,22,0.349206349206349
18321_a,748.784637451172,-2824.14233398438,121,63,22,0.349206349206349
18321_a,748.784637451172,-2774.14233398438,139,58,18,0.310344827586207
18321_a,798.784637451172,-2974.14233398438,152,43,8,0.186046511627907
18321_a,798.784637451172,-2924.14233398438,121,63,13,0.206349206349206
18321_a,798.784637451172,-2874.14233398438,122,63,19,0.301587301587302
18321_a,798.784637451172,-2824.14233398438,118,63,19,0.301587301587302
18321_a,798.784637451172,-2774.14233398438,136,58,15,0.258620689655172
18321_a,848.784637451172,-2974.14233398438,138,33,6,0.181818181818182
18321_a,848.784637451172,-2924.14233398438,118,50,8,0.16
18321_a,848.784637451172,-2874.14233398438,124,50,15,0.3
18321_a,848.784637451172,-2824.14233398438,131,50,15,0.3
18321_a,848.784637451172,-2774.14233398438,145,45,11,0.244444444444444
18321_a,1198.78463745117,-2524.14233398438,199,41,20,0.487804878048781
18321_a,1198.78463745117,-2474.14233398438,189,65,26,0.4
18321_a,1198.78463745117,-2424.14233398438,172,69,32,0.463768115942029
18321_a,1198.78463745117,-2374.14233398438,144,70,33,0.471428571428571
18321_a,1198.78463745117,-2324.14233398438,118,52,18,0.346153846153846
18321_a,1248.78463745117,-2574.14233398438,191,43,23,0.534883720930233
18321_a,1248.78463745117,-2524.14233398438,176,89,27,0.303370786516854
18321_a,1248.78463745117,-2474.14233398438,157,133,33,0.24812030075188
18321_a,1248.78463745117,-2424.14233398438,136,162,42,0.259259259259259
18321_a,1248.78463745117,-2374.14233398438,113,173,40,0.23121387283237
18321_a,1248.78463745117,-2324.14233398438,97,134,27,0.201492537313433
18321_a,1248.78463745117,-2274.14233398438,76,87,22,0.252873563218391
18321_a,1298.78463745117,-2574.14233398438,161,59,28,0.474576271186441
18321_a,1298.78463745117,-2524.14233398438,144,123,32,0.260162601626016
18321_a,1298.78463745117,-2474.14233398438,123,187,36,0.192513368983957
18321_a,1298.78463745117,-2424.14233398438,101,228,44,0.192982456140351
18321_a,1298.78463745117,-2374.14233398438,81,254,40,0.15748031496063
18321_a,1298.78463745117,-2324.14233398438,73,209,27,0.129186602870813
18321_a,1298.78463745117,-2274.14233398438,62,145,23,0.158620689655172
18321_a,1348.78463745117,-2574.14233398438,124,62,35,0.564516129032258
18321_a,1348.78463745117,-2524.14233398438,108,127,40,0.31496062992126
18321_a,1348.78463745117,-2474.14233398438,85,202,44,0.217821782178218
18321_a,1348.78463745117,-2424.14233398438,67,252,52,0.206349206349206
18321_a,1398.78463745117,-2574.14233398438,118,60,33,0.55
18321_a,1398.78463745117,-2524.14233398438,101,123,33,0.268292682926829
18321_a,1398.78463745117,-2474.14233398438,79,197,37,0.187817258883249
18321_a,1448.78463745117,-2574.14233398438,123,45,21,0.466666666666667
18321_a,1448.78463745117,-2524.14233398438,116,87,21,0.241379310344828
18321_a,1448.78463745117,-2474.14233398438,106,140,25,0.178571428571429
18321_a,1448.78463745117,-2424.14233398438,91,187,24,0.128342245989305
18321_a,1448.78463745117,-2374.14233398438,63,228,21,0.0921052631578947
18321_a,1498.78463745117,-2524.14233398438,144,41,15,0.365853658536585
18321_a,1498.78463745117,-2474.14233398438,145,72,17,0.236111111111111
18321_a,1498.78463745117,-2424.14233398438,125,94,16,0.170212765957447
18321_a,1498.78463745117,-2374.14233398438,87,126,21,0.166666666666667
18321_a,1498.78463745117,-2324.14233398438,61,133,15,0.112781954887218
18321_a,1498.78463745117,-2224.14233398438,60,90,16,0.177777777777778
18321_a,1498.78463745117,-2174.14233398438,68,64,15,0.234375
18321_a,1498.78463745117,-2124.14233398438,67,30,9,0.3
18321_a,1548.78463745117,-2374.14233398438,129,46,18,0.391304347826087
18321_a,1548.78463745117,-2324.14233398438,100,59,16,0.271186440677966
18321_a,1548.78463745117,-2274.14233398438,95,66,18,0.272727272727273
18321_a,1548.78463745117,-2224.14233398438,99,55,16,0.290909090909091
18321_a,1548.78463745117,-2174.14233398438,105,45,15,0.333333333333333
18321_a,1598.78463745117,-2274.14233398438,128,33,12,0.363636363636364
18321_a,1598.78463745117,-2224.14233398438,127,33,14,0.424242424242424
18321_a,1598.78463745117,-2174.14233398438,137,32,13,0.40625
18321_a,2148.78463745117,-2274.14233398438,163,31,21,0.67741935483871
18321_a,2148.78463745117,-2224.14233398438,156,31,21,0.67741935483871
18321_a,2198.78463745117,-2374.14233398438,116,45,18,0.4
18321_a,2198.78463745117,-2324.14233398438,148,54,35,0.648148148148148
18321_a,2198.78463745117,-2274.14233398438,158,55,36,0.654545454545455
18321_a,2198.78463745117,-2224.14233398438,163,55,36,0.654545454545455
18321_a,2198.78463745117,-2174.14233398438,166,48,20,0.416666666666667
18321_a,2248.78463745117,-2374.14233398438,79,59,22,0.372881355932203
18321_a,2248.78463745117,-2324.14233398438,111,79,41,0.518987341772152
18321_a,2248.78463745117,-2274.14233398438,135,81,46,0.567901234567901
18321_a,2248.78463745117,-2224.14233398438,154,81,46,0.567901234567901
18321_a,2248.78463745117,-2174.14233398438,157,68,26,0.382352941176471
18321_a,2298.78463745117,-2324.14233398438,76,85,47,0.552941176470588
18321_a,2298.78463745117,-2274.14233398438,102,100,56,0.56
18321_a,2298.78463745117,-2224.14233398438,119,109,60,0.55045871559633
18321_a,2298.78463745117,-2174.14233398438,136,95,39,0.410526315789474
18321_a,2298.78463745117,-2124.14233398438,164,49,28,0.571428571428571
18321_a,2348.78463745117,-2324.14233398438,64,71,36,0.507042253521127
18321_a,2348.78463745117,-2274.14233398438,85,95,48,0.505263157894737
18321_a,2348.78463745117,-2224.14233398438,107,120,57,0.475
18321_a,2348.78463745117,-2174.14233398438,127,112,49,0.4375
18321_a,2348.78463745117,-2124.14233398438,149,76,42,0.552631578947369
18321_a,2348.78463745117,-2074.14233398438,169,52,21,0.403846153846154
18321_a,2398.78463745117,-2274.14233398438,74,85,40,0.470588235294118
18321_a,2398.78463745117,-2224.14233398438,97,113,49,0.433628318584071
18321_a,2398.78463745117,-2174.14233398438,118,107,50,0.467289719626168
18321_a,2398.78463745117,-2124.14233398438,128,81,45,0.555555555555556
18321_a,2398.78463745117,-2074.14233398438,150,59,26,0.440677966101695
18321_a,2398.78463745117,-2024.14233398438,171,35,20,0.571428571428571
