feature_name,cluster_label,N,total,pct
CCR7,CD4T,589,1497,39.3
CCR7,c16,186,1497,12.4
CCR7,c3,176,1497,11.8
CCR7,CD8T1,149,1497,10
CCR7,Hep1,79,1497,5.3
CCR7,c4,64,1497,4.3
CCR7,c5,58,1497,3.9
CCR7,c9,50,1497,3.3
CCR7,c13,31,1497,2.1
CCR7,Chol,24,1497,1.6
CCR7,Hep2,21,1497,1.4
CCR7,Hep4/Ig+,17,1497,1.1
CCR7,CD8T3,17,1497,1.1
CCR7,CD8T2,14,1497,0.9
CCR7,c14,11,1497,0.7
CCR7,Hep3,6,1497,0.4
CCR7,c11,5,1497,0.3
CD3D,CD8T1,8490,20566,41.3
CD3D,CD4T,2728,20566,13.3
CD3D,CD8T2,1657,20566,8.1
CD3D,c3,1490,20566,7.2
CD3D,CD8T3,1017,20566,4.9
CD3D,Hep1,936,20566,4.6
CD3D,c5,817,20566,4
CD3D,c4,725,20566,3.5
CD3D,c9,487,20566,2.4
CD3D,c16,439,20566,2.1
CD3D,c11,352,20566,1.7
CD3D,Hep2,349,20566,1.7
CD3D,c13,312,20566,1.5
CD3D,Chol,240,20566,1.2
CD3D,Hep4/Ig+,155,20566,0.8
CD3D,c14,150,20566,0.7
CD3D,Hep3,150,20566,0.7
CD3D,Ig+hep,72,20566,0.4
CD3E,CD8T1,14436,34023,42.4
CD3E,CD4T,5071,34023,14.9
CD3E,CD8T2,2488,34023,7.3
CD3E,c3,2292,34023,6.7
CD3E,CD8T3,1522,34023,4.5
CD3E,Hep1,1417,34023,4.2
CD3E,c5,1323,34023,3.9
CD3E,c4,1117,34023,3.3
CD3E,c9,835,34023,2.5
CD3E,c16,713,34023,2.1
CD3E,c11,550,34023,1.6
CD3E,Hep2,541,34023,1.6
CD3E,c13,531,34023,1.6
CD3E,Chol,379,34023,1.1
CD3E,Hep4/Ig+,300,34023,0.9
CD3E,Hep3,201,34023,0.6
CD3E,c14,185,34023,0.5
CD3E,Ig+hep,122,34023,0.4
CD4,c3,20427,68080,30
CD4,CD8T1,10674,68080,15.7
CD4,c5,6794,68080,10
CD4,Hep1,5101,68080,7.5
CD4,c4,4737,68080,7
CD4,CD4T,3902,68080,5.7
CD4,c11,3686,68080,5.4
CD4,Hep2,2152,68080,3.2
CD4,c9,2148,68080,3.2
CD4,c16,1480,68080,2.2
CD4,c13,1301,68080,1.9
CD4,CD8T2,1110,68080,1.6
CD4,CD8T3,1096,68080,1.6
CD4,Chol,911,68080,1.3
CD4,Hep4/Ig+,836,68080,1.2
CD4,c14,795,68080,1.2
CD4,Hep3,612,68080,0.9
CD4,Ig+hep,318,68080,0.5
CD40LG,CD4T,997,3065,32.5
CD40LG,CD8T1,552,3065,18
CD40LG,c9,276,3065,9
CD40LG,c3,233,3065,7.6
CD40LG,c4,153,3065,5
CD40LG,Hep1,152,3065,5
CD40LG,c13,128,3065,4.2
CD40LG,c5,115,3065,3.8
CD40LG,c16,101,3065,3.3
CD40LG,CD8T2,77,3065,2.5
CD40LG,CD8T3,62,3065,2
CD40LG,c11,47,3065,1.5
CD40LG,Chol,39,3065,1.3
CD40LG,Hep2,37,3065,1.2
CD40LG,Ig+hep,32,3065,1
CD40LG,c14,31,3065,1
CD40LG,Hep4/Ig+,23,3065,0.8
CD40LG,Hep3,10,3065,0.3
CD8A,CD8T1,27587,57743,47.8
CD8A,CD8T2,5554,57743,9.6
CD8A,c3,4733,57743,8.2
CD8A,CD8T3,3303,57743,5.7
CD8A,Hep1,3074,57743,5.3
CD8A,CD4T,2474,57743,4.3
CD8A,c5,2149,57743,3.7
CD8A,c4,1926,57743,3.3
CD8A,c9,1173,57743,2
CD8A,Hep2,1169,57743,2
CD8A,c11,1050,57743,1.8
CD8A,Chol,737,57743,1.3
CD8A,c16,622,57743,1.1
CD8A,c13,617,57743,1.1
CD8A,Hep4/Ig+,558,57743,1
CD8A,Hep3,478,57743,0.8
CD8A,c14,318,57743,0.6
CD8A,Ig+hep,221,57743,0.4
CD8B,CD8T1,5200,10816,48.1
CD8B,CD8T2,958,10816,8.9
CD8B,c3,788,10816,7.3
CD8B,CD8T3,632,10816,5.8
CD8B,CD4T,566,10816,5.2
CD8B,Hep1,561,10816,5.2
CD8B,c5,376,10816,3.5
CD8B,c4,371,10816,3.4
CD8B,c9,260,10816,2.4
CD8B,Hep2,175,10816,1.6
CD8B,c11,172,10816,1.6
CD8B,c13,162,10816,1.5
CD8B,c16,157,10816,1.5
CD8B,Chol,156,10816,1.4
CD8B,Hep4/Ig+,90,10816,0.8
CD8B,Hep3,78,10816,0.7
CD8B,c14,64,10816,0.6
CD8B,Ig+hep,50,10816,0.5
FOXP3,Hep1,907,3905,23.2
FOXP3,CD4T,718,3905,18.4
FOXP3,CD8T1,605,3905,15.5
FOXP3,c3,295,3905,7.6
FOXP3,Hep2,253,3905,6.5
FOXP3,CD8T2,163,3905,4.2
FOXP3,c5,155,3905,4
FOXP3,c4,141,3905,3.6
FOXP3,c9,115,3905,2.9
FOXP3,Hep4/Ig+,111,3905,2.8
FOXP3,c13,83,3905,2.1
FOXP3,CD8T3,73,3905,1.9
FOXP3,c16,69,3905,1.8
FOXP3,Chol,67,3905,1.7
FOXP3,c11,65,3905,1.7
FOXP3,Hep3,42,3905,1.1
FOXP3,c14,23,3905,0.6
FOXP3,Ig+hep,20,3905,0.5
