cluster_from,cluster_to,AIH,irHepatitis,diff
7,10,-2.22451040791619,-5.667541152412,-3.44303074449581
13,17,-4.56742952295191,-1.42022541460579,3.14720410834612
8,17,-2.78871831182238,0.310711945047702,3.09943025687009
16,20,-2.94799083409978,0.140352587371729,3.0883434214715
17,8,-2.67324109440245,0.266317825689248,2.9395589200917
20,13,-0.55690676354634,2.35418532674302,2.91109209028936
12,20,-2.84369069559899,0.05604657253615,2.89973726813514
13,18,-4.27941757880768,-1.39331065857686,2.88610692023082
19,8,-1.92912368172409,0.851280326410404,2.78040400813449
18,13,-3.39971181252539,-0.656345064410652,2.74336674811474
9,9,1.05601521604125,3.79589645627194,2.73988124023069
9,16,-0.929864280486674,1.80223978597212,2.7321040664588
16,9,-0.916493517118215,1.68676256855219,2.6032560856704
7,11,-2.14642815642872,-4.66240573918587,-2.51597758275716
11,7,-2.39050147317812,-4.85505081712827,-2.46454934395015
13,19,-2.17740971943715,0.257846490506849,2.435256209944
10,20,-0.455087074160352,-2.86131742326647,-2.40623034910612
12,1,-4.43901069070978,-2.03391560663696,2.40509508407282
12,6,-3.89326532916581,-1.56012884529117,2.33313648387465
13,20,-1.33451434220989,0.939147827464173,2.27366216967407
7,15,-2.90249462825875,-5.17106459461788,-2.26856996635913
8,19,-1.71121865137995,0.551720044551496,2.26293869593145
9,10,-2.48238464036584,-4.72491989058007,-2.24253525021423
17,13,-3.98246702223075,-1.74215350949315,2.2403135127376
13,9,0.203539721144617,2.38193464567484,2.17839492453022
20,12,-1.52176260071162,0.641009073257306,2.16277167396893
12,18,-4.3012504268875,-2.14987187796472,2.15137854892279
16,13,-0.79545729184404,1.24760739438182,2.04306468622586
16,11,-2.44495290531216,-4.48190215022336,-2.0369492449112
7,6,-3.29665042563651,-5.32608696466798,-2.02943653903147
9,13,0.600732765464422,2.54420607457372,1.94347330910929
20,9,-0.326512861561903,1.61494446430344,1.94145732586535
20,5,-1.32765009351873,0.591570279725603,1.91922037324434
8,3,-2.75314364662522,-0.838174455656244,1.91496919096897
17,14,-4.01383794531534,-2.11861005767217,1.89522788764317
7,1,-3.23456825067067,-5.09035662656024,-1.85578837588956
10,7,-2.72794302314075,-4.57443174802052,-1.84648872487977
20,16,-2.70006332065619,-0.859647412628272,1.84041590802792
14,17,-4.75080353948155,-2.92596497972977,1.82483855975178
13,16,-0.893194093539838,0.902471908333129,1.79566600187297
19,13,-1.39605000591249,0.345309331757189,1.74135933766968
14,1,-5.66224779841333,-3.93053531263644,1.73171248577689
6,14,-4.2795797544106,-2.58243289003467,1.69714686437593
10,16,-2.70665162547606,-4.38952860101085,-1.6828769755348
7,18,-3.05346596771921,-4.71395910112479,-1.66049313340558
13,1,-4.8497995951066,-3.20101080462353,1.64878879048307
18,14,-3.53231310873719,-5.17573970927033,-1.64342660053314
16,10,-2.90828548664571,-4.5415316944559,-1.6332462078102
3,8,-2.94617985783309,-1.35987206291938,1.58630779491371
13,13,1.26860916097776,2.84811299180208,1.57950383082431
1,21,0,-1.55693748865483,-1.55693748865483
21,1,0,-1.55693748865483,-1.55693748865483
7,7,0.764789225821994,2.31524758328345,1.55045835746146
15,12,-2.77631903479949,-1.23439557794574,1.54192345685375
19,10,-1.07773873517601,-2.58936399380646,-1.51162525863045
13,6,-4.873969340811,-3.36253025023144,1.51143909057956
15,21,0,1.5062253908988,1.5062253908988
8,2,-2.05946659887254,-0.558158258960256,1.50130833991228
10,21,0,-1.48052896584908,-1.48052896584908
6,7,-3.25712206144988,-4.72744952704975,-1.47032746559987
9,11,-2.36261924279188,-3.82720649245947,-1.46458724966759
16,19,-1.53094113140808,-0.0675545716649198,1.46338655974316
8,8,2.27444113934303,3.72698304534216,1.45254190599913
14,10,-2.56899593405923,-3.99033403954155,-1.42133810548232
4,21,0,-1.42015218232198,-1.42015218232198
15,7,-2.83778893887093,-4.25352675480985,-1.41573781593891
12,15,-3.77631903479949,-2.37189910169568,1.40441993310381
17,18,-0.218953965938966,-1.58781232420338,-1.36885835826441
12,17,-4.17168184100147,-2.81747510264349,1.35420673835798
6,13,-3.55876710911195,-2.20498897324496,1.35377813586699
2,8,-2.06665612392193,-0.713436484438167,1.35321963948376
1,20,-0.0170840787338981,-1.37024416726821,-1.35316008853431
2,7,-1.11195133604591,0.235381764326974,1.34733310037288
11,16,-2.65353952712357,-3.99647532305312,-1.34293579592954
9,12,-1.04513724687523,-2.38621262728078,-1.34107538040555
17,5,-2.03406919462164,-0.694625235510675,1.33944395911097
16,2,-1.49157126776562,-0.153736076102408,1.33783519166321
13,2,-2.09875179383466,-0.762422377401956,1.3363294164327
9,7,-0.756761417425632,0.578595612102667,1.3353570295283
1,7,-2.74637763905195,-4.07857945878388,-1.33220181973193
6,18,0.236174513746542,-1.07272049102438,-1.30889500477092
16,16,1.64710839341034,2.95494855943055,1.30784016602021
1,12,-2.4318862562764,-1.1449469190257,1.28693933725069
8,18,-3.67533835787833,-2.39355699765886,1.28178136021947
18,6,0.208562282538682,-1.07272049102438,-1.28128277356306
19,1,-1.12067324053948,-2.38424518212999,-1.26357194159051
11,2,-0.891390150409375,-2.14491282098372,-1.25352267057434
19,15,-0.655725189405478,-1.8909796359169,-1.23525444651142
9,15,-2.87420121491066,-4.09831820398784,-1.22411698907719
19,14,-1.41481853595749,-0.198044525166573,1.21677401079092
2,13,-1.53980252981333,-0.324301265010071,1.21550126480326
16,7,0.508439291603517,1.71408156218389,1.20564227058037
11,11,0.414032310154835,-0.790497151076049,-1.20452946123088
6,15,0.211641712773688,-0.986737010435627,-1.19837872320932
2,21,0,-1.19538943531022,-1.19538943531022
13,7,-1.198746324959,-0.0125249628199,1.1862213621391
1,14,-3.73380105943836,-2.54759144306745,1.18620961637091
19,5,-1.1616290207658,0.022644557314612,1.18427357808042
19,7,-1.25518458496318,-0.0715538633436961,1.18363072161949
6,12,-2.00197158860831,-0.823163251124962,1.17880833748335
7,2,-1.07185924124203,0.0974322071708306,1.16929144841286
2,20,-1.3035408310869,-2.46342168749477,-1.15988085640788
20,11,-0.954728753631691,-2.1132181943159,-1.1584894406842
7,16,0.717253306439424,1.86828221133319,1.15102890489376
17,19,-0.424607940337358,0.717851379758381,1.14245932009574
20,18,-0.85057116307077,0.286489783836692,1.13706094690746
8,10,-1.64862399820683,-2.76946025442967,-1.12083625622284
18,16,-4.01290011368354,-2.89373982043159,1.11916029325195
2,16,-1.24401204244108,-0.132674460574579,1.1113375818665
19,2,-0.738063292324763,0.367189342255613,1.10525263458038
5,19,-1.69845500044269,-0.599988361372599,1.09846663907009
19,6,-1.27943419345293,-2.3752457519396,-1.09581155848667
18,15,0.20056899889722,-0.892732704790698,-1.09330170368792
16,15,-3.80654507988909,-4.89978934648325,-1.09324426659416
14,6,-4.78208009493978,-3.70126911954452,1.08081097539526
4,20,-1.85458398732326,-0.779570891213213,1.07501309611004
9,2,-1.21372505206309,-0.143554308085942,1.07017074397715
12,12,1.53482482720556,0.465847555135404,-1.06897727207015
6,6,0.639111775359806,-0.428294467658376,-1.06740624301818
7,19,-1.36079477292378,-0.293946284680144,1.06684848824364
5,3,-1.28097037991032,-0.219968668226903,1.06100171168342
12,3,-2.92107267134595,-1.86623500401037,1.05483766733558
1,15,0.217216657234555,-0.83562126302429,-1.05283792025885
7,20,-2.04315524015258,-0.990390646459578,1.052764593693
16,17,-3.29010802296289,-2.23747957310723,1.05262844985566
10,10,0.957586231931356,-0.0848774609894864,-1.04246369292084
1,6,0.439576894269569,-0.602118264050022,-1.04169515831959
6,17,-0.0547942251900314,-1.09513783274687,-1.04034360755684
19,9,-0.986094753736093,0.0536115124384991,1.03970626617459
15,14,-4.16335736966948,-3.12909173030132,1.03426563936816
17,10,-0.588163555992551,-1.6210728535338,-1.03290929754125
15,16,-3.45507270938771,-4.4847518472044,-1.02967913781669
6,19,-0.983978309926759,-2.01267567255489,-1.02869736262814
10,17,-0.597501420571887,-1.6210728535338,-1.02357143296191
2,11,-0.482925305054017,-1.50230266126275,-1.01937735620873
7,13,-0.65158585695023,0.354684011368329,1.00626986831856
7,9,-0.674957992024744,0.330668098659082,1.00562609068383
1,1,0.48776893954867,-0.515892977993525,-1.00366191754219
12,11,-2.31660929950209,-1.31476435186591,1.00184494763618
5,17,-2.34937434731527,-1.36781491924357,0.981559428071704
11,21,0,-0.963802440990452,-0.963802440990452
21,11,0,-0.963802440990452,-0.963802440990452
17,1,-0.0752717238486221,-1.03847034528826,-0.963198621439635
18,12,-2.61319443320224,-1.6523722184939,0.960822214708344
6,1,0.334262728183433,-0.622896493799429,-0.957159221982862
10,15,-0.361594616708681,-1.31620741275026,-0.954612796041582
17,12,-2.54875149008129,-1.59508268130705,0.953668808774246
20,20,1.91658505701275,0.965118312694269,-0.951466744318485
6,10,0.489024292655959,-0.460298923258342,-0.9493232159143
15,9,-2.87420121491066,-1.92839320254553,0.945808012365126
1,17,0.266750978132,-0.6776532370073,-0.9444042151393
17,6,-0.176139046187282,-1.11959087647141,-0.943451830284124
18,10,-0.137028518204239,-1.07944762060203,-0.942419102397787
14,20,-1.83654917220471,-0.898003068920158,0.93854610328455
1,13,-3.25561856435607,-2.32349481114853,0.932123753207537
11,3,-0.733171747695612,-1.65445808992925,-0.921286342233643
3,16,-1.89632606713137,-0.977413866007328,0.918912201124047
20,6,-0.655710780740275,0.257543282802581,0.913254063542856
9,14,-0.51813313148833,0.390692303733898,0.908825435222228
17,2,-0.724835253828587,0.176141049247546,0.900976303076133
5,2,-1.4492193299118,-0.554481786051383,0.894737543860412
17,9,-2.83731755003294,-1.9463884875615,0.890929062471439
19,16,-1.32037414546842,-0.430124651049628,0.890249494418795
7,21,0,-0.88717892617457,-0.88717892617457
21,7,0,-0.88717892617457,-0.88717892617457
3,5,-1.08536522044478,-0.202460018372161,0.882905202072623
2,19,-0.701994037617241,0.176141049247546,0.878135086864787
15,4,-1.7434523033448,-0.884525142182145,0.858927161162656
12,21,0,-0.858853025679504,-0.858853025679504
