from_label,to_label,irHep_enrichm,AIH_enrichm,delta_enrichm
CD8+ T cell 2,Cholangiocyte,1.02346140520393,-1.72386798306009,2.74732938826402
Hepatocyte 4,IgG+ B cell,0.128779032493429,-2.61316049875532,2.74193953124875
CD8+ T cell 2,IgG+ B cell,-0.80418297987186,-3.15888791716204,2.35470493729018
CD8+ T cell 2,Vascular endothelial cell,-1.48893972049444,-3.37539325652802,1.88645353603358
IgG+ plasmablast / plasma cell,IgM+ B cell,1.83145587054013,-0.0229482098599895,1.85440408040012
CD8+ T cell 3,IgG+ B cell,1.1582361395084,-0.689058895293681,1.84729503480209
CD8+ T cell 3,Cholangiocyte,1.00210414280762,-0.831060043021352,1.83316418582897
Ig+ hepatocyte,IgM+ B cell,-0.0927398304622705,-1.86298515054454,1.77024532008227
IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,3.43334990702912,1.91626978458201,1.51708012244711
Hepatocyte 1,Vascular endothelial cell,-2.05566825362703,-3.57096077104258,1.51529251741555
IgG+ B cell,IgG+ plasmablast / plasma cell,2.93317335885481,1.43369139003408,1.49948196882073
Ig+ hepatocyte,IgG+ B cell,1.69147365832623,0.219010806188242,1.47246285213799
Hepatocyte 2,Vascular endothelial cell,-1.97398680197528,-3.31437206127665,1.34038525930137
Cholangiocyte,Macrophage 1,-0.514707201549452,-1.84427139892336,1.32956419737391
Hepatocyte 2,IgG+ B cell,-1.51380100856934,-2.78885520760288,1.27505419903354
CD8+ T cell 1,IgG+ B cell,0.507979560667736,-0.747661589750138,1.25564115041787
IgG+ B cell,IgM+ B cell,1.50770195900844,0.272849748437103,1.23485221057134
Cholangiocyte,Cholangiocyte,4.31057794702885,3.0921365650849,1.21844138194395
CD8+ T cell 2,Macrophage 2,-0.0427141949917053,-1.19165649825231,1.14894230326061
CD4+ T cell,IgG+ plasmablast / plasma cell,1.32391775729612,0.198165851744274,1.12575190555184
CD4+ T cell,CD8+ T cell 1,0.923060019745198,-0.136177335474946,1.05923735522014
CD4+ T cell,CD4+ T cell,2.78913343020357,1.73013077186447,1.0590026583391
CD8+ T cell 1,Cholangiocyte,-0.012753280149629,-1.06741097947584,1.05465769932621
CD8+ T cell 1,IgM+ B cell,0.541972854645058,-0.463662911926143,1.0056357665712
Ig+ hepatocyte,Macrophage 2,0.352894609263519,-0.650722058006529,1.00361666727005
Hepatocyte 1,IgG+ B cell,-1.70245126647746,-2.7029488979793,1.00049763150184
IgG+ plasmablast / plasma cell,Vascular endothelial cell,1.2860520398257,0.301555372144787,0.984496667680909
Ig+ hepatocyte,Stellate cell,0.194556125850856,-0.771716550053444,0.966272675904299
CD8+ T cell 3,Macrophage 2,0.562369462772257,-0.373335656733676,0.935705119505933
Macrophage 1,Macrophage 2,0.743831142630265,-0.116365000653745,0.860196143284011
CD4+ T cell,IgM+ B cell,2.4646191036448,1.60517732361616,0.859441780028645
Hepatocyte 1,Stellate cell,-0.303102181817622,-1.16248070463837,0.85937852282075
CD4+ T cell,IgG+ B cell,0.991646702542413,0.194340913041809,0.797305789500603
CD8+ T cell 3,Vascular endothelial cell,0.15793931069003,-0.634433356230817,0.792372666920847
Ig+ hepatocyte,Vascular endothelial cell,-0.0658210802508401,-0.835868696973454,0.770047616722614
CD8+ T cell 1,CD8+ T cell 3,1.02859801974391,0.294307898692172,0.734290121051739
Hepatocyte 4,Macrophage 2,-0.700137760174125,-1.42460396596403,0.724466205789907
IgM+ B cell,IgM+ B cell,3.36381373192641,2.668301036921,0.695512695005411
CD8+ T cell 1,Macrophage 2,0.560905410068656,-0.121156382002687,0.682061792071342
CD8+ T cell 1,Vascular endothelial cell,-0.0309224305012155,-0.704119019145711,0.673196588644495
CD4+ T cell,CD8+ T cell 3,0.293008730262013,-0.344476052583371,0.637484782845384
Hepatocyte 2,Stellate cell,-0.35424435837799,-0.981023843972697,0.626779485594707
CD8+ T cell 2,CD8+ T cell 3,1.17986205074396,0.559951164996322,0.619910885747635
IgG+ plasmablast / plasma cell,Stellate cell,0.419602535507568,-0.173063871800145,0.592666407307714
IgM+ B cell,Macrophage 1,-0.327692497449217,-0.908960761710405,0.581268264261188
CD8+ T cell 1,CD8+ T cell 1,1.11363948285134,0.537267237339743,0.576372245511595
CD8+ T cell 1,CD8+ T cell 2,0.826050694717686,0.25872761864954,0.567323076068146
Macrophage 1,Vascular endothelial cell,-0.792254803680402,-1.3589822164251,0.566727412744696
Hepatocyte 4,Stellate cell,-0.696055797857117,-1.23453656776483,0.538480769907709
Macrophage 1,Macrophage 1,1.48781454103679,0.956355192450877,0.531459348585913
IgG+ B cell,Macrophage 1,-0.778099259101461,-1.30811475512696,0.530015496025501
CD8+ T cell 2,IgM+ B cell,-1.71866806837548,-2.24453263920263,0.525864570827151
CD8+ T cell 2,Stellate cell,-0.78600497749583,-1.31057914306696,0.524574165571134
Macrophage 2,Macrophage 2,1.4037488183823,0.883444927839862,0.520303890542438
CD8+ T cell 3,Macrophage 1,0.736470432702677,0.232127431650693,0.504343001051984
CD4+ T cell,Macrophage 2,0.874533155902913,0.373182956447851,0.501350199455062
IgG+ B cell,Macrophage 2,0.783916869336307,0.288502302297308,0.495414567038999
CD8+ T cell 2,IgG+ plasmablast / plasma cell,-1.50054729509579,-1.95565201382409,0.455104718728301
Hepatocyte 4,IgM+ B cell,-2.5589168843315,-3.013891415282,0.4549745309505
IgG+ B cell,Stellate cell,0.608632537072509,0.191304438946645,0.417328098125864
IgG+ plasmablast / plasma cell,Macrophage 2,0.563043189600218,0.154966482536336,0.408076707063882
CD8+ T cell 2,Macrophage 1,0.548047634032146,0.158263150607069,0.389784483425077
CD8+ T cell 1,IgG+ plasmablast / plasma cell,0.183727349129888,-0.196723367046931,0.38045071617682
IgM+ B cell,Macrophage 2,0.641276076168821,0.269716811773651,0.37155926439517
Cholangiocyte,Macrophage 2,0.620053317925834,0.25406768693626,0.365985630989574
Stellate cell,Vascular endothelial cell,0.876912999620758,0.525330530280834,0.351582469339924
IgG+ B cell,Sinusoidal endothelial cell,-1.59876925832979,-1.94280797464272,0.344038716312926
Ig+ hepatocyte,IgG+ plasmablast / plasma cell,0.995666682510689,0.661633375499825,0.334033307010864
Cholangiocyte,Hepatocyte 4,-2.1029145573827,-2.43189359238753,0.328979035004825
Hepatocyte 2,Sinusoidal endothelial cell,0.504437311843077,0.17717718381134,0.327260128031737
CD8+ T cell 1,Macrophage 1,0.686146358443828,0.359471734880734,0.326674623563094
CD4+ T cell,Cholangiocyte,-0.455474557420062,-0.76342758264279,0.307953025222728
IgG+ plasmablast / plasma cell,Macrophage 1,-0.0850900830730769,-0.391900000761765,0.306809917688688
IgG+ B cell,Vascular endothelial cell,0.984892817103224,0.691963293518029,0.292929523585195
Hepatocyte 1,Macrophage 2,-1.18252259838886,-1.47015079875477,0.287628200365911
IgM+ B cell,Vascular endothelial cell,0.90922378520596,0.656180316120918,0.253043469085042
Hepatocyte 1,Sinusoidal endothelial cell,0.557625218627911,0.332805280287214,0.224819938340697
