condition,from_label,to_label,mean_enrichm,mean_original,mean_p_higher_orig,mean_p_lower_orig,mean_PI_value,n_samples
AIH,CD4+ T cell,CD4+ T cell,1.73013077186447,1903.5,0,1,5.19039231559342,2
AIH,CD4+ T cell,CD8+ T cell 1,-0.136177335474946,2734,0.986,0.015,-0.35715305660127,2
AIH,CD4+ T cell,CD8+ T cell 2,-1.65325367626417,136,1,0,-4.95976102879252,2
AIH,CD4+ T cell,CD8+ T cell 3,-0.344476052583371,163,0.9985,0.0015,-0.882742753889949,2
AIH,CD4+ T cell,Cholangiocyte,-0.76342758264279,590,1,0,-2.29028274792837,2
AIH,CD4+ T cell,Hepatocyte 1,-2.01638137640741,536,1,0,-6.04914412922224,2
AIH,CD4+ T cell,Hepatocyte 2,-2.1344336819465,181.5,1,0,-6.40330104583951,2
AIH,CD4+ T cell,Hepatocyte 3,-1.28020363384255,109,1,0,-3.84061090152765,2
AIH,CD4+ T cell,Hepatocyte 4,-2.0896102110895,78,1,0,-6.26883063326849,2
AIH,CD4+ T cell,Ig+ hepatocyte,-0.929496194507398,64.5,1,0,-2.78848858352219,2
AIH,CD4+ T cell,IgG+ B cell,0.194340913041809,855.5,0.284,0.7255,0.591244587449299,2
AIH,CD4+ T cell,IgG+ plasmablast / plasma cell,0.198165851744274,1251.5,0.455,0.548,0.646065585139031,2
AIH,CD4+ T cell,IgM+ B cell,1.60517732361616,1708.5,0,1,4.81553197084847,2
AIH,CD4+ T cell,Macrophage 1,-0.598601784593009,1379.5,1,0,-1.79580535377903,2
AIH,CD4+ T cell,Macrophage 2,0.373182956447851,2218.5,0,1,1.11954886934355,2
AIH,CD4+ T cell,Sinusoidal endothelial cell,-1.26221216102039,236,1,0,-3.78663648306118,2
AIH,CD4+ T cell,Stellate cell,0.14854947798053,1946,0.0805,0.921,0.410687228497025,2
AIH,CD4+ T cell,Vascular endothelial cell,0.603157587819556,663.5,0,1,1.80947276345867,2
AIH,CD8+ T cell 1,CD8+ T cell 1,0.537267237339743,5565.5,0,1,1.61180171201923,2
AIH,CD8+ T cell 1,CD8+ T cell 2,0.25872761864954,1319.5,0,1,0.776182855948621,2
AIH,CD8+ T cell 1,CD8+ T cell 3,0.294307898692172,639,0,1,0.882923696076516,2
AIH,CD8+ T cell 1,Cholangiocyte,-1.06741097947584,1203,1,0,-3.20223293842753,2
AIH,CD8+ T cell 1,Hepatocyte 1,-0.154319949378552,4529,1,0,-0.462959848135656,2
AIH,CD8+ T cell 1,Hepatocyte 2,-0.300741888759609,1591,1,0,-0.902225666278828,2
AIH,CD8+ T cell 1,Hepatocyte 3,-0.34154967817471,526.5,1,0,-1.02464903452413,2
AIH,CD8+ T cell 1,Hepatocyte 4,-0.360851622030971,659.5,1,0,-1.08255486609291,2
AIH,CD8+ T cell 1,Ig+ hepatocyte,-0.0869958289816402,284.5,0.68,0.331,-0.204593591186651,2
AIH,CD8+ T cell 1,IgG+ B cell,-0.747661589750138,1198.5,1,0,-2.24298476925041,2
AIH,CD8+ T cell 1,IgG+ plasmablast / plasma cell,-0.196723367046931,2504.5,1,0,-0.590170101140795,2
