unified_int,type_int,original,simulations,enrichm,p_higher_orig,p_lower_orig,p.adj_higher,p.adj_lower,PI_value,int_ranking,sample_id,condition,from_label,to_label
Cholangiocyte--Cholangiocyte,homo,437,24.395,4.1083144907591,0,1,0,1,12.3249434722773,1,18321_a,irHepatitis,Cholangiocyte,Cholangiocyte
IgG+ B cell--IgG+ B cell,homo,97,6.192,3.76831682326285,0,1,0,1,11.3049504697885,2,18321_a,irHepatitis,IgG+ B cell,IgG+ B cell
IgG+ plasmablast / plasma cell--IgG+ plasmablast / plasma cell,homo,57,3.277,3.76138178791333,0,1,0,1,11.28414536374,3,18321_a,irHepatitis,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell
IgM+ B cell--IgM+ B cell,homo,172,16.52,3.30369735781028,0,1,0,1,9.91109207343083,4,18321_a,irHepatitis,IgM+ B cell,IgM+ B cell
Vascular endothelial cell--Vascular endothelial cell,homo,286,29.059,3.25518181717937,0,1,0,1,9.76554545153811,5,18321_a,irHepatitis,Vascular endothelial cell,Vascular endothelial cell
IgG+ B cell--IgG+ plasmablast / plasma cell,hetero,74,9.089,2.89410741091023,0,1,0,1,8.68232223273069,6,18321_a,irHepatitis,IgG+ B cell,IgG+ plasmablast / plasma cell
CD8+ T cell 3--CD8+ T cell 3,homo,36,4.102,2.85839046668856,0,1,0,1,8.57517140006569,7,18321_a,irHepatitis,CD8+ T cell 3,CD8+ T cell 3
CD4+ T cell--CD4+ T cell,homo,497,79.479,2.62946145827987,0,1,0,1,7.88838437483962,8,18321_a,irHepatitis,CD4+ T cell,CD4+ T cell
Hepatocyte 4--Hepatocyte 4,homo,20,2.415,2.62043184426339,0,1,0,1,7.86129553279018,9,18321_a,irHepatitis,Hepatocyte 4,Hepatocyte 4
CD4+ T cell--IgM+ B cell,hetero,440,72.943,2.57629317323477,0,1,0,1,7.72887951970432,10,18321_a,irHepatitis,CD4+ T cell,IgM+ B cell
Ig+ hepatocyte--IgG+ B cell,hetero,8,0.648,2.44920875892118,0,1,0,1,7.34762627676354,11,18321_a,irHepatitis,Ig+ hepatocyte,IgG+ B cell
CD8+ T cell 2--CD8+ T cell 2,homo,13,1.917,2.26286953582151,0,1,0,1,6.78860860746454,12,18321_a,irHepatitis,CD8+ T cell 2,CD8+ T cell 2
IgG+ plasmablast / plasma cell--IgM+ B cell,hetero,67,14.665,2.11798997665401,0,1,0,1,6.35396992996203,13,18321_a,irHepatitis,IgG+ plasmablast / plasma cell,IgM+ B cell
IgG+ B cell--IgM+ B cell,hetero,72,20.343,1.77413348647475,0,1,0,1,5.32240045942426,14,18321_a,irHepatitis,IgG+ B cell,IgM+ B cell
CD8+ T cell 3--Cholangiocyte,hetero,71,20.138,1.76815802588828,0,1,0,1,5.30447407766484,15,18321_a,irHepatitis,CD8+ T cell 3,Cholangiocyte
IgG+ B cell--Vascular endothelial cell,hetero,79,27.05,1.51199922916593,0,1,0,1,4.5359976874978,16,18321_a,irHepatitis,IgG+ B cell,Vascular endothelial cell
CD8+ T cell 2--Cholangiocyte,hetero,40,13.601,1.48955672928051,0,1,0,1,4.46867018784154,17,18321_a,irHepatitis,CD8+ T cell 2,Cholangiocyte
IgG+ plasmablast / plasma cell--Vascular endothelial cell,hetero,53,19.672,1.38528143213163,0,1,0,1,4.15584429639489,18,18321_a,irHepatitis,IgG+ plasmablast / plasma cell,Vascular endothelial cell
CD4+ T cell--IgG+ B cell,hetero,115,44.495,1.35034490155697,0,1,0,1,4.05103470467091,19,18321_a,irHepatitis,CD4+ T cell,IgG+ B cell
CD8+ T cell 1--CD8+ T cell 1,homo,702,276.05,1.3433783222563,0,1,0,1,4.03013496676891,20,18321_a,irHepatitis,CD8+ T cell 1,CD8+ T cell 1
Macrophage 1--Macrophage 1,homo,885,359.544,1.29713136522752,0,1,0,1,3.89139409568255,21,18321_a,irHepatitis,Macrophage 1,Macrophage 1
