leiden,condition,sample_id,N
4,irHepatitis,18321_a,1445
2,irHepatitis,18321_a,1429
7,irHepatitis,18321_a,722
3,irHepatitis,18321_a,1694
16,irHepatitis,18321_a,326
15,irHepatitis,18321_a,815
1,irHepatitis,18321_a,5035
13,irHepatitis,18321_a,229
18,irHepatitis,18321_a,138
6,irHepatitis,18321_a,3840
12,irHepatitis,18321_a,976
5,irHepatitis,18321_a,1382
10,irHepatitis,18321_a,2173
11,irHepatitis,18321_a,918
8,irHepatitis,18321_a,392
14,irHepatitis,18321_a,462
17,irHepatitis,18321_a,116
20,irHepatitis,18321_a,12
19,irHepatitis,18321_a,165
9,irHepatitis,18321_a,147
21,irHepatitis,18321_a,2
6,irHepatitis,24774_d,2766
1,irHepatitis,24774_d,4745
11,irHepatitis,24774_d,985
18,irHepatitis,24774_d,228
10,irHepatitis,24774_d,1412
2,irHepatitis,24774_d,1154
15,irHepatitis,24774_d,707
3,irHepatitis,24774_d,1402
17,irHepatitis,24774_d,191
12,irHepatitis,24774_d,653
19,irHepatitis,24774_d,142
5,irHepatitis,24774_d,1083
4,irHepatitis,24774_d,1911
7,irHepatitis,24774_d,979
8,irHepatitis,24774_d,276
16,irHepatitis,24774_d,140
14,irHepatitis,24774_d,1098
13,irHepatitis,24774_d,94
9,irHepatitis,24774_d,28
20,irHepatitis,24774_d,2
21,irHepatitis,24774_d,2
18,AIH,54023_b,414
3,AIH,54023_b,5708
2,AIH,54023_b,10036
5,AIH,54023_b,5530
7,AIH,54023_b,3863
11,AIH,54023_b,1616
9,AIH,54023_b,3362
13,AIH,54023_b,2304
4,AIH,54023_b,5706
16,AIH,54023_b,2009
8,AIH,54023_b,3673
19,AIH,54023_b,528
1,AIH,54023_b,2844
17,AIH,54023_b,1224
15,AIH,54023_b,660
6,AIH,54023_b,1185
10,AIH,54023_b,669
14,AIH,54023_b,1352
20,AIH,54023_b,243
12,AIH,54023_b,1698
6,AIH,56784_c,3990
3,AIH,56784_c,6340
1,AIH,56784_c,9470
2,AIH,56784_c,7026
10,AIH,56784_c,1093
19,AIH,56784_c,657
18,AIH,56784_c,1576
15,AIH,56784_c,1723
4,AIH,56784_c,4186
17,AIH,56784_c,1304
11,AIH,56784_c,1712
7,AIH,56784_c,2695
5,AIH,56784_c,4602
14,AIH,56784_c,1094
9,AIH,56784_c,2655
20,AIH,56784_c,478
12,AIH,56784_c,1716
8,AIH,56784_c,1987
16,AIH,56784_c,1252
13,AIH,56784_c,2370
