leiden,cluster_name,sample_id,condition,n_cells,sample_total,proportion
1,Hepatocyte 1,18321_a,irHepatitis,5035,20625,0.244121212121212
1,Hepatocyte 1,24774_d,irHepatitis,4745,18636,0.25461472418974
1,Hepatocyte 1,54023_b,AIH,2844,52266,0.0544139593617266
1,Hepatocyte 1,56784_c,AIH,9470,54487,0.17380292546846
2,CD8+ T cell 1,18321_a,irHepatitis,1429,20625,0.0692848484848485
2,CD8+ T cell 1,24774_d,irHepatitis,1154,18636,0.0619231594762825
2,CD8+ T cell 1,54023_b,AIH,10036,52266,0.192017755328512
2,CD8+ T cell 1,56784_c,AIH,7026,54487,0.128948189476389
3,Macrophage 1,18321_a,irHepatitis,1694,20625,0.0821333333333333
3,Macrophage 1,24774_d,irHepatitis,1402,18636,0.075230736209487
3,Macrophage 1,54023_b,AIH,5708,52266,0.109210576665519
3,Macrophage 1,56784_c,AIH,6340,54487,0.116358030355865
4,Stellate cell,18321_a,irHepatitis,1445,20625,0.0700606060606061
4,Stellate cell,24774_d,irHepatitis,1911,18636,0.102543464262717
4,Stellate cell,54023_b,AIH,5706,52266,0.109172310871312
4,Stellate cell,56784_c,AIH,4186,54487,0.0768256648374842
5,Macrophage 2,18321_a,irHepatitis,1382,20625,0.0670060606060606
5,Macrophage 2,24774_d,irHepatitis,1083,18636,0.0581133290405666
5,Macrophage 2,54023_b,AIH,5530,52266,0.105804920981135
5,Macrophage 2,56784_c,AIH,4602,54487,0.0844605135169857
6,Hepatocyte 2,18321_a,irHepatitis,3840,20625,0.186181818181818
6,Hepatocyte 2,24774_d,irHepatitis,2766,18636,0.148422408242112
6,Hepatocyte 2,54023_b,AIH,1185,52266,0.0226724830673861
6,Hepatocyte 2,56784_c,AIH,3990,54487,0.0732284765173344
7,CD4+ T cell,18321_a,irHepatitis,722,20625,0.0350060606060606
7,CD4+ T cell,24774_d,irHepatitis,979,18636,0.052532732345997
7,CD4+ T cell,54023_b,AIH,3863,52266,0.0739103815099683
7,CD4+ T cell,56784_c,AIH,2695,54487,0.0494613394020592
8,Cholangiocyte,18321_a,irHepatitis,392,20625,0.0190060606060606
8,Cholangiocyte,24774_d,irHepatitis,276,18636,0.0148100450740502
8,Cholangiocyte,54023_b,AIH,3673,52266,0.0702751310603452
8,Cholangiocyte,56784_c,AIH,1987,54487,0.0364674142455999
9,IgG+ plasmablast / plasma cell,18321_a,irHepatitis,147,20625,0.00712727272727273
9,IgG+ plasmablast / plasma cell,24774_d,irHepatitis,28,18636,0.00150246834084568
9,IgG+ plasmablast / plasma cell,54023_b,AIH,3362,52266,0.0643248000612253
9,IgG+ plasmablast / plasma cell,56784_c,AIH,2655,54487,0.0487272193367225
10,Hepatocyte 3,18321_a,irHepatitis,2173,20625,0.105357575757576
10,Hepatocyte 3,24774_d,irHepatitis,1412,18636,0.0757673320455033
10,Hepatocyte 3,54023_b,AIH,669,52266,0.0127999081620939
10,Hepatocyte 3,56784_c,AIH,1093,54487,0.0200598307853249
11,Sinusoidal endothelial cell,18321_a,irHepatitis,918,20625,0.0445090909090909
11,Sinusoidal endothelial cell,24774_d,irHepatitis,985,18636,0.0528546898476068
11,Sinusoidal endothelial cell,54023_b,AIH,1616,52266,0.0309187617188995
11,Sinusoidal endothelial cell,56784_c,AIH,1712,54487,0.0314203387964102
13,IgG+ B cell,18321_a,irHepatitis,229,20625,0.0111030303030303
13,IgG+ B cell,24774_d,irHepatitis,94,18636,0.00504400085855334
13,IgG+ B cell,54023_b,AIH,2304,52266,0.0440821949259557
13,IgG+ B cell,56784_c,AIH,2370,54487,0.0434966138711986
14,Vascular endothelial cell,18321_a,irHepatitis,462,20625,0.0224
14,Vascular endothelial cell,24774_d,irHepatitis,1098,18636,0.0589182227945911
14,Vascular endothelial cell,54023_b,AIH,1352,52266,0.0258676768836337
14,Vascular endothelial cell,56784_c,AIH,1094,54487,0.0200781837869584
16,IgM+ B cell,18321_a,irHepatitis,326,20625,0.0158060606060606
16,IgM+ B cell,24774_d,irHepatitis,140,18636,0.00751234170422838
16,IgM+ B cell,54023_b,AIH,2009,52266,0.0384379902804883
16,IgM+ B cell,56784_c,AIH,1252,54487,0.0229779580450383
17,CD8+ T cell 2,18321_a,irHepatitis,116,20625,0.00562424242424242
17,CD8+ T cell 2,24774_d,irHepatitis,191,18636,0.0102489804679116
17,CD8+ T cell 2,54023_b,AIH,1224,52266,0.023418666054414
17,CD8+ T cell 2,56784_c,AIH,1304,54487,0.023932314129976
18,Hepatocyte 4,18321_a,irHepatitis,138,20625,0.00669090909090909
18,Hepatocyte 4,24774_d,irHepatitis,228,18636,0.0122343850611719
18,Hepatocyte 4,54023_b,AIH,414,52266,0.00792101940075766
18,Hepatocyte 4,56784_c,AIH,1576,54487,0.0289243305742654
19,CD8+ T cell 3,18321_a,irHepatitis,165,20625,0.008
19,CD8+ T cell 3,24774_d,irHepatitis,142,18636,0.00761966087143164
19,CD8+ T cell 3,54023_b,AIH,528,52266,0.0101021696705315
19,CD8+ T cell 3,56784_c,AIH,657,54487,0.0120579220731551
20,Ig+ hepatocyte,18321_a,irHepatitis,12,20625,0.000581818181818182
20,Ig+ hepatocyte,24774_d,irHepatitis,2,18636,0.000107319167203263
20,Ig+ hepatocyte,54023_b,AIH,243,52266,0.00464929399609689
20,Ig+ hepatocyte,56784_c,AIH,478,54487,0.00877273478077339
