gene,logFC,logCPM,F,PValue,FDR,sig,neg_log10_fdr
IGHG2,-6.11690897928894,12.4375289155567,140.177020495774,6.62832362565538e-06,0.00159559848186571,Up in AIH,2.79707638557206
IGHG4,-5.62983730316534,11.5175202975677,130.262456358716,8.48722596737078e-06,0.00159559848186571,Up in AIH,2.79707638557206
FOXP3,6.46864715616238,12.469177263555,105.330300882788,1.72616486028529e-05,0.00216345995822423,Up in irHepatitis,2.66485113840526
IGHGP,-5.55751825765609,12.6833539951811,73.9067579335821,5.53615472417811e-05,0.00520398544072743,Up in AIH,2.28366392714131
IGHG3,-5.25175795498822,12.0493247130715,63.0991089223081,9.22291473724397e-05,0.00693563188240747,Up in AIH,2.15891396565897
IGHG1,-4.90789910698669,13.1086156128643,41.304311998447,0.000348784140014534,0.0196660167184973,Up in AIH,1.7062835959708
FCER1A,-5.6263171041877,5.64817115043047,35.4098335001529,0.000366122651674152,0.0196660167184973,Up in AIH,1.7062835959708
TMPRSS2,2.62190171428646,11.3265517469919,35.5677042302139,0.00054899373776118,0.0258027056747755,Up in irHepatitis,1.58833475147808
MZB1,-3.44380559073162,9.03990827471272,34.0338592210991,0.00062664842196975,0.0261799785178473,Up in AIH,1.5820307141483
IRF4,-3.13841453736906,9.04833918811249,31.923334393608,0.000757677909431796,0.0284886893946355,Up in AIH,1.54532752976263
SDC1,2.21830857138711,15.4315135573417,27.6192128267412,0.00115597629440713,0.0395133715179165,Up in irHepatitis,1.40325591212679
TNFRSF9,-2.66531879612109,7.71119817972564,24.9233232609727,0.00155131853980351,0.0486079809138432,Up in AIH,1.31329241834508
TIGIT,-2.04888537283133,9.14368928295123,24.0294088015939,0.00171809199924459,0.0496925070550743,Up in AIH,1.30370909195001
DERL3,-2.43549833962736,7.89414273096868,20.3783102712416,0.00270912637945534,0.0716132842972045,NS,1.14500640839277
SLC1A3,1.97482553064206,9.82638640780023,19.979109699733,0.00285691293738848,0.0716132842972045,NS,1.14500640839277
