gene,svg_raw_score_irHep,svg_raw_score_AIH,svg_raw_score_diff,svg_raw_rank_irHep,svg_raw_rank_AIH,svg_thresh_score_AIH,svg_thresh_score_irHepatitis,svg_thresh_rank_AIH,svg_thresh_rank_irHepatitis,svg_thresh_score_diff,de_raw_logFC,de_raw_FDR,de_raw_sig,de_thresh_logFC,de_thresh_FDR,de_thresh_sig,hvf_raw_n_hits,hvf_thresh_n_hits,n_marker_clusters,top_marker_cluster,max_logFC,proximity_relevant,n_prox_clusters,n_evidence
A2M,1446.52034963333,2445.94471235619,-999.424362722865,100.5,64.5,2445.9447123562,1446.52034963333,64.5,100.5,-999.424362722865,-0.959156732575936,0.277195204766665,NS,-1.03223743809851,0.283639554090878,NS,4,7,20,18,3.59799561415006,TRUE,4,3
ACE2,178.678932762687,275.936958887182,-97.258026124495,285,313.5,275.936958887182,178.678932762687,313.5,285,-97.2580261244949,1.61946135705247,0.191979382308512,NS,1.84485850380623,0.185005735215693,NS,0,0,17,1,0.353921063521287,FALSE,0,1
ACTA2,614.855063924951,1042.17105903047,-427.315995105515,183,212,1042.17105903046,614.85506392495,212,183,-427.315995105515,0.241869069206395,0.771478151332435,NS,0.214619940087024,0.813802343815137,NS,4,6,20,12,2.03714568424297,TRUE,1,3
ACTB,1262.06413350763,3204.7540488074,-1942.68991529977,118,60,3204.7540488074,1262.06413350763,60,118,-1942.68991529977,0.759063121622496,0.218802649721944,NS,0.91457094091796,0.179310755408064,NS,4,4,19,12,3.46201316434321,FALSE,0,2
ADAM28,319.806186419116,1615.68514718446,-1295.87896076534,240,110.5,1615.68514718446,319.806186419116,110.5,240,-1295.87896076534,-1.5123327226226,0.158660763129196,NS,-1.85376394301597,0.168112288920006,NS,3,1,18,16,1.35220139430879,FALSE,0,1
AIF1,1750.43439495383,1157.56597003273,592.868424921097,77,180,1157.56597003273,1750.43439495383,180,77,592.8684249211,-0.318149583047162,0.562775967645407,NS,-0.223421555143039,0.774586105677713,NS,4,5,18,3,2.569012261473,FALSE,0,2
AIRE,0.960181100428924,5.45469191021962,-4.4945108097907,360.5,375.5,5.45469191021962,0.960181100428925,375.5,360.5,-4.4945108097907,1.25132624849677,0.478139098251569,NS,2.33101551896224,0.34044780742263,NS,1,1,10,9,0.025425292727987,FALSE,0,1
AKT1,564.33083259797,1100.08873751739,-535.75790491942,190.5,199.5,1100.08873751739,564.33083259797,199.5,190.5,-535.757904919421,0.903618589560927,0.191979382308512,NS,1.08148136694378,0.170785450517707,NS,4,4,20,1,1.99266000171783,FALSE,0,2
ANPEP,2692.04029945057,2330.94976861372,361.09053083685,38,64,2330.94976861372,2692.04029945057,64,38,361.09053083685,1.88086291676566,0.109036872095704,NS,2.18788974583684,0.134281899226861,NS,4,4,21,21,3.98289057495329,TRUE,5,4
ANXA1,364.220888414807,406.090161967897,-41.8692735530901,209.5,293,406.090161967897,364.220888414807,293,209.5,-41.8692735530905,-0.0415805297756143,0.965139611964966,NS,0.0971745191164892,0.899598746262728,NS,4,0,18,21,0.601893727174957,FALSE,0,1
APOE,3823.94555234263,2648.90271473597,1175.04283760666,34,53,2648.90271473597,3823.94555234263,53,34,1175.04283760665,1.38052680321592,0.11833349968556,NS,1.55519319852931,0.134281899226861,NS,4,4,20,6,3.49809651222608,TRUE,3,4
AREG,69.6418638549561,375.97903604595,-306.337172190994,316,307,375.97903604595,69.6418638549559,307,316,-306.337172190994,1.60188277566405,0.226237075521822,NS,2.05817470947574,0.233140260877709,NS,0,1,9,8,0.126846612757959,FALSE,0,1
ARG1,5601.09721469201,6435.68221673421,-834.585002042205,16.5,14,6435.68221673421,5601.09721469201,14,16.5,-834.585002042205,2.32858702295901,0.0764012969272195,NS,2.48336296116839,0.0939820055194307,NS,6,6,20,1,5.11425319342792,TRUE,5,4
ARID1A,70.1285381942912,552.105693725658,-481.977155531367,315.5,271,552.105693725659,70.128538194291,271,315.5,-481.977155531368,0.461045070463483,0.432411923966059,NS,0.463920506534836,0.498023469705913,NS,4,4,19,12,1.3559156416358,FALSE,0,2
ARPC3,343.704990560036,694.596263158002,-350.891272597967,230,254,694.596263158003,343.704990560036,254,230,-350.891272597967,0.277038958167128,0.616130940189107,NS,0.332561097162298,0.606187440428167,NS,4,4,17,12,1.23690824263581,FALSE,0,2
ARPC5,592.571519245586,825.634963605776,-233.06344436019,208,239.5,825.634963605776,592.571519245588,239.5,208,-233.063444360188,0.352906599790338,0.521897736848232,NS,0.35567899142069,0.606409136023898,NS,4,4,17,12,1.29553916160796,FALSE,0,2
ATM,206.106316780598,672.87144294367,-466.765126163072,258.5,257.5,672.87144294367,206.106316780598,257.5,258.5,-466.765126163072,-0.0553518271844414,0.937160224618147,NS,-0.0994800262901404,0.873715496759839,NS,4,6,20,10,2.1987042146464,FALSE,0,2
BANK1,2902.01795168447,3290.83925227307,-388.821300588596,41,39.5,3290.83925227307,2902.01795168448,39.5,41,-388.82130058859,-0.804943087077792,0.38896644114422,NS,-0.765316711924374,0.426214370894132,NS,5,4,21,16,3.28850746035654,TRUE,1,4
BATF3,26.816957863927,64.6432831951507,-37.8263253312237,319,354.5,64.6432831951508,26.816957863927,354.5,319,-37.8263253312237,-0.239045607258333,0.844171462012558,NS,-0.257893726002191,0.866690653396729,NS,0,0,14,19,0.11620153787835,FALSE,0,1
BCL2,232.993237971267,301.775094327921,-68.7818563566541,243.5,309.5,301.775094327921,232.993237971267,309.5,243.5,-68.781856356654,-0.725978122237096,0.30524847444385,NS,-0.98110173499197,0.248576509467562,NS,4,3,20,7,1.38735537861591,FALSE,0,2
BRAF,64.9200988813287,161.673968241029,-96.7538693597,314.5,330.5,161.673968241029,64.9200988813288,330.5,314.5,-96.7538693597002,0.476008381629003,0.432411923966059,NS,0.560027802367083,0.426214370894132,NS,4,3,16,1,1.02481847856001,FALSE,0,2
C1QB,1781.17995776976,1513.89809663305,267.281861136711,74.5,121.5,1513.89809663305,1781.17995776977,121.5,74.5,267.281861136715,-0.169797190725506,0.775211378816417,NS,-0.1413144653098,0.855021243740622,NS,4,5,21,3,3.34387136722667,TRUE,1,3
C1QBP,842.241291320466,1374.951351909,-532.710060588535,164,132,1374.951351909,842.241291320464,132,164,-532.710060588536,0.599598233330566,0.363290114593775,NS,0.591243727218692,0.426214370894132,NS,4,4,20,1,2.3168809437263,FALSE,0,2
C1R,2023.28781375663,1722.8159223783,300.471891378325,67,100.5,1722.8159223783,2023.28781375663,100.5,67,300.471891378325,1.15109661244864,0.191979382308512,NS,1.32450207191324,0.179310755408064,NS,4,4,20,1,3.99260397399203,TRUE,6,3
C1S,2343.88810438797,1896.35780836281,447.530296025153,48,94,1896.35780836282,2343.88810438797,94,48,447.530296025155,1.25832513399885,0.1676010161936,NS,1.44009332802894,0.170785450517707,NS,4,4,20,1,4.19163159092186,TRUE,6,4
CCL11,243.972202322615,4215.34515781151,-3971.3729554889,227.5,149,4215.34515781151,243.972202322615,149,227.5,-3971.3729554889,0.606840183395927,0.724583132976225,NS,-0.0909482790620127,0.97143300269638,NS,1,1,16,4,0.0973492190553391,FALSE,0,1
CCL13,279.96855075242,575.009877259614,-295.041326507194,270,274,575.009877259613,279.96855075242,274,270,-295.041326507193,1.16529676194007,0.277741645374179,NS,1.23463638449767,0.285549729244116,NS,0,0,13,3,0.0749134643767929,FALSE,0,1
CCL14,1457.65726589684,2043.01237401611,-585.355108119263,100,81,2043.01237401611,1457.65726589685,81,100,-585.355108119265,1.30212203738541,0.138344244645954,NS,1.4372434956557,0.135413660134328,NS,5,8,19,11,4.52009891940796,TRUE,1,3
CCL15,840.52747309783,3362.80221103716,-2522.27473793933,168.5,57.5,3362.80221103715,840.527473097829,57.5,168.5,-2522.27473793933,1.1630542351825,0.19410921908137,NS,1.07401188953248,0.247790261602352,NS,4,1,20,1,1.72404657015315,FALSE,0,1
CCL16,2212.44343754868,4916.84406743881,-2704.40062989013,50.5,21,4916.84406743882,2212.44343754868,21,50.5,-2704.40062989013,1.26795411856441,0.19410921908137,NS,1.34032252978767,0.182197411949472,NS,6,6,20,1,4.85533757954683,TRUE,3,3
