package	version
abind	1.4-8
akima	0.6-3.6
alabaster.base	1.10.0
alabaster.matrix	1.10.0
alabaster.ranges	1.10.0
alabaster.schemas	1.10.0
alabaster.se	1.10.0
AnnotationDbi	1.72.0
AnnotationHub	4.0.0
aricode	1.0.3
arrow	22.0.0
askpass	1.2.1
assertthat	0.2.1
assorthead	1.4.0
babelgene	22.9
backports	1.5.0
Banksy	1.6.0
base	4.5.2
base64enc	0.1-6
basilisk	1.23.0
basilisk.utils	1.23.1
beachmat	2.26.0
beeswarm	0.4.0
BH	1.90.0-1
Biobase	2.70.0
BiocBaseUtils	1.12.0
BiocFileCache	3.0.0
BiocGenerics	0.56.0
BiocManager	1.30.27
BiocNeighbors	2.4.0
BiocParallel	1.44.0
BiocSingular	1.26.1
BiocVersion	3.22.0
Biostrings	2.78.0
bit	4.6.0
bit64	4.6.0-1
bitops	1.0-9
blob	1.3.0
bluster	1.20.0
boot	1.3-32
brew	1.0-10
brio	1.1.5
BRISC	1.0.6
broom	1.0.12
bslib	0.10.0
cachem	1.1.0
Cairo	1.7-0
callr	3.7.6
car	3.1-5
carData	3.0-6
caret	7.0-1
caTools	1.18.3
CellChat	2.2.0.9001
celldex	1.20.0
cellranger	1.1.0
checkmate	2.3.4
circlize	0.4.17
class	7.3-23
classInt	0.4-11
cli	3.6.5
clipr	0.8.0
clock	0.7.4
clue	0.3-67
cluster	2.1.8.2
clustree	0.5.1
coda	0.19-4.1
codetools	0.2-20
collapse	2.1.6
colorRamp2	0.1.0
colorspace	2.1-2
commonmark	2.0.0
compiler	4.5.2
ComplexHeatmap	2.26.1
CompQuadForm	1.4.4
concaveman	1.2.0
corrplot	0.95
cowplot	1.2.0
cpp11	0.5.3
crayon	1.5.3
credentials	2.0.3
crosstalk	1.2.2
ctSVG	1.0
curl	7.0.0
cytomapper	1.22.0
data.table	1.18.2.1
datasets	4.5.2
DBI	1.3.0
dbplyr	2.5.2
dbscan	1.2.4
DelayedArray	0.36.0
DelayedMatrixStats	1.32.0
deldir	2.0-4
