source,target,pathway_label,direction,log2FC,p_perm,BH_FDR
Cholangiocyte,Cholangiocyte,FN1,AIH,-10.7970364983083,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,IgG+ plasmablast / plasma cell,FN1,AIH,-10.1158394597942,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Hepatocyte 1,FN1,AIH,-10.1071045423389,0.0099009900990099,0.010590318772137
Cholangiocyte,IgG+ plasmablast / plasma cell,FN1,AIH,-10.0394684479598,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,CD8+ T cell 1,MHC-I_CD8A,AIH,-10.0051407102989,0.00100286648697995,0.00289071096690355
Stellate cell,IgG+ plasmablast / plasma cell,FN1,AIH,-9.95063043541881,0.0099009900990099,0.010590318772137
Hepatocyte 4,Ig+ hepatocyte,FN1,AIH,-9.95004242030506,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Hepatocyte 4,FN1,AIH,-9.94556704491196,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,CD8+ T cell 2,MHC-I_CD8A,AIH,-9.87220260179786,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Hepatocyte 2,FN1,AIH,-9.86978402098451,0.01,0.010590318772137
Ig+ hepatocyte,CD8+ T cell 2,FN1,AIH,-9.86827086887094,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,Ig+ hepatocyte,FN1,AIH,-9.80526702050554,0.00100286648697995,0.00289071096690355
Hepatocyte 1,Macrophage 1,FN1,AIH,-9.77548241854298,0.00270940942994888,0.00736466745049742
Hepatocyte 3,CD8+ T cell 2,FN1,AIH,-9.67938621994633,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Hepatocyte 4,FN1,AIH,-9.59194313506278,0.0099009900990099,0.010590318772137
Hepatocyte 1,CD8+ T cell 3,FN1,AIH,-9.49746288907796,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Cholangiocyte,FN1,AIH,-9.43312726511347,0.00100286648697995,0.00289071096690355
Stellate cell,Hepatocyte 1,FN1,AIH,-9.41933850451441,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Sinusoidal endothelial cell,VEGF,AIH,-9.38659284641063,0.00100286648697995,0.00289071096690355
IgG+ plasmablast / plasma cell,CD8+ T cell 2,MHC-I_CD8A,AIH,-9.38030891311593,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Sinusoidal endothelial cell,CSF,AIH,-9.36592421158058,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,CD8+ T cell 3,MHC-I_CD8A,AIH,-9.36030075293073,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Sinusoidal endothelial cell,CCL_CCR1,AIH,-9.34134510682903,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,Hepatocyte 1,FN1,AIH,-9.28208794796218,0.00100286648697995,0.00289071096690355
Hepatocyte 2,CD8+ T cell 3,FN1,AIH,-9.26526024960204,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,CD8+ T cell 3,FN1,AIH,-9.22138413160334,0.00100286648697995,0.00289071096690355
Hepatocyte 3,Ig+ hepatocyte,FN1,AIH,-9.1950267932621,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,IgG+ plasmablast / plasma cell,FN1,AIH,-9.17706067928405,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,FN1,AIH,-9.17649000399186,0.0099009900990099,0.010590318772137
Hepatocyte 4,CD8+ T cell 3,FN1,AIH,-9.13990531615154,0.00100286648697995,0.00289071096690355
Stellate cell,Hepatocyte 2,FN1,AIH,-9.12797928752795,0.00100286648697995,0.00289071096690355
Cholangiocyte,Ig+ hepatocyte,FN1,AIH,-9.09612710304379,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,Hepatocyte 2,FN1,AIH,-9.05657211710902,0.00100286648697995,0.00289071096690355
Hepatocyte 3,IgG+ plasmablast / plasma cell,FN1,AIH,-9.00095145082598,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,CD8+ T cell 1,MHC-I_CD8B,AIH,-8.98116768349245,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,Cholangiocyte,FN1,AIH,-8.94233626844257,0.0099009900990099,0.010590318772137
CD8+ T cell 3,Hepatocyte 4,FN1,AIH,-8.94048489988578,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,CD8+ T cell 3,FN1,AIH,-8.92374037989366,0.00100286648697995,0.00289071096690355
