cluster,marker,marker_class,mean_logexpr_per_cluster,pct_cells_pos
CD4+ T cell,PDCD1,exhaustion,0.216620134961368,4.17726116963313
CD8+ T cell 1,PDCD1,exhaustion,0.427302081775936,8.53652328836854
CD8+ T cell 2,PDCD1,exhaustion,0.63760403179493,13.5097001763668
CD8+ T cell 3,PDCD1,exhaustion,0.479764542342248,10.455764075067
Cholangiocyte,PDCD1,exhaustion,0.0646597063298167,1.29582806573957
Hepatocyte 1,PDCD1,exhaustion,0.0223902685586076,0.588395039377207
Hepatocyte 2,PDCD1,exhaustion,0.014736933289176,0.288600288600289
Hepatocyte 3,PDCD1,exhaustion,0.0116926934882901,0.168318683373855
Hepatocyte 4,PDCD1,exhaustion,0.0302692494620603,0.848896434634975
Ig+ hepatocyte,PDCD1,exhaustion,0.0107292618149336,0.272108843537415
IgG+ B cell,PDCD1,exhaustion,0.0430377391747888,0.680408244946968
IgG+ plasmablast / plasma cell,PDCD1,exhaustion,0.0658439660378446,1.40503875968992
IgM+ B cell,PDCD1,exhaustion,0.0747305489279724,1.63670512476523
Macrophage 1,PDCD1,exhaustion,0.0481395355724367,1.1027469624934
Macrophage 2,PDCD1,exhaustion,0.0218282154533235,0.373104707470033
Sinusoidal endothelial cell,PDCD1,exhaustion,0.0296458500713514,0.630854521124068
Stellate cell,PDCD1,exhaustion,0.0235945365541868,0.47554347826087
Vascular endothelial cell,PDCD1,exhaustion,0.0205042003939643,0.374438342486271
CD4+ T cell,LAG3,exhaustion,0.345469302857028,6.3567017798765
CD8+ T cell 1,LAG3,exhaustion,1.50208616622237,28.185288877577
CD8+ T cell 2,LAG3,exhaustion,2.07631441259375,41.0934744268078
CD8+ T cell 3,LAG3,exhaustion,1.55902374607994,31.4343163538874
Cholangiocyte,LAG3,exhaustion,0.229219792708826,4.75663716814159
Hepatocyte 1,LAG3,exhaustion,0.517365185070985,12.6007060740473
Hepatocyte 2,LAG3,exhaustion,0.19029895160897,3.62448009506833
Hepatocyte 3,LAG3,exhaustion,0.0987887353318071,1.44005984664298
Hepatocyte 4,LAG3,exhaustion,0.395182916010391,9.88964346349745
Ig+ hepatocyte,LAG3,exhaustion,0.204285951598716,4.35374149659864
IgG+ B cell,LAG3,exhaustion,0.116478087784132,1.88112867720632
