cluster,n_cells,marker,marker_class,mean_logexpr,pct_cells_pos,mean_trm_score,pct_high
CD8+ T cell 3,1492,CXCR6,TRM,1.60371524608063,32.0375335120643,1.62481292044545,82.2386058981233
CD8+ T cell 3,1492,ITGA1,TRM,2.21533628515672,43.43163538874,1.62481292044545,82.2386058981233
CD8+ T cell 3,1492,ITGAE,TRM,1.60911521122588,30.6970509383378,1.62481292044545,82.2386058981233
CD8+ T cell 3,1492,RUNX3,TRM,2.14844019312018,42.5603217158177,1.62481292044545,82.2386058981233
CD8+ T cell 3,1492,ZNF683,TRM,0.547457666643812,10.5227882037534,1.62481292044545,82.2386058981233
CD8+ T cell 2,2835,CXCR6,TRM,2.14586135735011,42.6807760141094,1.57612720692413,84.1975308641975
CD8+ T cell 2,2835,ITGA1,TRM,2.49222825236985,49.8765432098766,1.57612720692413,84.1975308641975
CD8+ T cell 2,2835,ITGAE,TRM,1.52802839072362,29.9118165784833,1.57612720692413,84.1975308641975
CD8+ T cell 2,2835,RUNX3,TRM,1.37419409955062,28.641975308642,1.57612720692413,84.1975308641975
CD8+ T cell 2,2835,ZNF683,TRM,0.340323934626472,6.52557319223986,1.57612720692413,84.1975308641975
CD8+ T cell 1,19645,CXCR6,TRM,2.21156576142779,40.1578009671672,1.52879476674376,78.8903028760499
CD8+ T cell 1,19645,ITGA1,TRM,1.62458558149555,30.3741410027997,1.52879476674376,78.8903028760499
CD8+ T cell 1,19645,ITGAE,TRM,1.42651011282883,25.7826418936116,1.52879476674376,78.8903028760499
CD8+ T cell 1,19645,RUNX3,TRM,2.034073998401,37.9485874268262,1.52879476674376,78.8903028760499
CD8+ T cell 1,19645,ZNF683,TRM,0.347238379565631,6.24586408755409,1.52879476674376,78.8903028760499
Hepatocyte 1,22094,CXCR6,TRM,0.143710279633923,3.76572825201412,1.0718283587475,89.7030868108989
Hepatocyte 1,22094,ITGA1,TRM,4.73841546655251,88.2864126007061,1.0718283587475,89.7030868108989
Hepatocyte 1,22094,ITGAE,TRM,0.261246912161022,6.64886394496243,1.0718283587475,89.7030868108989
Hepatocyte 1,22094,RUNX3,TRM,0.173515815914226,4.45822395220422,1.0718283587475,89.7030868108989
