cluster,n_cells,marker,marker_class,mean_logexpr,pct_cells_pos,mean_ifn_score,pct_high
CD8+ T cell 2,2835,IDO1,IFN-response,0.566997847633472,10.9700176366843,3.22514952232908,99.1534391534392
CD8+ T cell 2,2835,IRF1,IFN-response,3.35350644495319,62.7513227513228,3.22514952232908,99.1534391534392
CD8+ T cell 2,2835,ISG15,IFN-response,3.05453158214944,57.0723104056437,3.22514952232908,99.1534391534392
CD8+ T cell 2,2835,MX1,IFN-response,2.50982679481865,48.9594356261023,3.22514952232908,99.1534391534392
CD8+ T cell 2,2835,STAT1,IFN-response,6.64088494209065,96.2257495590829,3.22514952232908,99.1534391534392
Hepatocyte 1,22094,IDO1,IFN-response,0.197383019626093,4.73431700914275,3.05495226344994,96.9041368697384
Hepatocyte 1,22094,IRF1,IFN-response,2.30889772815511,48.5787996741197,3.05495226344994,96.9041368697384
Hepatocyte 1,22094,ISG15,IFN-response,3.23299951834676,59.6632569928487,3.05495226344994,96.9041368697384
Hepatocyte 1,22094,MX1,IFN-response,3.40508764097625,61.4782293835431,3.05495226344994,96.9041368697384
Hepatocyte 1,22094,STAT1,IFN-response,6.1303934101455,92.5771702724722,3.05495226344994,96.9041368697384
Hepatocyte 4,2356,IDO1,IFN-response,0.229524840154822,5.47538200339559,3.01108309569119,98.30220713073
Hepatocyte 4,2356,IRF1,IFN-response,2.58965144664369,54.0747028862479,3.01108309569119,98.30220713073
Hepatocyte 4,2356,ISG15,IFN-response,2.78727921358185,57.76740237691,3.01108309569119,98.30220713073
Hepatocyte 4,2356,MX1,IFN-response,2.65807807212746,54.1595925297114,3.01108309569119,98.30220713073
Hepatocyte 4,2356,STAT1,IFN-response,6.79088190594812,96.5195246179966,3.01108309569119,98.30220713073
CD8+ T cell 3,1492,IDO1,IFN-response,0.819353078217738,15.0804289544236,2.59260569815444,96.112600536193
CD8+ T cell 3,1492,IRF1,IFN-response,3.30149124758365,62.6005361930295,2.59260569815444,96.112600536193
CD8+ T cell 3,1492,ISG15,IFN-response,1.47305032508494,30.4959785522788,2.59260569815444,96.112600536193
CD8+ T cell 3,1492,MX1,IFN-response,1.79023795877741,36.7292225201072,2.59260569815444,96.112600536193
CD8+ T cell 3,1492,STAT1,IFN-response,5.57889588110843,87.9356568364611,2.59260569815444,96.112600536193
Macrophage 1,15144,IDO1,IFN-response,0.553019337720148,10.1558372952985,2.54211139049455,95.932382461701
Macrophage 1,15144,IRF1,IFN-response,2.82203083037529,53.202588483888,2.54211139049455,95.932382461701
Macrophage 1,15144,ISG15,IFN-response,1.25066864818269,25.9574749075542,2.54211139049455,95.932382461701
Macrophage 1,15144,MX1,IFN-response,2.28597496129163,45.3711040676175,2.54211139049455,95.932382461701
Macrophage 1,15144,STAT1,IFN-response,5.79886317490297,89.837559429477,2.54211139049455,95.932382461701
Ig+ hepatocyte,735,IDO1,IFN-response,0.274547932894931,5.71428571428571,2.42709882871632,96.1904761904762
Ig+ hepatocyte,735,IRF1,IFN-response,1.95796491704276,38.2312925170068,2.42709882871632,96.1904761904762
Ig+ hepatocyte,735,ISG15,IFN-response,2.00344402014677,39.8639455782313,2.42709882871632,96.1904761904762
Ig+ hepatocyte,735,MX1,IFN-response,1.61544672728502,33.0612244897959,2.42709882871632,96.1904761904762
Ig+ hepatocyte,735,STAT1,IFN-response,6.28409054621214,93.0612244897959,2.42709882871632,96.1904761904762
Hepatocyte 2,11781,IDO1,IFN-response,0.120182020797847,2.23240811476106,2.42077499236665,88.116458704694
Hepatocyte 2,11781,IRF1,IFN-response,1.27333620742898,23.1729055258467,2.42077499236665,88.116458704694
Hepatocyte 2,11781,ISG15,IFN-response,2.8746297901348,45.7601222307105,2.42077499236665,88.116458704694
Hepatocyte 2,11781,MX1,IFN-response,2.57498197191314,41.2613530260589,2.42077499236665,88.116458704694
Hepatocyte 2,11781,STAT1,IFN-response,5.26074497155847,78.3295136236313,2.42077499236665,88.116458704694
Cholangiocyte,6328,IDO1,IFN-response,0.622894746087103,10.5562579013906,2.40934687451093,93.0467762326169
Cholangiocyte,6328,IRF1,IFN-response,2.6852249811671,48.5303413400759,2.40934687451093,93.0467762326169
Cholangiocyte,6328,ISG15,IFN-response,0.883650948486631,17.9361567635904,2.40934687451093,93.0467762326169
Cholangiocyte,6328,MX1,IFN-response,1.82678655777494,35.319216182048,2.40934687451093,93.0467762326169
Cholangiocyte,6328,STAT1,IFN-response,6.02817713903886,87.1207332490518,2.40934687451093,93.0467762326169
CD8+ T cell 1,19645,IDO1,IFN-response,0.432873097486356,8.00203614151184,2.23403175621106,91.7383558157292
CD8+ T cell 1,19645,IRF1,IFN-response,3.21626009070506,57.0170526851616,2.23403175621106,91.7383558157292
CD8+ T cell 1,19645,ISG15,IFN-response,1.04629628163782,20.3919572410283,2.23403175621106,91.7383558157292
CD8+ T cell 1,19645,MX1,IFN-response,1.44143285977145,27.7576991600916,2.23403175621106,91.7383558157292
CD8+ T cell 1,19645,STAT1,IFN-response,5.03329645145461,79.1142784423518,2.23403175621106,91.7383558157292
Sinusoidal endothelial cell,5231,IDO1,IFN-response,0.345330800322345,6.51883005161537,2.2301037812338,86.1020837316001
Sinusoidal endothelial cell,5231,IRF1,IFN-response,2.13890972169542,38.4056585738865,2.2301037812338,86.1020837316001
Sinusoidal endothelial cell,5231,ISG15,IFN-response,1.81271901285809,31.9059453259415,2.2301037812338,86.1020837316001
Sinusoidal endothelial cell,5231,MX1,IFN-response,2.47351082868111,42.3628369336647,2.2301037812338,86.1020837316001
Sinusoidal endothelial cell,5231,STAT1,IFN-response,4.38004854261205,69.5278149493405,2.2301037812338,86.1020837316001
IgG+ plasmablast / plasma cell,6192,IDO1,IFN-response,0.288963672385788,5.87855297157623,1.75432563725263,86.2241602067184
IgG+ plasmablast / plasma cell,6192,IRF1,IFN-response,2.58971185129552,49.7577519379845,1.75432563725263,86.2241602067184
IgG+ plasmablast / plasma cell,6192,ISG15,IFN-response,0.58156434287812,12.2416020671835,1.75432563725263,86.2241602067184
IgG+ plasmablast / plasma cell,6192,MX1,IFN-response,1.31631646126289,26.4857881136951,1.75432563725263,86.2241602067184
IgG+ plasmablast / plasma cell,6192,STAT1,IFN-response,3.99507185844085,69.68669250646,1.75432563725263,86.2241602067184
CD4+ T cell,8259,IDO1,IFN-response,0.584706066106181,10.1222908342414,1.73564506295609,80.5182225451023
CD4+ T cell,8259,IRF1,IFN-response,2.45833650658558,42.6080639302579,1.73564506295609,80.5182225451023
CD4+ T cell,8259,ISG15,IFN-response,0.532354800431579,9.92856277999758,1.73564506295609,80.5182225451023
CD4+ T cell,8259,MX1,IFN-response,1.08513979381418,19.9660975905073,1.73564506295609,80.5182225451023
CD4+ T cell,8259,STAT1,IFN-response,4.01768814784294,63.5428017919845,1.73564506295609,80.5182225451023
Macrophage 2,12597,IDO1,IFN-response,0.547744783416151,8.57346987377947,1.70745066454888,78.0741446376121
Macrophage 2,12597,IRF1,IFN-response,2.00631705989898,32.2219576089545,1.70745066454888,78.0741446376121
