cluster,median_silhouette,n_cells_sampled
1,0.2349665618138,4240
2,0.0226093922381258,3819
3,0.174222541324999,2908
4,0.0506794000355916,2565
5,-0.000875345453304851,2420
6,0.196181635000592,2271
7,0.124149494495954,1585
8,0.0776927720410745,1197
9,0.136858132813398,1175
10,0.198578205459672,1054
11,0.111872565542957,1026
12,0.248308810669752,937
13,0.0667980663548111,1038
14,0.123096066088192,820
15,-0.00320719507693719,737
16,0.0399000897076742,745
17,0.0427503568996265,578
18,0.144381026318474,449
19,0.00652606179982385,296
20,0.0708720786833356,140
