leiden_r03,leiden,leiden_r07,N
6,4,19,1493
1,2,1,16050
1,7,6,7059
4,3,9,6405
13,16,18,2595
2,15,14,1136
2,1,16,1989
3,13,8,258
5,1,3,2530
14,18,20,2144
4,3,4,5710
6,4,5,8041
2,1,2,15530
2,1,3,1233
4,15,14,1236
5,15,14,847
2,1,14,421
2,6,3,76
3,4,7,810
8,12,21,186
11,12,17,161
5,6,3,7546
3,5,7,5549
5,6,10,3432
11,10,17,1860
3,10,7,119
8,12,17,1844
10,11,12,4956
11,10,10,2555
9,8,13,5378
12,14,15,3824
8,12,19,365
11,10,12,309
8,12,24,1277
5,18,3,28
1,2,6,1733
3,5,11,2470
5,10,10,100
2,15,3,83
3,5,4,2876
3,12,7,462
2,8,16,275
4,3,14,212
11,10,19,87
3,3,4,1123
1,10,12,1
5,17,22,65
8,12,7,93
2,17,22,223
11,4,19,39
5,20,16,603
2,18,20,102
4,15,5,60
3,5,13,5
1,17,1,1085
14,1,20,3
6,15,5,60
2,1,20,91
1,17,22,1359
3,4,5,631
3,4,12,23
5,4,5,4
5,10,12,62
5,1,2,85
2,17,3,8
14,15,14,10
15,19,25,918
9,8,16,283
7,9,8,5303
8,16,23,154
5,6,16,481
1,19,25,168
4,2,5,23
3,5,5,49
1,4,5,76
5,20,3,19
11,5,7,5
5,15,3,74
2,18,16,2
11,10,7,30
5,6,2,4
3,13,21,397
4,5,11,842
1,2,11,300
1,2,4,547
4,3,11,1258
8,12,15,14
4,15,4,28
1,16,6,15
1,7,21,750
13,7,6,19
1,15,22,32
6,5,6,5
4,2,4,160
1,3,4,166
11,6,10,23
2,15,16,20
2,1,22,150
10,15,14,61
5,1,20,8
11,14,15,6
5,6,14,19
14,6,3,1
6,4,15,96
11,10,13,10
3,10,10,20
1,4,19,83
6,6,5,4
2,20,16,37
4,4,5,494
5,18,20,57
2,15,2,1
4,3,12,11
5,1,16,34
11,10,21,2
6,15,14,25
3,11,12,65
6,4,12,40
5,6,13,5
4,15,22,32
2,15,22,13
6,4,16,12
4,19,14,46
1,15,14,39
8,13,23,1573
8,13,19,22
5,6,22,106
8,11,12,20
3,4,19,97
11,11,12,2
3,5,12,63
3,13,7,899
3,15,4,7
2,11,14,2
5,8,3,2
6,4,7,97
5,6,12,8
1,7,7,80
4,2,1,353
1,17,16,3
3,15,14,55
3,13,19,17
8,13,13,5
4,5,4,55
5,6,5,7
2,6,14,4
2,6,16,24
2,21,26,4
3,5,14,182
8,16,19,19
11,10,3,4
10,4,19,3
5,10,16,2
10,12,12,4
10,11,9,10
10,3,9,30
3,12,19,52
3,16,11,671
3,8,13,189
6,4,21,11
1,4,11,31
1,13,21,409
3,12,17,22
14,13,21,34
1,4,7,167
3,7,21,77
3,9,8,103
3,4,11,168
1,9,8,198
1,2,7,33
3,4,15,58
6,4,6,198
7,13,8,615
8,13,7,68
3,2,11,13
4,19,25,100
4,2,11,9
8,7,21,20
1,12,1,51
3,7,6,20
4,16,11,26
1,2,15,11
1,2,25,33
13,7,18,1
1,7,4,20
14,19,25,102
1,5,6,22
1,8,13,21
3,16,18,26
1,16,18,27
3,16,21,15
12,14,7,8
