leiden,cluster_name,lineage,n_cells,irHepatitis,AIH,irHep_pct,AIH_pct,top_markers
1,Hepatocyte 1,Hepatocyte,22094,9780,12314,24.9,11.5,"ARG1, CCL16, SDC1, FN1, VEGFA"
6,Hepatocyte 2,Hepatocyte,11781,6606,5175,16.8,4.8,"ARG1, SDC1, C1S, APOE, FN1"
10,Hepatocyte 3,Hepatocyte,5347,3585,1762,9.1,1.7,"ARG1, SDC1, APOE, C1S, CCND1"
18,Hepatocyte 4,Hepatocyte,2356,366,1990,0.9,1.9,"MKI67, FN1, CDK1, SDC1, CCL16"
20,Ig+ hepatocyte,Hepatocyte,735,14,721,0,0.7,"IGHG1, IGHGP, IGHG2, IGHG3, IGKC"
2,CD8+ T cell 1,T cell,19645,2583,17062,6.6,16,"KLRK1, CD8A, CD2, IL2RB, GZMA"
17,CD8+ T cell 2,T cell,2835,307,2528,0.8,2.4,"CD8A, KLRK1, CD2, CXCL10, CD3E"
19,CD8+ T cell 3,T cell,1492,307,1185,0.8,1.1,"MKI67, CDK1, STMN1, CD8A, TUBA1B"
7,CD4+ T cell,T cell,8259,1701,6558,4.3,6.1,"IL7R, CD2, DGKA, CD3E, LTB"
9,IgG+ plasmablast / plasma cell,B / Plasma cell,6192,175,6017,0.4,5.6,"IGHGP, IGHG2, IGHG3, IGHG4, JCHAIN"
13,IgG+ B cell,B / Plasma cell,4997,323,4674,0.8,4.4,"IGHGP, IGHG2, IGHG1, IGKC, IGHG3"
16,IgM+ B cell,B / Plasma cell,3727,466,3261,1.2,3.1,"MS4A1, IGHM, BANK1, TNFRSF13C, FCMR"
3,Macrophage 1,Myeloid,15144,3096,12048,7.9,11.3,"CD163, CSF1R, MPEG1, FCGR3A, C1QB"
5,Macrophage 2,Myeloid,12597,2465,10132,6.3,9.5,"S100A9, ITGAX, MPEG1, FCGR2A, CD163"
4,Stellate cell,Stromal/Vascular,13248,3356,9892,8.5,9.3,"DCN, IGFBP7, CXCL12, LUM, PDGFRA"
8,Cholangiocyte,Stromal/Vascular,6328,668,5660,1.7,5.3,"CXCL6, EPCAM, SOX9, CXCL1, VEGFA"
11,Sinusoidal endothelial cell,Stromal/Vascular,5231,1903,3328,4.8,3.1,"FCGR2B, FLT1, CCL14, IL1R1, NOTCH1"
14,Vascular endothelial cell,Stromal/Vascular,4006,1560,2446,4,2.3,"SPARCL1, IGFBP7, FLT1, PLVAP, RGS5"
