source,target,ligand,receptor,irH_mean,AIH_mean,log2FC,enrich_strength,coherent,direction,irH_s1,irH_s2,AIH_s1,AIH_s2,abs_log2FC
Cholangiocyte,CD8+ T cell 3,CXCL9,CXCR3,2.36138526589881,0,7.88958625835111,2.36138526589881,TRUE,irHep,3.37834676367781,1.34442376811981,0,0,7.88958625835111
Cholangiocyte,CD8+ T cell 3,CXCL9,FCGR2A,2.12130937317632,0,7.73559621450106,2.12130937317632,TRUE,irHep,2.15929520186441,2.08332354448824,0,0,7.73559621450106
IgG+ B cell,CD8+ T cell 3,HLA-B,CD8B,1.81093477752166,0,7.50853543837657,1.81093477752166,TRUE,irHep,2.32306035328969,1.29880920175364,0,0,7.50853543837657
IgG+ B cell,CD8+ T cell 3,HLA-B,CD3D,1.32800468035405,0,7.06393935232493,1.32800468035405,TRUE,irHep,1.64342367826235,1.01258568244576,0,0,7.06393935232493
IgM+ B cell,IgG+ plasmablast / plasma cell,CXCL12,CXCR4,1.13964259355089,0,6.8450416086366,1.13964259355089,TRUE,irHep,1.13911485624323,1.14017033085856,0,0,6.8450416086366
Cholangiocyte,CD8+ T cell 2,CXCL9,FCGR2A,1.13455399674699,0,6.83864171645295,1.13455399674699,TRUE,irHep,1.61842614332754,0.650681850166431,0,0,6.83864171645295
IgM+ B cell,IgG+ plasmablast / plasma cell,TGFB1,CXCR4,0.765932249953323,0,6.2778587847696,0.765932249953323,TRUE,irHep,0.838181790930627,0.69368270897602,0,0,6.2778587847696
IgG+ B cell,CD8+ T cell 3,CCL19,CXCR3,0.763104373897396,0,6.27259129498718,0.763104373897396,TRUE,irHep,1.11600974530876,0.410199002486028,0,0,6.27259129498718
IgG+ B cell,CD8+ T cell 3,HLA-B,KLRD1,0.614439730561728,0,5.96449042794445,0.614439730561728,TRUE,irHep,0.984798561526363,0.244080899597094,0,0,5.96449042794445
Cholangiocyte,CD8+ T cell 3,CXCL10,CXCR3,3.11230292821344,0.284433483554455,3.40659686352757,3.11230292821344,TRUE,irHep,3.53029909536676,2.69430676106012,0.568866967108909,0,3.40659686352757
IgG+ plasmablast / plasma cell,IgM+ B cell,CXCL12,CXCR4,2.07049584018042,0.1910447825204,3.37133860264496,2.07049584018042,TRUE,irHep,2.05766813587259,2.08332354448824,0.3820895650408,0,3.37133860264496
IgG+ B cell,CD8+ T cell 3,HLA-B,CD8A,1.46139358136986,0.170609604156943,3.02623668583791,1.46139358136986,TRUE,irHep,1.72931827276999,1.19346888996974,0.118955839711659,0.222263368602227,3.02623668583791
Cholangiocyte,CD8+ T cell 3,CXCL16,CXCR6,1.02650221214848,0.119640979550173,2.99912946377766,1.02650221214848,TRUE,irHep,1.11600974530876,0.936994678988203,0.239281959100345,0,2.99912946377766
Cholangiocyte,CD8+ T cell 3,CXCL11,CCR5,4.52618853840262,0.621325103760562,2.84502558040775,4.52618853840262,TRUE,irHep,4.00407320617112,5.04830387063411,0.694055306784161,0.548594900736963,2.84502558040775
Cholangiocyte,CD8+ T cell 3,CXCL11,CXCR3,4.40574380871203,0.719987005635657,2.59671378451485,4.40574380871203,TRUE,irHep,5.4514056012785,3.36008201614557,0.954343505092018,0.485630506179295,2.59671378451485
