c1,c2,cluster_from_name,cluster_to_name,irHep_enrich,AIH_enrich,diff,irHep_fdr,AIH_fdr,sig_either,sig_both
10,10,Hepatocyte 3,Hepatocyte 3,0.9046,1.9387,-1.0341,0.00153,0.00119,TRUE,TRUE
10,11,Hepatocyte 3,Sinusoidal endothelial cell,0.1656,0.0065,0.1591,0.00295,0.95463,TRUE,FALSE
10,13,Hepatocyte 3,IgG+ B cell,-1.2884,-1.1583,-0.13,0.00153,0.00119,TRUE,TRUE
10,14,Hepatocyte 3,Vascular endothelial cell,-2.2499,-1.6176,-0.6323,0.00153,0.00119,TRUE,TRUE
10,16,Hepatocyte 3,IgM+ B cell,-3.5511,-1.831,-1.7202,0.00153,0.00119,TRUE,TRUE
10,17,Hepatocyte 3,CD8+ T cell 2,-0.6468,0.3924,-1.0391,0.00153,0.00119,TRUE,TRUE
10,18,Hepatocyte 3,Hepatocyte 4,-0.0346,0.624,-0.6585,0.86777,0.00119,TRUE,FALSE
10,19,Hepatocyte 3,CD8+ T cell 3,-1.5078,-0.3125,-1.1953,0.00153,0.02329,TRUE,TRUE
10,20,Hepatocyte 3,Ig+ hepatocyte,-1.2847,0.3125,-1.5972,0.02781,0.09298,TRUE,FALSE
11,11,Sinusoidal endothelial cell,Sinusoidal endothelial cell,0.1967,1.4014,-1.2047,0.05138,0.00119,TRUE,FALSE
11,13,Sinusoidal endothelial cell,IgG+ B cell,-1.8979,-2.0231,0.1251,0.00153,0.00119,TRUE,TRUE
11,14,Sinusoidal endothelial cell,Vascular endothelial cell,-2.2256,-1.4841,-0.7415,0.00153,0.00119,TRUE,TRUE
11,16,Sinusoidal endothelial cell,IgM+ B cell,-3.3539,-1.5631,-1.7909,0.00153,0.00119,TRUE,TRUE
11,17,Sinusoidal endothelial cell,CD8+ T cell 2,-0.463,0.1299,-0.5929,0.00847,0.0544,TRUE,FALSE
11,18,Sinusoidal endothelial cell,Hepatocyte 4,0.2731,0.5096,-0.2365,0.09779,0.00119,TRUE,FALSE
11,19,Sinusoidal endothelial cell,CD8+ T cell 3,-0.896,-0.0996,-0.7964,0.00153,0.34895,TRUE,FALSE
11,20,Sinusoidal endothelial cell,Ig+ hepatocyte,-2.1206,-0.3007,-1.8199,0.05362,0.02233,TRUE,FALSE
13,13,IgG+ B cell,IgG+ B cell,3.7404,2.2572,1.4832,0.00153,0.00119,TRUE,TRUE
13,14,IgG+ B cell,Vascular endothelial cell,0.8751,0.6582,0.2169,0.00438,0.00119,TRUE,TRUE
13,16,IgG+ B cell,IgM+ B cell,2.0589,0.1447,1.9142,0.00153,0.00693,TRUE,TRUE
13,17,IgG+ B cell,CD8+ T cell 2,-0.7511,-3.278,2.527,0.16598,0.00119,TRUE,FALSE
13,18,IgG+ B cell,Hepatocyte 4,-0.0804,-2.8041,2.7237,0.9406,0.00119,TRUE,FALSE
13,19,IgG+ B cell,CD8+ T cell 3,1.2489,-0.7529,2.0019,0.00579,0.00119,TRUE,TRUE
13,20,IgG+ B cell,Ig+ hepatocyte,2.6726,0.0883,2.5843,0.00153,0.45692,TRUE,FALSE
14,14,Vascular endothelial cell,Vascular endothelial cell,3.3883,3.4008,-0.0125,0.00153,0.00119,TRUE,TRUE
14,16,Vascular endothelial cell,IgM+ B cell,0.9704,0.6972,0.2732,0.00153,0.00119,TRUE,TRUE
14,17,Vascular endothelial cell,CD8+ T cell 2,-1.5431,-3.3917,1.8486,0.00153,0.00119,TRUE,TRUE
14,18,Vascular endothelial cell,Hepatocyte 4,-4.1852,-3.0477,-1.1376,0.00153,0.00119,TRUE,TRUE
14,19,Vascular endothelial cell,CD8+ T cell 3,0.2544,-0.5996,0.854,0.22777,0.00119,TRUE,FALSE
14,20,Vascular endothelial cell,Ig+ hepatocyte,-0.3201,-0.7922,0.4721,0.8668,0.00119,TRUE,FALSE
16,16,IgM+ B cell,IgM+ B cell,3.8956,2.6344,1.2612,0.00153,0.00119,TRUE,TRUE
16,17,IgM+ B cell,CD8+ T cell 2,-1.6616,-2.3003,0.6386,0.00295,0.00119,TRUE,TRUE
16,18,IgM+ B cell,Hepatocyte 4,-2.9029,-3.2059,0.303,0.00153,0.00119,TRUE,TRUE
16,19,IgM+ B cell,CD8+ T cell 3,0.7076,-0.4415,1.1491,0.03548,0.00119,TRUE,TRUE
16,20,IgM+ B cell,Ig+ hepatocyte,0.136,-1.8706,2.0066,1,0.00119,TRUE,FALSE
17,17,CD8+ T cell 2,CD8+ T cell 2,2.0665,1.8785,0.188,0.00712,0.00119,TRUE,TRUE
17,18,CD8+ T cell 2,Hepatocyte 4,0.0813,0.9165,-0.8353,0.9494,0.00119,TRUE,FALSE
17,19,CD8+ T cell 2,CD8+ T cell 3,1.361,0.5653,0.7958,0.00712,0.00119,TRUE,TRUE
17,20,CD8+ T cell 2,Ig+ hepatocyte,-0.6232,0.1872,-0.8104,0.79291,0.18993,FALSE,FALSE
18,18,Hepatocyte 4,Hepatocyte 4,3.3036,2.6073,0.6963,0.00153,0.00119,TRUE,TRUE
18,19,Hepatocyte 4,CD8+ T cell 3,0.8886,1.2026,-0.314,0.05227,0.00119,TRUE,FALSE
18,20,Hepatocyte 4,Ig+ hepatocyte,0.2827,0.475,-0.1923,1,0.0496,TRUE,FALSE
19,19,CD8+ T cell 3,CD8+ T cell 3,3.0159,2.5399,0.476,0.00153,0.00119,TRUE,TRUE
19,20,CD8+ T cell 3,Ig+ hepatocyte,-0.6232,-0.0916,-0.5316,0.7244,0.73721,FALSE,FALSE
1,1,Hepatocyte 1,Hepatocyte 1,0.4744,1.4774,-1.0031,0.00153,0.00119,TRUE,TRUE
1,10,Hepatocyte 1,Hepatocyte 3,0.2018,0.8077,-0.6059,0.00153,0.00119,TRUE,TRUE
1,11,Hepatocyte 1,Sinusoidal endothelial cell,0.4477,0.4676,-0.0199,0.00153,0.00119,TRUE,TRUE
1,13,Hepatocyte 1,IgG+ B cell,-1.718,-2.8565,1.1385,0.00153,0.00119,TRUE,TRUE
1,14,Hepatocyte 1,Vascular endothelial cell,-2.0922,-3.4172,1.325,0.00153,0.00119,TRUE,TRUE
1,16,Hepatocyte 1,IgM+ B cell,-3.3572,-3.0189,-0.3383,0.00153,0.00119,TRUE,TRUE
1,17,Hepatocyte 1,CD8+ T cell 2,0.1401,1.0953,-0.9551,0.05276,0.00119,TRUE,FALSE
1,18,Hepatocyte 1,Hepatocyte 4,0.4547,1.274,-0.8193,0.00153,0.00119,TRUE,TRUE
1,19,Hepatocyte 1,CD8+ T cell 3,-0.8427,-0.0122,-0.8305,0.00153,0.91783,TRUE,FALSE
1,2,Hepatocyte 1,CD8+ T cell 1,-0.687,-0.283,-0.404,0.00153,0.00119,TRUE,TRUE
1,20,Hepatocyte 1,Ig+ hepatocyte,-0.3793,0.7427,-1.1221,0.29018,0.00119,TRUE,FALSE
1,3,Hepatocyte 1,Macrophage 1,-0.5227,0.0134,-0.5361,0.00153,0.59944,TRUE,FALSE
1,4,Hepatocyte 1,Stellate cell,-0.3597,-0.899,0.5393,0.00153,0.00119,TRUE,TRUE
1,5,Hepatocyte 1,Macrophage 2,-1.1928,-1.1572,-0.0357,0.00153,0.00119,TRUE,TRUE
1,6,Hepatocyte 1,Hepatocyte 2,0.3778,1.3775,-0.9998,0.00153,0.00119,TRUE,TRUE
1,7,Hepatocyte 1,CD4+ T cell,-3.515,-1.9814,-1.5336,0.00153,0.00119,TRUE,TRUE
1,8,Hepatocyte 1,Cholangiocyte,-1.5336,-1.8779,0.3443,0.00153,0.00119,TRUE,TRUE
1,9,Hepatocyte 1,IgG+ plasmablast / plasma cell,-1.5269,-1.7092,0.1822,0.00153,0.00119,TRUE,TRUE
20,20,Ig+ hepatocyte,Ig+ hepatocyte,0.9823,2.8566,-1.8743,0.02402,0.00119,TRUE,TRUE
2,10,CD8+ T cell 1,Hepatocyte 3,-0.9864,-0.5822,-0.4042,0.00153,0.00119,TRUE,TRUE
2,11,CD8+ T cell 1,Sinusoidal endothelial cell,-0.8018,0.3167,-1.1185,0.00153,0.00119,TRUE,TRUE
2,13,CD8+ T cell 1,IgG+ B cell,0.4537,-0.8031,1.2569,0.00295,0.00119,TRUE,TRUE
2,14,CD8+ T cell 1,Vascular endothelial cell,0.0071,-0.6622,0.6693,0.95542,0.00119,TRUE,FALSE
2,16,CD8+ T cell 1,IgM+ B cell,0.842,-0.3733,1.2153,0.00153,0.00119,TRUE,TRUE
2,17,CD8+ T cell 1,CD8+ T cell 2,0.8778,0.2219,0.6559,0.00153,0.00119,TRUE,TRUE
2,18,CD8+ T cell 1,Hepatocyte 4,-0.6011,-0.433,-0.1681,0.00153,0.00119,TRUE,TRUE
2,19,CD8+ T cell 1,CD8+ T cell 3,1.2593,0.2688,0.9905,0.00153,0.00119,TRUE,TRUE
2,2,CD8+ T cell 1,CD8+ T cell 1,1.2973,0.5438,0.7535,0.00153,0.00119,TRUE,TRUE
2,20,CD8+ T cell 1,Ig+ hepatocyte,-1.4713,-0.1812,-1.2901,0.04659,0.05256,TRUE,FALSE
2,3,CD8+ T cell 1,Macrophage 1,0.7625,0.3292,0.4334,0.00153,0.00119,TRUE,TRUE
2,4,CD8+ T cell 1,Stellate cell,-0.0289,0.0024,-0.0313,0.58914,1,FALSE,FALSE
2,5,CD8+ T cell 1,Macrophage 2,0.6449,-0.1938,0.8388,0.00153,0.00119,TRUE,TRUE
2,6,CD8+ T cell 1,Hepatocyte 2,-0.8241,-0.5415,-0.2827,0.00153,0.00119,TRUE,TRUE
2,7,CD8+ T cell 1,CD4+ T cell,1.1573,-0.1022,1.2595,0.00153,0.00803,TRUE,TRUE
2,8,CD8+ T cell 1,Cholangiocyte,0.3515,-1.0738,1.4253,0.00153,0.00119,TRUE,TRUE
2,9,CD8+ T cell 1,IgG+ plasmablast / plasma cell,0.6857,-0.1045,0.7902,0.00153,0.00232,TRUE,TRUE
3,10,Macrophage 1,Hepatocyte 3,-0.9857,-0.5317,-0.4541,0.00153,0.00119,TRUE,TRUE
3,11,Macrophage 1,Sinusoidal endothelial cell,-0.5687,0.2618,-0.8305,0.00153,0.00119,TRUE,TRUE
3,13,Macrophage 1,IgG+ B cell,-0.8767,-1.383,0.5062,0.00153,0.00119,TRUE,TRUE
3,14,Macrophage 1,Vascular endothelial cell,-0.8261,-1.3448,0.5188,0.00153,0.00119,TRUE,TRUE
3,16,Macrophage 1,IgM+ B cell,-0.0348,-0.9039,0.8691,0.83399,0.00119,TRUE,FALSE
3,17,Macrophage 1,CD8+ T cell 2,0.555,0.1387,0.4164,0.00153,0.00119,TRUE,TRUE
3,18,Macrophage 1,Hepatocyte 4,-0.5944,-0.045,-0.5494,0.00153,0.30707,TRUE,FALSE
3,19,Macrophage 1,CD8+ T cell 3,0.849,0.2503,0.5987,0.00153,0.00119,TRUE,TRUE
3,20,Macrophage 1,Ig+ hepatocyte,-0.1039,-0.3633,0.2594,1,0.00119,TRUE,FALSE
3,3,Macrophage 1,Macrophage 1,1.4789,0.941,0.538,0.00153,0.00119,TRUE,TRUE
3,4,Macrophage 1,Stellate cell,-0.0632,-0.2096,0.1464,0.17805,0.00119,TRUE,FALSE
3,5,Macrophage 1,Macrophage 2,0.7783,-0.1903,0.9686,0.00153,0.00119,TRUE,TRUE
3,6,Macrophage 1,Hepatocyte 2,-0.7001,-0.1655,-0.5346,0.00153,0.00119,TRUE,TRUE
3,7,Macrophage 1,CD4+ T cell,-0.3616,-0.5869,0.2254,0.00153,0.00119,TRUE,TRUE
3,8,Macrophage 1,Cholangiocyte,-0.091,-1.8581,1.767,0.34395,0.00119,TRUE,FALSE
3,9,Macrophage 1,IgG+ plasmablast / plasma cell,0.2816,-0.321,0.6026,0.12413,0.00119,TRUE,FALSE
4,10,Stellate cell,Hepatocyte 3,-0.6416,-0.8074,0.1658,0.00153,0.00119,TRUE,TRUE
4,11,Stellate cell,Sinusoidal endothelial cell,-0.3885,0.4257,-0.8143,0.00153,0.00119,TRUE,TRUE
4,13,Stellate cell,IgG+ B cell,0.415,0.0751,0.3399,0.01367,0.01236,TRUE,TRUE
4,14,Stellate cell,Vascular endothelial cell,1.0366,0.5471,0.4895,0.00153,0.00119,TRUE,TRUE
4,16,Stellate cell,IgM+ B cell,0.3681,0.2082,0.1599,0.01102,0.00119,TRUE,TRUE
4,17,Stellate cell,CD8+ T cell 2,-0.7426,-1.2709,0.5284,0.00153,0.00119,TRUE,TRUE
4,18,Stellate cell,Hepatocyte 4,-0.7406,-0.9102,0.1696,0.00153,0.00119,TRUE,TRUE
